Rk,Player,Rec,Tgt,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Draft,Pos.,Draft,Player-additional
1,Chris Godwin,15,17,2021-12-05,25-281,TAM,@,ATL,W 30-17,17,15,143,9.5,0,88.2,8.4,3-84,WR,3-84,GodwCh00
2,Najee Harris,14,19,2021-09-26,23-201,PIT,,CIN,L 10-24,19,14,102,7.3,0,73.7,5.4,1-24,RB,1-24,HarrNa00
3,Amari Cooper,13,17,2021-09-09,27-084,DAL,@,TAM,L 29-31,17,13,139,10.7,2,76.5,8.2,1-4,WR,1-4,CoopAm00
4,George Kittle,13,15,2021-12-12,28-064,SFO,@,CIN,W 26-23 (OT),15,13,151,11.6,1,86.7,10.1,5-146,TE,5-146,KittGe00
5,Cooper Kupp,13,15,2021-12-13,28-181,LAR,@,ARI,W 30-23,15,13,123,9.5,1,86.7,8.2,3-69,WR,3-69,KuppCo00
6,Hunter Renfrow,13,14,2021-12-12,25-356,LVR,@,KAN,L 9-48,14,13,117,9.0,1,92.9,8.4,5-149,WR,5-149,RenfHu00
7,Davante Adams,12,18,2021-09-26,28-276,GNB,@,SFO,W 30-28,18,12,132,11.0,1,66.7,7.3,2-53,WR,2-53,AdamDa01
8,Keenan Allen,12,13,2021-11-07,29-194,LAC,@,PHI,W 27-24,13,12,104,8.7,0,92.3,8.0,3-76,WR,3-76,AlleKe00
9,Tee Higgins,12,13,2021-12-26,22-342,CIN,,BAL,W 41-21,13,12,194,16.2,2,92.3,14.9,2-33,WR,2-33,HiggTe00
10,Tyreek Hill,12,18,2021-11-01,27-245,KAN,,NYG,W 20-17,18,12,94,7.8,1,66.7,5.2,5-165,WR,5-165,HillTy00
11,Tyreek Hill,12,13,2021-12-16,27-290,KAN,@,LAC,W 34-28 (OT),13,12,148,12.3,1,92.3,11.4,5-165,WR,5-165,HillTy00
12,Tyler Lockett,12,13,2021-10-31,29-033,SEA,,JAX,W 31-7,13,12,142,11.8,0,92.3,10.9,3-69,WR,3-69,LockTy00
13,Darnell Mooney,12,16,2022-01-09,24-072,CHI,@,MIN,L 17-31,16,12,126,10.5,0,75.0,7.9,5-173,WR,5-173,MoonDa00
14,Jaylen Waddle,12,13,2021-09-26,22-305,MIA,@,LVR,L 28-31 (OT),13,12,58,4.8,0,92.3,4.5,1-6,WR,1-6,WaddJa00
15,Robert Woods,12,14,2021-10-07,29-180,LAR,@,SEA,W 26-17,14,12,150,12.5,0,85.7,10.7,2-41,WR,2-41,WoodRo02
16,Davante Adams,11,16,2021-10-10,28-290,GNB,@,CIN,W 25-22 (OT),16,11,206,18.7,1,68.8,12.9,2-53,WR,2-53,AdamDa01
17,Davante Adams,11,14,2022-01-02,29-009,GNB,,MIN,W 37-10,14,11,136,12.4,1,78.6,9.7,2-53,WR,2-53,AdamDa01
