Rk,Player,Rec,Tgt,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Draft,Pos.,Draft,Player-additional
1201,Calvin Ridley,4,10,2021-10-24,26-308,ATL,@,MIA,W 30-28,10,4,26,6.5,1,40.0,2.6,1-26,WR,1-26,RidlCa00
1202,Allen Robinson,4,5,2021-10-10,28-047,CHI,@,LVR,W 20-9,5,4,32,8.0,0,80.0,6.4,2-61,WR,2-61,RobiAl02
1203,Allen Robinson,4,7,2021-10-17,28-054,CHI,,GNB,L 14-24,7,4,53,13.3,0,57.1,7.6,2-61,WR,2-61,RobiAl02
1204,Allen Robinson,4,6,2021-11-08,28-076,CHI,@,PIT,L 27-29,6,4,68,17.0,0,66.7,11.3,2-61,WR,2-61,RobiAl02
1205,Allen Robinson,4,6,2022-01-02,28-131,CHI,,NYG,W 29-3,6,4,35,8.8,0,66.7,5.8,2-61,WR,2-61,RobiAl02
1206,James Robinson,4,5,2021-11-14,23-097,JAX,@,IND,L 17-23,5,4,27,6.8,0,80.0,5.4,,RB,,RobiJa00
1207,Chester Rogers,4,6,2021-09-12,27-243,TEN,,ARI,L 13-38,6,4,62,15.5,0,66.7,10.3,,WR,,RogeCh02
1208,Chester Rogers,4,6,2021-11-21,27-313,TEN,,HOU,L 13-22,6,4,41,10.3,0,66.7,6.8,,WR,,RogeCh02
1209,Chester Rogers,4,4,2021-12-19,27-341,TEN,@,PIT,L 13-19,4,4,30,7.5,0,100.0,7.5,,WR,,RogeCh02
1210,Kyle Rudolph,4,5,2021-11-07,31-363,NYG,,LVR,W 23-16,5,4,20,5.0,0,80.0,4.0,2-43,TE,2-43,RudoKy00
1211,Kyle Rudolph,4,6,2022-01-09,32-061,NYG,,WAS,L 7-22,6,4,17,4.3,0,66.7,2.8,2-43,TE,2-43,RudoKy00
1212,Henry Ruggs III,4,7,2021-09-26,22-245,LVR,,MIA,W 31-28 (OT),7,4,78,19.5,0,57.1,11.1,1-12,WR,1-12,RuggHe00
1213,Henry Ruggs III,4,4,2021-10-24,22-273,LVR,,PHI,W 33-22,4,4,24,6.0,0,100.0,6.0,1-12,WR,1-12,RuggHe00
1214,Curtis Samuel,4,4,2021-10-03,25-053,WAS,@,ATL,W 34-30,4,4,19,4.8,0,100.0,4.8,2-40,WR,2-40,SamuCu00
1215,Deebo Samuel,4,5,2021-12-19,25-338,SFO,,ATL,W 31-13,5,4,60,15.0,0,80.0,12.0,2-36,WR,2-36,SamuDe00
1216,Deebo Samuel,4,6,2022-01-09,25-359,SFO,@,LAR,W 27-24 (OT),6,4,95,23.8,0,66.7,15.8,2-36,WR,2-36,SamuDe00
1217,Emmanuel Sanders,4,8,2021-09-12,34-179,BUF,,PIT,L 16-23,8,4,52,13.0,0,50.0,6.5,3-82,WR,3-82,SandEm00
1218,Emmanuel Sanders,4,8,2021-11-07,34-235,BUF,@,JAX,L 6-9,8,4,65,16.3,0,50.0,8.1,3-82,WR,3-82,SandEm00
1219,Miles Sanders,4,5,2021-09-12,24-134,PHI,@,ATL,W 32-6,5,4,39,9.8,0,80.0,7.8,2-53,RB,2-53,SandMi01
1220,Mohamed Sanu,4,5,2021-10-03,32-041,SFO,,SEA,L 21-28,5,4,35,8.8,0,80.0,7.0,3-83,WR,3-83,SanuMo00
