Rk,Player,Rec,Tgt,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Draft,Pos.,Draft,Player-additional
1601,Chuba Hubbard,3,5,2021-09-23,22-104,CAR,@,HOU,W 24-9,5,3,27,9.0,0,60.0,5.4,4-126,RB,4-126,HubbCh01
1602,Chuba Hubbard,3,4,2022-01-02,22-205,CAR,@,NOR,L 10-18,4,3,13,4.3,0,75.0,3.3,4-126,RB,4-126,HubbCh01
1603,Adam Humphries,3,5,2021-10-10,28-108,WAS,,NOR,L 22-33,5,3,73,24.3,0,60.0,14.6,,WR,,HumpAd00
1604,Adam Humphries,3,4,2021-10-24,28-122,WAS,@,GNB,L 10-24,4,3,36,12.0,0,75.0,9.0,,WR,,HumpAd00
1605,Adam Humphries,3,6,2021-12-21,28-180,WAS,@,PHI,L 17-27,6,3,23,7.7,0,50.0,3.8,,WR,,HumpAd00
1606,Lil'Jordan Humphrey,3,5,2021-11-25,23-220,NOR,,BUF,L 6-31,5,3,47,15.7,0,60.0,9.4,,WR,,HumpLi01
1607,Lil'Jordan Humphrey,3,5,2021-12-27,23-252,NOR,,MIA,L 3-20,5,3,70,23.3,0,60.0,14.0,,WR,,HumpLi01
1608,Kareem Hunt,3,3,2021-09-12,26-037,CLE,@,KAN,L 29-33,3,3,28,9.3,0,100.0,9.3,3-86,RB,3-86,HuntKa00
1609,Kareem Hunt,3,3,2021-10-17,26-072,CLE,,ARI,L 14-37,3,3,12,4.0,0,100.0,4.0,3-86,RB,3-86,HuntKa00
1610,Hayden Hurst,3,4,2021-10-24,28-061,ATL,@,MIA,W 30-28,4,3,35,11.7,0,75.0,8.8,1-25,TE,1-25,HursHa00
1611,Godwin Igwebuike,3,3,2021-10-31,27-051,DET,,PHI,L 6-44,3,3,40,13.3,0,100.0,13.3,,DB,,IgweGo00
1612,Alec Ingold,3,3,2021-11-07,25-121,LVR,@,NYG,L 16-23,3,3,28,9.3,0,100.0,9.3,,FB,,IngoAl01
1613,Mark Ingram,3,3,2021-10-24,31-307,HOU,@,ARI,L 5-31,3,3,18,6.0,0,100.0,6.0,1-28,RB,1-28,IngrMa01
1614,DeSean Jackson,3,5,2021-09-26,34-299,LAR,,TAM,W 34-24,5,3,120,40.0,1,60.0,24.0,2-49,WR,2-49,JackDe00
1615,DeSean Jackson,3,4,2021-11-25,34-359,LVR,@,DAL,W 36-33 (OT),4,3,102,34.0,1,75.0,25.5,2-49,WR,2-49,JackDe00
1616,Justin Jackson,3,3,2022-01-02,25-255,LAC,,DEN,W 34-13,3,3,20,6.7,0,100.0,6.7,7-251,RB,7-251,JackJu01
1617,Tyree Jackson,3,5,2022-01-08,24-062,PHI,,DAL,L 26-51,5,3,22,7.3,1,60.0,4.4,,QB,,JackTy01
1618,Josh Jacobs,3,3,2021-10-24,23-255,LVR,,PHI,W 33-22,3,3,39,13.0,0,100.0,13.0,1-24,RB,1-24,JacoJo01
1619,Josh Jacobs,3,4,2021-12-20,23-312,LVR,@,CLE,W 16-14,4,3,42,14.0,0,75.0,10.5,1-24,RB,1-24,JacoJo01
1620,Jesse James,3,3,2021-10-24,27-142,CHI,@,TAM,L 3-38,3,3,20,6.7,0,100.0,6.7,5-160,TE,5-160,JameJe00
1621,Jesse James,3,3,2021-10-31,27-149,CHI,,SFO,L 22-33,3,3,38,12.7,1,100.0,12.7,5-160,TE,5-160,JameJe00
1622,Blake Jarwin,3,3,2021-09-09,27-055,DAL,@,TAM,L 29-31,3,3,20,6.7,0,100.0,6.7,,TE,,JarwBl00
1623,Blake Jarwin,3,4,2021-09-19,27-065,DAL,@,LAC,W 20-17,4,3,37,12.3,0,75.0,9.3,,TE,,JarwBl00
1624,Justin Jefferson,3,5,2021-11-07,22-144,MIN,@,BAL,L 31-34 (OT),5,3,69,23.0,1,60.0,13.8,1-22,WR,1-22,JeffJu00
1625,Van Jefferson,3,4,2021-10-17,25-083,LAR,@,NYG,W 38-11,4,3,19,6.3,0,75.0,4.8,2-57,WR,2-57,JeffVa00
1626,Van Jefferson,3,6,2021-10-31,25-097,LAR,@,HOU,W 38-22,6,3,88,29.3,0,50.0,14.7,2-57,WR,2-57,JeffVa00
1627,Van Jefferson,3,7,2021-11-07,25-104,LAR,,TEN,L 16-28,7,3,41,13.7,0,42.9,5.9,2-57,WR,2-57,JeffVa00
1628,Van Jefferson,3,7,2021-11-15,25-112,LAR,@,SFO,L 10-31,7,3,54,18.0,0,42.9,7.7,2-57,WR,2-57,JeffVa00
1629,Van Jefferson,3,9,2021-11-28,25-125,LAR,@,GNB,L 28-36,9,3,93,31.0,1,33.3,10.3,2-57,WR,2-57,JeffVa00
1630,Jauan Jennings,3,5,2021-12-12,24-155,SFO,@,CIN,W 26-23 (OT),5,3,46,15.3,0,60.0,9.2,7-217,WR,7-217,JennJa00
1631,Jauan Jennings,3,6,2021-12-19,24-162,SFO,,ATL,W 31-13,6,3,28,9.3,1,50.0,4.7,7-217,WR,7-217,JennJa00
1632,Jerry Jeudy,3,4,2021-12-26,22-246,DEN,@,LVR,L 13-17,4,3,60,20.0,0,75.0,15.0,1-15,WR,1-15,JeudJe00
1633,David Johnson,3,4,2021-09-12,29-270,HOU,,JAX,W 37-21,4,3,18,6.0,1,75.0,4.5,3-86,RB,3-86,JohnDa08
1634,David Johnson,3,4,2021-10-03,29-291,HOU,@,BUF,L 0-40,4,3,27,9.0,0,75.0,6.8,3-86,RB,3-86,JohnDa08
1635,David Johnson,3,5,2021-11-07,29-326,HOU,@,MIA,L 9-17,5,3,29,9.7,0,60.0,5.8,3-86,RB,3-86,JohnDa08
1636,David Johnson,3,4,2021-11-21,29-340,HOU,@,TEN,W 22-13,4,3,16,5.3,0,75.0,4.0,3-86,RB,3-86,JohnDa08
1637,David Johnson,3,4,2022-01-09,30-024,HOU,,TEN,L 25-28,4,3,8,2.7,0,75.0,2.0,3-86,RB,3-86,JohnDa08
1638,Juwan Johnson,3,3,2021-09-12,24-364,NOR,,GNB,W 38-3,3,3,21,7.0,2,100.0,7.0,,WR,,JohnJu02
1639,Marcus Johnson,3,5,2021-10-10,27-066,TEN,@,JAX,W 37-19,5,3,52,17.3,0,60.0,10.4,,WR,,JohnMa07
1640,Tyler Johnson,3,6,2021-09-26,23-032,TAM,@,LAR,L 24-34,6,3,63,21.0,0,50.0,10.5,5-161,WR,5-161,JohnTy00
1641,Tyler Johnson,3,3,2021-10-10,23-046,TAM,,MIA,W 45-17,3,3,42,14.0,0,100.0,14.0,5-161,WR,5-161,JohnTy00
1642,Tyler Johnson,3,5,2021-11-14,23-081,TAM,@,WAS,L 19-29,5,3,17,5.7,0,60.0,3.4,5-161,WR,5-161,JohnTy00
1643,Tyler Johnson,3,3,2021-12-12,23-109,TAM,,BUF,W 33-27 (OT),3,3,17,5.7,0,100.0,5.7,5-161,WR,5-161,JohnTy00
1644,Ty Johnson,3,4,2022-01-02,24-107,NYJ,,TAM,L 24-28,4,3,47,15.7,0,75.0,11.8,6-186,RB,6-186,JohnTy02
1645,Aaron Jones,3,4,2021-10-03,26-305,GNB,,PIT,W 27-17,4,3,51,17.0,0,75.0,12.8,5-182,RB,5-182,JoneAa00
1646,Aaron Jones,3,3,2021-12-12,27-010,GNB,,CHI,W 45-30,3,3,30,10.0,1,100.0,10.0,5-182,RB,5-182,JoneAa00
1647,Julio Jones,3,6,2021-09-12,32-216,TEN,,ARI,L 13-38,6,3,29,9.7,0,50.0,4.8,1-6,WR,1-6,JoneJu02
1648,Julio Jones,3,4,2021-09-26,32-230,TEN,,IND,W 25-16,4,3,47,15.7,0,75.0,11.8,1-6,WR,1-6,JoneJu02
1649,Julio Jones,3,5,2021-10-18,32-252,TEN,,BUF,W 34-31,5,3,59,19.7,0,60.0,11.8,1-6,WR,1-6,JoneJu02
1650,Marvin Jones,3,3,2021-09-30,31-202,JAX,@,CIN,L 21-24,3,3,24,8.0,0,100.0,8.0,5-166,WR,5-166,JoneMa02
1651,Marvin Jones,3,5,2021-11-07,31-240,JAX,,BUF,W 9-6,5,3,21,7.0,0,60.0,4.2,5-166,WR,5-166,JoneMa02
1652,Zay Jones,3,5,2021-12-05,26-250,LVR,,WAS,L 15-17,5,3,21,7.0,0,60.0,4.2,2-37,WR,2-37,JoneZa00
1653,Brevin Jordan,3,4,2021-10-31,21-107,HOU,,LAR,L 22-38,4,3,41,13.7,1,75.0,10.3,5-147,TE,5-147,JordBr00
1654,Brevin Jordan,3,3,2021-11-28,21-135,HOU,,NYJ,L 14-21,3,3,23,7.7,1,100.0,7.7,5-147,TE,5-147,JordBr00
1655,Kyle Juszczyk,3,4,2021-10-10,30-170,SFO,@,ARI,L 10-17,4,3,35,11.7,0,75.0,8.8,4-130,FB,4-130,JuszKy00
1656,Kyle Juszczyk,3,5,2021-12-23,30-244,SFO,@,TEN,L 17-20,5,3,45,15.0,0,60.0,9.0,4-130,FB,4-130,JuszKy00
1657,Alvin Kamara,3,4,2021-09-12,26-049,NOR,,GNB,W 38-3,4,3,8,2.7,1,75.0,2.0,3-67,RB,3-67,KamaAl00
1658,Alvin Kamara,3,4,2021-09-26,26-063,NOR,@,NWE,W 28-13,4,3,29,9.7,1,75.0,7.3,3-67,RB,3-67,KamaAl00
1659,Alvin Kamara,3,4,2021-10-31,26-098,NOR,,TAM,W 36-27,4,3,15,5.0,0,75.0,3.8,3-67,RB,3-67,KamaAl00
1660,Travis Kelce,3,8,2021-12-05,32-061,KAN,,DEN,W 22-9,8,3,27,9.0,0,37.5,3.4,3-63,TE,3-63,KelcTr00
1661,Travis Kelce,3,4,2021-12-12,32-068,KAN,,LVR,W 48-9,4,3,27,9.0,0,75.0,6.8,3-63,TE,3-63,KelcTr00
1662,Christian Kirk,3,4,2021-09-19,24-305,ARI,,MIN,W 34-33,4,3,65,21.7,0,75.0,16.3,2-47,WR,2-47,KirkCh01
1663,Christian Kirk,3,6,2021-12-13,25-025,ARI,,LAR,L 23-30,6,3,86,28.7,0,50.0,14.3,2-47,WR,2-47,KirkCh01
1664,Keith Kirkwood,3,5,2021-10-24,26-302,CAR,@,NYG,L 3-25,5,3,17,5.7,0,60.0,3.4,,WR,,KirkKe00
1665,Cole Kmet,3,6,2021-10-31,22-235,CHI,,SFO,L 22-33,6,3,24,8.0,0,50.0,4.0,2-43,TE,2-43,KmetCo00
1666,Cole Kmet,3,7,2021-12-05,22-270,CHI,,ARI,L 22-33,7,3,41,13.7,0,42.9,5.9,2-43,TE,2-43,KmetCo00
1667,Cole Kmet,3,5,2021-12-12,22-277,CHI,@,GNB,L 30-45,5,3,17,5.7,0,60.0,3.4,2-43,TE,2-43,KmetCo00
1668,Cole Kmet,3,5,2022-01-02,22-298,CHI,,NYG,W 29-3,5,3,25,8.3,0,60.0,5.0,2-43,TE,2-43,KmetCo00
1669,Dawson Knox,3,4,2021-10-10,24-330,BUF,@,KAN,W 38-20,4,3,117,39.0,1,75.0,29.3,3-96,TE,3-96,KnoxDa00
1670,Dawson Knox,3,3,2021-10-18,24-338,BUF,@,TEN,L 31-34,3,3,25,8.3,0,100.0,8.3,3-96,TE,3-96,KnoxDa00
1671,Dawson Knox,3,3,2021-11-25,25-011,BUF,@,NOR,W 31-6,3,3,32,10.7,2,100.0,10.7,3-96,TE,3-96,KnoxDa00
1672,Dawson Knox,3,5,2022-01-09,25-056,BUF,,NYJ,W 27-10,5,3,49,16.3,0,60.0,9.8,3-96,TE,3-96,KnoxDa00
1673,Tyler Kroft,3,5,2021-09-12,28-332,NYJ,@,CAR,L 14-19,5,3,26,8.7,0,60.0,5.2,3-85,TE,3-85,KrofTy00
1674,Tyler Kroft,3,5,2021-12-26,29-072,NYJ,,JAX,W 26-21,5,3,29,9.7,0,60.0,5.8,3-85,TE,3-85,KrofTy00
1675,CeeDee Lamb,3,3,2021-09-27,22-172,DAL,,PHI,W 41-21,3,3,66,22.0,0,100.0,22.0,1-17,WR,1-17,LambCe00
1676,CeeDee Lamb,3,4,2021-11-21,22-227,DAL,@,KAN,L 9-19,4,3,14,4.7,0,75.0,3.5,1-17,WR,1-17,LambCe00
1677,CeeDee Lamb,3,4,2022-01-02,22-269,DAL,,ARI,L 22-25,4,3,51,17.0,0,75.0,12.8,1-17,WR,1-17,LambCe00
1678,Jarvis Landry,3,5,2021-11-07,28-344,CLE,@,CIN,W 41-16,5,3,11,3.7,0,60.0,2.2,2-63,WR,2-63,LandJa00
1679,Allen Lazard,3,5,2021-10-17,25-310,GNB,@,CHI,W 24-14,5,3,27,9.0,1,60.0,5.4,,WR,,LazaAl00
1680,Marcedes Lewis,3,3,2021-10-24,37-158,GNB,,WAS,W 24-10,3,3,31,10.3,0,100.0,10.3,1-28,TE,1-28,LewiMa00
1681,Marcedes Lewis,3,3,2021-12-19,37-214,GNB,@,BAL,W 31-30,3,3,40,13.3,0,100.0,13.3,1-28,TE,1-28,LewiMa00
1682,Tyler Lockett,3,5,2021-11-29,29-062,SEA,@,WAS,L 15-17,5,3,96,32.0,0,60.0,19.2,3-69,WR,3-69,LockTy00
1683,Tyler Lockett,3,6,2021-12-26,29-089,SEA,,CHI,L 24-25,6,3,30,10.0,0,50.0,5.0,3-69,WR,3-69,LockTy00
1684,Tyler Lockett,3,3,2022-01-02,29-096,SEA,,DET,W 51-29,3,3,24,8.0,1,100.0,8.0,3-69,WR,3-69,LockTy00
1685,Terrace Marshall Jr.,3,6,2021-09-12,21-095,CAR,,NYJ,W 19-14,6,3,26,8.7,0,50.0,4.3,2-59,WR,2-59,MarsTe00
1686,Terrace Marshall Jr.,3,3,2021-09-19,21-102,CAR,,NOR,W 26-7,3,3,17,5.7,0,100.0,5.7,2-59,WR,2-59,MarsTe00
1687,Alexander Mattison,3,3,2021-12-05,23-169,MIN,@,DET,L 27-29,3,3,34,11.3,0,100.0,11.3,3-102,RB,3-102,MattAl01
