Rk,Player,Rec,Tgt,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Draft,Pos.,Draft,Player-additional
201,Rashod Bateman,7,10,2022-01-02,22-034,BAL,,LAR,L 19-20,10,7,58,8.3,0,70.0,5.8,1-27,WR,1-27,BateRa00
202,Cole Beasley,7,9,2021-10-18,32-175,BUF,@,TEN,L 31-34,9,7,88,12.6,1,77.8,9.8,,WR,,BeasCo00
203,Braxton Berrios,7,11,2021-09-19,25-348,NYJ,,NWE,L 6-25,11,7,73,10.4,0,63.6,6.6,6-210,WR,6-210,BerrBr00
204,Tyler Boyd,7,9,2021-09-19,26-308,CIN,@,CHI,L 17-20,9,7,73,10.4,0,77.8,8.1,2-55,WR,2-55,BoydTy00
205,A.J. Brown,7,9,2021-10-18,24-110,TEN,,BUF,W 34-31,9,7,91,13.0,0,77.8,10.1,2-51,WR,2-51,BrowAJ00
206,Antonio Brown,7,11,2021-10-03,33-085,TAM,@,NWE,W 19-17,11,7,63,9.0,0,63.6,5.7,6-195,WR,6-195,BrowAn04
207,Antonio Brown,7,8,2021-10-10,33-092,TAM,,MIA,W 45-17,8,7,124,17.7,2,87.5,15.5,6-195,WR,6-195,BrowAn04
208,Ja'Marr Chase,7,10,2021-12-26,21-300,CIN,,BAL,W 41-21,10,7,125,17.9,0,70.0,12.5,1-5,WR,1-5,ChasJa00
209,Tyler Conklin,7,8,2021-09-26,26-058,MIN,,SEA,W 30-17,8,7,70,10.0,1,87.5,8.8,5-157,TE,5-157,ConkTy00
210,Tyler Conklin,7,9,2021-12-05,26-128,MIN,@,DET,L 27-29,9,7,56,8.0,0,77.8,6.2,5-157,TE,5-157,ConkTy00
211,Brandin Cooks,7,10,2021-12-19,28-085,HOU,@,JAX,W 30-16,10,7,102,14.6,2,70.0,10.2,1-20,WR,1-20,CookBr00
212,Brandin Cooks,7,11,2022-01-02,28-099,HOU,@,SFO,L 7-23,11,7,66,9.4,1,63.6,6.0,1-20,WR,1-20,CookBr00
213,Amari Cooper,7,11,2021-12-26,27-192,DAL,,WAS,W 56-14,11,7,85,12.1,1,63.6,7.7,1-4,WR,1-4,CoopAm00
214,Jamison Crowder,7,9,2021-10-03,28-108,NYJ,,TEN,W 27-24 (OT),9,7,61,8.7,1,77.8,6.8,4-105,WR,4-105,CrowJa00
215,Mike Davis,7,7,2021-09-19,28-212,ATL,@,TAM,L 25-48,7,7,25,3.6,0,100.0,3.6,4-126,RB,4-126,DaviMi01
216,Stefon Diggs,7,11,2021-10-03,27-308,BUF,,HOU,W 40-0,11,7,114,16.3,0,63.6,10.4,5-146,WR,5-146,DiggSt00
217,Stefon Diggs,7,9,2021-11-25,27-361,BUF,@,NOR,W 31-6,9,7,74,10.6,1,77.8,8.2,5-146,WR,5-146,DiggSt00
