Rk,Player,Rec,Tgt,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Draft,Pos.,Draft,Player-additional
1401,Keelan Cole,3,4,2021-10-03,28-166,NYJ,,TEN,W 27-24 (OT),4,3,92,30.7,0,75.0,23.0,,WR,,ColeKe00
1402,Keelan Cole,3,5,2021-10-31,28-194,NYJ,,CIN,W 34-31,5,3,25,8.3,0,60.0,5.0,,WR,,ColeKe00
1403,Keelan Cole,3,3,2022-01-09,28-264,NYJ,@,BUF,L 10-27,3,3,54,18.0,1,100.0,18.0,,WR,,ColeKe00
1404,Tevin Coleman,3,4,2021-12-05,28-233,NYJ,,PHI,L 18-33,4,3,19,6.3,0,75.0,4.8,3-73,RB,3-73,ColeTe01
1405,Nico Collins,3,3,2021-11-07,22-233,HOU,@,MIA,L 9-17,3,3,25,8.3,0,100.0,8.3,3-89,WR,3-89,CollNi00
1406,Nico Collins,3,4,2021-12-26,22-282,HOU,,LAC,W 41-29,4,3,33,11.0,1,75.0,8.3,3-89,WR,3-89,CollNi00
1407,Nico Collins,3,7,2022-01-09,22-296,HOU,,TEN,L 25-28,7,3,67,22.3,0,42.9,9.6,3-89,WR,3-89,CollNi00
1408,Tyler Conklin,3,5,2021-10-17,26-079,MIN,@,CAR,W 34-28 (OT),5,3,71,23.7,0,60.0,14.2,5-157,TE,5-157,ConkTy00
1409,Tyler Conklin,3,5,2021-11-14,26-107,MIN,@,LAC,W 27-20,5,3,11,3.7,2,60.0,2.2,5-157,TE,5-157,ConkTy00
1410,Tyler Conklin,3,3,2021-11-21,26-114,MIN,,GNB,W 34-31,3,3,35,11.7,0,100.0,11.7,5-157,TE,5-157,ConkTy00
1411,Chris Conley,3,4,2021-10-10,28-350,HOU,,NWE,L 22-25,4,3,84,28.0,1,75.0,21.0,3-76,WR,3-76,ConlCh00
1412,Chris Conley,3,3,2021-12-26,29-062,HOU,,LAC,W 41-29,3,3,60,20.0,1,100.0,20.0,3-76,WR,3-76,ConlCh00
1413,James Conner,3,4,2021-11-14,26-193,ARI,,CAR,L 10-34,4,3,25,8.3,0,75.0,6.3,3-105,RB,3-105,ConnJa00
1414,Brandin Cooks,3,5,2021-10-10,28-015,HOU,,NWE,L 22-25,5,3,23,7.7,0,60.0,4.6,1-20,WR,1-20,CookBr00
1415,Brandin Cooks,3,5,2021-11-28,28-064,HOU,,NYJ,L 14-21,5,3,45,15.0,1,60.0,9.0,1-20,WR,1-20,CookBr00
1416,Brandin Cooks,3,6,2021-12-05,28-071,HOU,,IND,L 0-31,6,3,38,12.7,0,50.0,6.3,1-20,WR,1-20,CookBr00
1417,Brandin Cooks,3,4,2022-01-09,28-106,HOU,,TEN,L 25-28,4,3,26,8.7,0,75.0,6.5,1-20,WR,1-20,CookBr00
1418,Dalvin Cook,3,3,2021-11-07,26-089,MIN,@,BAL,L 31-34 (OT),3,3,12,4.0,0,100.0,4.0,2-41,RB,2-41,CookDa01
1419,Dalvin Cook,3,5,2021-11-14,26-096,MIN,@,LAC,W 27-20,5,3,24,8.0,0,60.0,4.8,2-41,RB,2-41,CookDa01
1420,Dalvin Cook,3,4,2021-11-21,26-103,MIN,,GNB,W 34-31,4,3,29,9.7,0,75.0,7.3,2-41,RB,2-41,CookDa01
1421,Dalvin Cook,3,3,2022-01-02,26-145,MIN,@,GNB,L 10-37,3,3,0,0.0,0,100.0,0.0,2-41,RB,2-41,CookDa01
1422,Jared Cook,3,5,2021-09-19,34-165,LAC,,DAL,L 17-20,5,3,28,9.3,0,60.0,5.6,3-89,TE,3-89,CookJa02
1423,Jared Cook,3,5,2021-11-21,34-228,LAC,,PIT,W 41-37,5,3,28,9.3,0,60.0,5.6,3-89,TE,3-89,CookJa02
1424,Jared Cook,3,4,2021-12-05,34-242,LAC,@,CIN,W 41-22,4,3,29,9.7,0,75.0,7.3,3-89,TE,3-89,CookJa02
1425,Jared Cook,3,7,2021-12-16,34-253,LAC,,KAN,L 28-34 (OT),7,3,32,10.7,0,42.9,4.6,3-89,TE,3-89,CookJa02
1426,Jared Cook,3,5,2021-12-26,34-263,LAC,@,HOU,L 29-41,5,3,44,14.7,0,60.0,8.8,3-89,TE,3-89,CookJa02
1427,Amari Cooper,3,5,2021-09-19,27-094,DAL,@,LAC,W 20-17,5,3,24,8.0,0,60.0,4.8,1-4,WR,1-4,CoopAm00
1428,Amari Cooper,3,4,2021-09-27,27-102,DAL,,PHI,W 41-21,4,3,26,8.7,0,75.0,6.5,1-4,WR,1-4,CoopAm00
1429,Amari Cooper,3,3,2021-10-03,27-108,DAL,,CAR,W 36-28,3,3,69,23.0,1,100.0,23.0,1-4,WR,1-4,CoopAm00
1430,Amari Cooper,3,6,2021-10-10,27-115,DAL,,NYG,W 44-20,6,3,60,20.0,1,50.0,10.0,1-4,WR,1-4,CoopAm00
1431,Amari Cooper,3,7,2022-01-02,27-199,DAL,,ARI,L 22-25,7,3,18,6.0,1,42.9,2.6,1-4,WR,1-4,CoopAm00
1432,Jamison Crowder,3,5,2021-11-14,28-150,NYJ,,BUF,L 17-45,5,3,20,6.7,0,60.0,4.0,4-105,WR,4-105,CrowJa00
1433,Jamison Crowder,3,6,2021-12-12,28-178,NYJ,,NOR,L 9-30,6,3,19,6.3,0,50.0,3.2,4-105,WR,4-105,CrowJa00
1434,DeeJay Dallas,3,4,2021-12-21,23-096,SEA,@,LAR,L 10-20,4,3,11,3.7,0,75.0,2.8,4-144,RB,4-144,DallDe00
1435,Jaelon Darden,3,3,2021-10-31,22-290,TAM,@,NOR,L 27-36,3,3,11,3.7,0,100.0,3.7,4-129,WR,4-129,DardJa00
1436,Corey Davis,3,7,2021-11-21,26-314,NYJ,,MIA,L 17-24,7,3,35,11.7,0,42.9,5.0,1-5,WR,1-5,DaviCo03
1437,Gabriel Davis,3,3,2021-11-14,22-227,BUF,@,NYJ,W 45-17,3,3,105,35.0,0,100.0,35.0,4-128,WR,4-128,DaviGa01
1438,Gabriel Davis,3,3,2022-01-02,22-276,BUF,,ATL,W 29-15,3,3,40,13.3,0,100.0,13.3,4-128,WR,4-128,DaviGa01
1439,Gabriel Davis,3,14,2022-01-09,22-283,BUF,,NYJ,W 27-10,14,3,39,13.0,0,21.4,2.8,4-128,WR,4-128,DaviGa01
1440,Mike Davis,3,6,2021-09-12,28-205,ATL,,PHI,L 6-32,6,3,23,7.7,0,50.0,3.8,4-126,RB,4-126,DaviMi01
1441,Mike Davis,3,4,2021-11-18,28-272,ATL,,NWE,L 0-25,4,3,20,6.7,0,75.0,5.0,4-126,RB,4-126,DaviMi01
1442,Mike Davis,3,4,2021-11-28,28-282,ATL,@,JAX,W 21-14,4,3,25,8.3,0,75.0,6.3,4-126,RB,4-126,DaviMi01
1443,Mike Davis,3,3,2022-01-09,28-324,ATL,,NOR,L 20-30,3,3,-2,-0.7,0,100.0,-0.7,4-126,RB,4-126,DaviMi01
1444,Josiah Deguara,3,3,2021-12-12,24-301,GNB,,CHI,W 45-30,3,3,44,14.7,0,100.0,14.7,3-94,TE,3-94,DeguJo00
1445,Josiah Deguara,3,5,2021-12-19,24-308,GNB,@,BAL,W 31-30,5,3,16,5.3,0,60.0,3.2,3-94,TE,3-94,DeguJo00
1446,Josiah Deguara,3,4,2022-01-09,24-329,GNB,@,DET,L 30-37,4,3,66,22.0,1,75.0,16.5,3-94,TE,3-94,DeguJo00
1447,AJ Dillon,3,3,2021-12-25,23-237,GNB,,CLE,W 24-22,3,3,15,5.0,0,100.0,5.0,2-62,RB,2-62,DillAJ00
1448,Will Dissly,3,3,2021-09-12,25-066,SEA,@,IND,W 28-16,3,3,37,12.3,0,100.0,12.3,4-120,TE,4-120,DissWi00
1449,Phillip Dorsett,3,6,2021-12-26,28-355,HOU,,LAC,W 41-29,6,3,55,18.3,0,50.0,9.2,1-29,WR,1-29,DorsPh00
1450,Jack Doyle,3,4,2021-09-12,31-130,IND,,SEA,L 16-28,4,3,21,7.0,0,75.0,5.3,,TE,,DoylJa00
