Rk,Player,Rec,Tgt,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Draft,Pos.,Draft,Player-additional
4401,Ty'Son Williams,0,1,2021-09-26,25-022,BAL,@,DET,W 19-17,1,0,0,,0,0.0,0.0,,RB,,WillTy01
4402,Ty'Son Williams,0,1,2021-11-28,25-085,BAL,,CLE,W 16-10,1,0,0,,0,0.0,0.0,,RB,,WillTy01
4403,Albert Wilson,0,2,2021-09-12,29-062,MIA,@,NWE,W 17-16,2,0,0,,0,0.0,0.0,,WR,,WilsAl02
4404,Zach Wilson,0,1,2021-12-19,22-138,NYJ,@,MIA,L 24-31,1,0,0,,0,0.0,0.0,1-2,QB,1-2,WilsZa00
4405,Juwann Winfree,0,1,2021-12-19,25-106,GNB,@,BAL,W 31-30,1,0,0,,0,0.0,0.0,6-187,WR,6-187,WinfJu00
4406,Juwann Winfree,0,1,2021-12-25,25-112,GNB,,CLE,W 24-22,1,0,0,,0,0.0,0.0,6-187,WR,6-187,WinfJu00
4407,Brock Wright,0,1,2021-12-19,23-022,DET,,ARI,W 30-12,1,0,0,,0,0.0,0.0,,TE,,WrigBr01
4408,Kenny Yeboah,0,1,2021-12-05,23-036,NYJ,,PHI,L 18-33,1,0,0,,0,0.0,0.0,,TE,,YeboKe00
4409,Brandon Zylstra,0,2,2022-01-09,28-290,CAR,@,TAM,L 17-41,2,0,0,,0,0.0,0.0,,WR,,ZylsBr00
