Rk,Player,Rec,Tgt,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Draft,Pos.,Draft,Player-additional
4001,John Brown,0,1,2021-10-21,31-201,DEN,@,CLE,L 14-17,1,0,0,,0,0.0,0.0,3-91,WR,3-91,BrowJo02
4002,John Brown,0,1,2021-11-21,31-232,JAX,,SFO,L 10-30,1,0,0,,0,0.0,0.0,3-91,WR,3-91,BrowJo02
4003,John Brown,0,1,2021-11-28,31-239,JAX,,ATL,L 14-21,1,0,0,,0,0.0,0.0,3-91,WR,3-91,BrowJo02
4004,Malcolm Brown,0,2,2021-09-26,28-134,MIA,@,LVR,L 28-31 (OT),2,0,0,,0,0.0,0.0,,RB,,BrowMa03
4005,Noah Brown,0,1,2021-11-07,25-305,DAL,,DEN,L 16-30,1,0,0,,0,0.0,0.0,7-239,WR,7-239,BrowNo00
4006,Noah Brown,0,2,2021-11-21,25-319,DAL,@,KAN,L 9-19,2,0,0,,0,0.0,0.0,7-239,WR,7-239,BrowNo00
4007,Pharaoh Brown,0,1,2021-09-19,27-138,HOU,@,CLE,L 21-31,1,0,0,,0,0.0,0.0,,TE,,BrowPh01
4008,Pharaoh Brown,0,1,2021-11-28,27-208,HOU,,NYJ,L 14-21,1,0,0,,0,0.0,0.0,,TE,,BrowPh01
4009,Harrison Bryant,0,2,2021-09-26,23-156,CLE,,CHI,W 26-6,2,0,0,,0,0.0,0.0,4-115,TE,4-115,BryaHa00
4010,Rex Burkhead,0,1,2021-10-17,31-107,HOU,@,IND,L 3-31,1,0,0,,0,0.0,0.0,6-190,RB,6-190,BurkRe00
4011,Damiere Byrd,0,1,2021-10-17,28-263,CHI,,GNB,L 14-24,1,0,0,,0,0.0,0.0,,WR,,ByrdDa00
4012,Jason Cabinda,0,1,2021-09-12,25-179,DET,,SFO,L 33-41,1,0,0,,0,0.0,0.0,,LB,,CabiJa00
4013,Jason Cabinda,0,1,2021-11-21,25-249,DET,@,CLE,L 10-13,1,0,0,,0,0.0,0.0,,LB,,CabiJa00
4014,Jason Cabinda,0,1,2021-12-05,25-263,DET,,MIN,W 29-27,1,0,0,,0,0.0,0.0,,LB,,CabiJa00
4015,Marquez Callaway,0,1,2022-01-09,23-288,NOR,@,ATL,W 30-20,1,0,0,,0,0.0,0.0,,WR,,CallMa01
4016,Parris Campbell,0,3,2022-01-09,24-177,IND,@,JAX,L 11-26,3,0,0,,0,0.0,0.0,2-59,WR,2-59,CampPa00
4017,Tevaughn Campbell,0,1,2021-10-04,28-112,LAC,,LVR,W 28-14,1,0,0,,0,0.0,0.0,,RCB,,CampTe00
4018,DeAndre Carter,0,1,2021-10-17,28-190,WAS,,KAN,L 13-31,1,0,0,,0,0.0,0.0,,WR,,CartDe02
4019,DeAndre Carter,0,1,2022-01-09,28-274,WAS,@,NYG,W 22-7,1,0,0,,0,0.0,0.0,,WR,,CartDe02
4020,Michael Carter,0,3,2022-01-09,22-247,NYJ,@,BUF,L 10-27,3,0,0,,0,0.0,0.0,4-107,RB,4-107,CartMi03
4021,Nick Chubb,0,1,2022-01-03,26-007,CLE,@,PIT,L 14-26,1,0,0,,0,0.0,0.0,2-35,RB,2-35,ChubNi00
4022,Chase Claypool,0,2,2021-12-19,23-165,PIT,,TEN,W 19-13,2,0,12,,0,0.0,6.0,2-49,WR,2-49,ClayCh01
4023,Tyrie Cleveland,0,1,2021-10-21,24-031,DEN,@,CLE,L 14-17,1,0,0,,0,0.0,0.0,7-252,WR,7-252,ClevTy00
4024,Randall Cobb,0,1,2021-09-26,31-035,GNB,@,SFO,W 30-28,1,0,0,,0,0.0,0.0,2-64,WR,2-64,CobbRa00
4025,Keelan Cole,0,1,2021-11-21,28-215,NYJ,,MIA,L 17-24,1,0,0,,0,0.0,0.0,,WR,,ColeKe00
4026,Tevin Coleman,0,1,2021-10-10,28-177,NYJ,@,ATL,L 20-27,1,0,0,,0,0.0,0.0,3-73,RB,3-73,ColeTe01
4027,Tevin Coleman,0,1,2022-01-09,28-268,NYJ,@,BUF,L 10-27,1,0,0,,0,0.0,0.0,3-73,RB,3-73,ColeTe01
4028,Nico Collins,0,1,2021-12-05,22-261,HOU,,IND,L 0-31,1,0,0,,0,0.0,0.0,3-89,WR,3-89,CollNi00
4029,Chris Conley,0,1,2021-09-23,28-333,HOU,,CAR,L 9-24,1,0,0,,0,0.0,0.0,3-76,WR,3-76,ConlCh00
4030,Chris Conley,0,1,2021-10-03,28-343,HOU,@,BUF,L 0-40,1,0,0,,0,0.0,0.0,3-76,WR,3-76,ConlCh00
4031,Chris Conley,0,4,2021-12-05,29-041,HOU,,IND,L 0-31,4,0,0,,0,0.0,0.0,3-76,WR,3-76,ConlCh00
4032,Dalvin Cook,0,2,2021-10-31,26-082,MIN,,DAL,L 16-20,2,0,0,,0,0.0,0.0,2-41,RB,2-41,CookDa01
4033,Pharoh Cooper,0,2,2021-12-19,26-287,NYG,,DAL,L 6-21,2,0,0,,0,0.0,0.0,4-117,WR,4-117,CoopPh00
4034,Pharoh Cooper,0,1,2021-12-26,26-294,NYG,@,PHI,L 10-34,1,0,0,,0,0.0,0.0,4-117,WR,4-117,CoopPh00
4035,Pharoh Cooper,0,2,2022-01-02,26-301,NYG,@,CHI,L 3-29,2,0,0,,0,0.0,0.0,4-117,WR,4-117,CoopPh00
4036,Isaiah Coulter,0,1,2021-11-25,23-068,CHI,@,DET,W 16-14,1,0,0,,0,0.0,0.0,5-171,WR,5-171,CoulIs00
4037,Keion Crossen,0,1,2021-12-12,25-239,NYG,@,LAC,L 21-37,1,0,0,,0,0.0,0.0,7-243,DB,7-243,CrosKe00
4038,Dominique Dafney,0,1,2021-11-07,24-157,GNB,@,KAN,L 7-13,1,0,0,,0,0.0,0.0,,TE,,DafnDo00
4039,Dominique Dafney,0,1,2022-01-02,24-213,GNB,,MIN,W 37-10,1,0,0,,0,0.0,0.0,,TE,,DafnDo00
4040,Darrell Daniels,0,1,2021-10-17,26-329,ARI,@,CLE,W 37-14,1,0,0,,0,0.0,0.0,,TE,,DaniDa02
4041,Darrell Daniels,0,1,2021-11-21,26-364,ARI,@,SEA,W 23-13,1,0,0,,0,0.0,0.0,,TE,,DaniDa02
4042,Frank Darby,0,1,2022-01-02,24-116,ATL,@,BUF,L 15-29,1,0,0,,0,0.0,0.0,6-187,WR,6-187,DarbFr00
4043,Jaelon Darden,0,1,2021-10-24,22-283,TAM,,CHI,W 38-3,1,0,0,,0,0.0,0.0,4-129,WR,4-129,DardJa00
4044,Jaelon Darden,0,3,2021-12-19,22-339,TAM,,NOR,L 0-9,3,0,0,,0,0.0,0.0,4-129,WR,4-129,DardJa00
4045,Jaelon Darden,0,1,2022-01-09,22-360,TAM,,CAR,W 41-17,1,0,0,,0,0.0,0.0,4-129,WR,4-129,DardJa00
4046,Davion Davis,0,2,2021-12-05,25-043,HOU,,IND,L 0-31,2,0,0,,0,0.0,0.0,,WR,,DaviDa03
4047,Gabriel Davis,0,1,2021-10-03,22-185,BUF,,HOU,W 40-0,1,0,0,,0,0.0,0.0,4-128,WR,4-128,DaviGa01
4048,Gabriel Davis,0,2,2021-11-07,22-220,BUF,@,JAX,L 6-9,2,0,0,,0,0.0,0.0,4-128,WR,4-128,DaviGa01
4049,Mike Davis,0,1,2021-11-14,28-268,ATL,@,DAL,L 3-43,1,0,0,,0,0.0,0.0,4-126,RB,4-126,DaviMi01
4050,Mike Davis,0,1,2021-12-19,28-303,ATL,@,SFO,L 13-31,1,0,0,,0,0.0,0.0,4-126,RB,4-126,DaviMi01
4051,Tyler Davis,0,1,2022-01-09,24-282,GNB,@,DET,L 30-37,1,0,0,,0,0.0,0.0,6-206,TE,6-206,DaviTy02
4052,Dion Dawkins,0,1,2022-01-02,27-251,BUF,,ATL,W 29-15,1,0,0,,0,0.0,0.0,2-63,LT,2-63,DawkDi00
4053,Phillip Dorsett,0,1,2021-09-26,28-264,JAX,,ARI,L 19-31,1,0,0,,0,0.0,0.0,1-29,WR,1-29,DorsPh00
4054,Jack Doyle,0,1,2021-10-17,31-165,IND,,HOU,W 31-3,1,0,0,,0,0.0,0.0,,TE,,DoylJa00
4055,Jack Doyle,0,1,2021-10-24,31-172,IND,@,SFO,W 30-18,1,0,0,,0,0.0,0.0,,TE,,DoylJa00
4056,Kenyan Drake,0,1,2021-10-10,27-257,LVR,,CHI,L 9-20,1,0,0,,0,0.0,0.0,3-73,RB,3-73,DrakKe00
4057,Ashton Dulin,0,4,2021-10-31,24-169,IND,,TEN,L 31-34 (OT),4,0,0,,0,0.0,0.0,,WR,,DuliAs00
4058,Ashton Dulin,0,1,2022-01-02,24-232,IND,,LVR,L 20-23,1,0,0,,0,0.0,0.0,,WR,,DuliAs00
4059,Eric Ebron,0,2,2021-09-19,28-162,PIT,,LVR,L 17-26,2,0,0,,0,0.0,0.0,1-10,TE,1-10,EbroEr00
4060,Eric Ebron,0,3,2021-09-26,28-169,PIT,,CIN,L 10-24,3,0,0,,0,0.0,0.0,1-10,TE,1-10,EbroEr00
4061,Chase Edmonds,0,1,2021-12-19,25-250,ARI,@,DET,L 12-30,1,0,0,,0,0.0,0.0,4-134,RB,4-134,EdmoCh00
