Rk,Player,Rec,Tgt,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Draft,Pos.,Draft,Player-additional
2001,Giovani Bernard,2,2,2021-10-14,29-326,TAM,@,PHI,W 28-22,2,2,4,2.0,0,100.0,2.0,2-37,RB,2-37,BernGi00
2002,Giovani Bernard,2,3,2021-10-24,29-336,TAM,,CHI,W 38-3,3,2,5,2.5,0,66.7,1.7,2-37,RB,2-37,BernGi00
2003,Braxton Berrios,2,3,2021-09-26,25-355,NYJ,@,DEN,L 0-26,3,2,26,13.0,0,66.7,8.7,6-210,WR,6-210,BerrBr00
2004,Braxton Berrios,2,2,2021-10-31,26-025,NYJ,,CIN,W 34-31,2,2,13,6.5,1,100.0,6.5,6-210,WR,6-210,BerrBr00
2005,Braxton Berrios,2,3,2021-11-04,26-029,NYJ,@,IND,L 30-45,3,2,5,2.5,0,66.7,1.7,6-210,WR,6-210,BerrBr00
2006,Braxton Berrios,2,3,2021-11-28,26-053,NYJ,@,HOU,W 21-14,3,2,47,23.5,0,66.7,15.7,6-210,WR,6-210,BerrBr00
2007,Christian Blake,2,4,2021-10-10,25-124,ATL,,NYJ,W 27-20,4,2,12,6.0,0,50.0,3.0,,WR,,BlakCh00
2008,Kendall Blanton,2,3,2021-12-13,26-033,LAR,@,ARI,W 30-23,3,2,29,14.5,0,66.7,9.7,,TE,,BlanKe01
2009,C.J. Board,2,3,2021-10-10,27-302,NYG,@,DAL,L 20-44,3,2,7,3.5,0,66.7,2.3,,WR,,BoarC.00
2010,Brandon Bolden,2,2,2021-11-07,31-285,NWE,@,CAR,W 24-6,2,2,27,13.5,0,100.0,13.5,,RB,,BoldBr00
2011,Brandon Bolden,2,2,2021-11-18,31-296,NWE,@,ATL,W 25-0,2,2,15,7.5,0,100.0,7.5,,RB,,BoldBr00
2012,Brandon Bolden,2,5,2021-12-26,31-334,NWE,,BUF,L 21-33,5,2,20,10.0,0,40.0,4.0,,RB,,BoldBr00
2013,Brandon Bolden,2,3,2022-01-02,31-341,NWE,,JAX,W 50-10,3,2,21,10.5,0,66.7,7.0,,RB,,BoldBr00
2014,Brandon Bolden,2,2,2022-01-09,31-348,NWE,@,MIA,L 24-33,2,2,20,10.0,1,100.0,10.0,,RB,,BoldBr00
2015,Reggie Bonnafon,2,2,2021-12-26,25-356,CAR,,TAM,L 6-32,2,2,12,6.0,0,100.0,6.0,,RB,,BonnRe00
2016,Devontae Booker,2,3,2021-10-24,29-150,NYG,,CAR,W 25-3,3,2,15,7.5,0,66.7,5.0,4-136,RB,4-136,BookDe00
2017,Devontae Booker,2,2,2021-12-19,29-206,NYG,,DAL,L 6-21,2,2,8,4.0,0,100.0,4.0,4-136,RB,4-136,BookDe00
2018,Devontae Booker,2,3,2022-01-02,29-220,NYG,@,CHI,L 3-29,3,2,0,0.0,0,66.7,0.0,4-136,RB,4-136,BookDe00
2019,Devontae Booker,2,2,2022-01-09,29-227,NYG,,WAS,L 7-22,2,2,12,6.0,0,100.0,6.0,4-136,RB,4-136,BookDe00
2020,Kendrick Bourne,2,3,2021-09-19,26-046,NWE,@,NYJ,W 25-6,3,2,10,5.0,0,66.7,3.3,,WR,,BourKe00
2021,Kendrick Bourne,2,4,2021-12-26,26-144,NWE,,BUF,L 21-33,4,2,33,16.5,0,50.0,8.3,,WR,,BourKe00
2022,Tyler Boyd,2,2,2021-11-28,27-013,CIN,,PIT,W 41-10,2,2,13,6.5,0,100.0,6.5,2-55,WR,2-55,BoydTy00
2023,Ja'Marcus Bradley,2,2,2021-11-21,24-345,CLE,,DET,W 13-10,2,2,46,23.0,0,100.0,23.0,,WR,,BradJa01
2024,Ja'Marcus Bradley,2,2,2021-11-28,24-352,CLE,@,BAL,L 10-16,2,2,18,9.0,0,100.0,9.0,,WR,,BradJa01
2025,Cameron Brate,2,6,2021-10-03,30-092,TAM,@,NWE,W 19-17,6,2,29,14.5,0,33.3,4.8,,TE,,BratCa00
2026,Cameron Brate,2,4,2021-10-31,30-120,TAM,@,NOR,L 27-36,4,2,15,7.5,0,50.0,3.8,,TE,,BratCa00
2027,Cameron Brate,2,6,2021-11-22,30-142,TAM,,NYG,W 30-10,6,2,27,13.5,0,33.3,4.5,,TE,,BratCa00
