Rk,Player,Att,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,Draft,Pos.,Draft,Player-additional
201,Nick Chubb,16,2021-10-31,25-308,CLE,,PIT,L 10-15,16,61,3.8,0,2-35,RB,2-35,ChubNi00
202,Tevin Coleman,16,2021-11-28,28-226,NYJ,@,HOU,W 21-14,16,67,4.2,0,3-73,RB,3-73,ColeTe01
203,Alex Collins,16,2021-10-25,27-060,SEA,,NOR,L 10-13,16,35,2.2,0,5-171,RB,5-171,CollAl00
204,James Conner,16,2021-09-12,26-130,ARI,@,TEN,W 38-13,16,53,3.3,0,3-105,RB,3-105,ConnJa00
205,James Conner,16,2021-10-17,26-165,ARI,@,CLE,W 37-14,16,71,4.4,0,3-105,RB,3-105,ConnJa00
206,AJ Dillon,16,2021-10-28,23-179,GNB,@,ARI,W 24-21,16,78,4.9,0,2-62,RB,2-62,DillAJ00
207,Chase Edmonds,16,2021-12-25,25-256,ARI,,IND,L 16-22,16,56,3.5,1,4-134,RB,4-134,EdmoCh00
208,Austin Ekeler,16,2022-01-09,26-237,LAC,@,LVR,L 32-35 (OT),16,64,4.0,1,,RB,,EkelAu00
209,Ezekiel Elliott,16,2021-09-19,26-059,DAL,@,LAC,W 20-17,16,71,4.4,1,1-4,RB,1-4,ElliEz00
210,Ezekiel Elliott,16,2021-10-31,26-101,DAL,@,MIN,W 20-16,16,50,3.1,0,1-4,RB,1-4,ElliEz00
211,Ezekiel Elliott,16,2021-12-19,26-150,DAL,@,NYG,W 21-6,16,52,3.3,1,1-4,RB,1-4,ElliEz00
212,Devonta Freeman,16,2021-11-21,29-251,BAL,@,CHI,W 16-13,16,49,3.1,1,4-103,RB,4-103,FreeDe00
213,Devonta Freeman,16,2021-11-28,29-258,BAL,,CLE,W 16-10,16,52,3.3,0,4-103,RB,4-103,FreeDe00
214,Myles Gaskin,16,2021-11-28,24-286,MIA,,CAR,W 33-10,16,49,3.1,2,7-234,RB,7-234,GaskMy00
215,Damien Harris,16,2021-09-19,24-220,NWE,@,NYJ,W 25-6,16,62,3.9,1,3-87,RB,3-87,HarrDa06
216,Najee Harris,16,2021-09-12,23-187,PIT,@,BUF,W 23-16,16,45,2.8,0,1-24,RB,1-24,HarrNa00
217,Darrell Henderson,16,2021-09-12,24-024,LAR,,CHI,W 34-14,16,70,4.4,1,3-70,RB,3-70,HendDa00
218,Darrell Henderson,16,2021-11-28,24-101,LAR,@,GNB,L 28-36,16,55,3.4,0,3-70,RB,3-70,HendDa00
219,Chuba Hubbard,16,2021-10-17,22-128,CAR,,MIN,L 28-34 (OT),16,61,3.8,1,4-126,RB,4-126,HubbCh01
220,Mark Ingram,16,2021-10-10,31-293,HOU,,NWE,L 22-25,16,41,2.6,0,1-28,RB,1-28,IngrMa01
221,Mark Ingram,16,2021-11-21,31-335,NOR,@,PHI,L 29-40,16,88,5.5,0,1-28,RB,1-28,IngrMa01
222,Lamar Jackson,16,2021-09-19,24-255,BAL,,KAN,W 36-35,16,107,6.7,2,1-32,QB,1-32,JackLa00
223,Josh Jacobs,16,2021-10-17,23-248,LVR,@,DEN,W 34-24,16,53,3.3,1,1-24,RB,1-24,JacoJo01
224,Josh Jacobs,16,2022-01-02,23-325,LVR,@,IND,W 23-20,16,63,3.9,1,1-24,RB,1-24,JacoJo01
225,Tony Jones,16,2021-11-25,24-001,NOR,,BUF,L 6-31,16,27,1.7,0,,RB,,JoneTo04
226,Alvin Kamara,16,2021-10-10,26-077,NOR,@,WAS,W 33-22,16,71,4.4,1,3-67,RB,3-67,KamaAl00
227,Trey Lance,16,2021-10-10,21-154,SFO,@,ARI,L 10-17,16,89,5.6,0,1-3,QB,1-3,LancTr00
228,Joe Mixon,16,2021-09-30,25-068,CIN,,JAX,W 24-21,16,67,4.2,1,2-48,RB,2-48,MixoJo00
229,David Montgomery,16,2021-09-12,24-097,CHI,@,LAR,L 14-34,16,108,6.8,1,3-73,RB,3-73,MontDa01
230,Latavius Murray,16,2022-01-09,31-356,BAL,,PIT,L 13-16 (OT),16,150,9.4,1,6-181,RB,6-181,MurrLa00
231,Cordarrelle Patterson,16,2021-11-28,30-256,ATL,@,JAX,W 21-14,16,108,6.8,2,1-29,RB,1-29,PattCo00
232,Cordarrelle Patterson,16,2021-12-12,30-270,ATL,@,CAR,W 29-21,16,58,3.6,1,1-29,RB,1-29,PattCo00
233,Rashaad Penny,16,2021-12-12,25-313,SEA,@,HOU,W 33-13,16,137,8.6,2,1-27,RB,1-27,PennRa00
234,Miles Sanders,16,2021-11-21,24-204,PHI,,NOR,W 40-29,16,94,5.9,0,2-53,RB,2-53,SandMi01
235,Jonathan Taylor,16,2021-10-03,22-257,IND,@,MIA,W 27-17,16,103,6.4,1,2-41,RB,2-41,TaylJo02
236,Jonathan Taylor,16,2021-10-31,22-285,IND,,TEN,L 31-34 (OT),16,70,4.4,1,2-41,RB,2-41,TaylJo02
237,Jonathan Taylor,16,2021-11-28,22-313,IND,,TAM,L 31-38,16,83,5.2,1,2-41,RB,2-41,TaylJo02
238,Damien Williams,16,2021-10-10,29-190,CHI,@,LVR,W 20-9,16,64,4.0,1,,RB,,WillDa05
239,Josh Allen,15,2022-01-02,25-226,BUF,,ATL,W 29-15,15,81,5.4,2,1-7,QB,1-7,AlleJo02
240,Saquon Barkley,15,2021-12-19,24-313,NYG,,DAL,L 6-21,15,50,3.3,0,1-2,RB,1-2,BarkSa00
241,Saquon Barkley,15,2021-12-26,24-320,NYG,@,PHI,L 10-34,15,32,2.1,0,1-2,RB,1-2,BarkSa00
242,Devontae Booker,15,2021-11-01,29-158,NYG,@,KAN,L 17-20,15,60,4.0,0,4-136,RB,4-136,BookDe00
243,Michael Carter,15,2021-10-31,22-177,NYJ,,CIN,W 34-31,15,77,5.1,1,4-107,RB,4-107,CartMi03
244,Nick Chubb,15,2021-09-12,25-259,CLE,@,KAN,L 29-33,15,83,5.5,2,2-35,RB,2-35,ChubNi00
245,Alex Collins,15,2021-10-07,27-042,SEA,,LAR,L 17-26,15,47,3.1,0,5-171,RB,5-171,CollAl00
246,James Conner,15,2022-01-09,26-249,ARI,,SEA,L 30-38,15,52,3.5,1,3-105,RB,3-105,ConnJa00
