Rk,Player,Rec,Tgt,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Draft,Pos.,Draft,Player-additional
2201,D'Onta Foreman,2,3,2021-12-19,25-239,TEN,@,PIT,L 13-19,3,2,27,13.5,0,66.7,9.0,3-89,RB,3-89,ForeDO00
2202,Joe Fortson,2,2,2021-09-26,25-293,KAN,,LAC,L 24-30,2,2,7,3.5,1,100.0,3.5,,WR,,FortJo01
2203,Leonard Fournette,2,4,2021-10-24,26-279,TAM,,CHI,W 38-3,4,2,9,4.5,0,50.0,2.3,1-4,RB,1-4,FourLe00
2204,Devonta Freeman,2,3,2021-11-07,29-237,BAL,,MIN,W 34-31 (OT),3,2,4,2.0,1,66.7,1.3,4-103,RB,4-103,FreeDe00
2205,Devonta Freeman,2,2,2021-12-26,29-286,BAL,@,CIN,L 21-41,2,2,3,1.5,0,100.0,1.5,4-103,RB,4-103,FreeDe00
2206,Devonta Freeman,2,2,2022-01-09,29-300,BAL,,PIT,L 13-16 (OT),2,2,6,3.0,0,100.0,3.0,4-103,RB,4-103,FreeDe00
2207,Pat Freiermuth,2,2,2021-10-10,22-350,PIT,,DEN,W 27-19,2,2,7,3.5,0,100.0,3.5,2-55,TE,2-55,FreiPa00
2208,Pat Freiermuth,2,3,2021-12-09,23-045,PIT,@,MIN,L 28-36,3,2,32,16.0,1,66.7,10.7,2-55,TE,2-55,FreiPa00
2209,Kenneth Gainwell,2,3,2021-09-12,22-182,PHI,@,ATL,W 32-6,3,2,6,3.0,0,66.7,2.0,5-150,RB,5-150,GainKe00
2210,Kenneth Gainwell,2,3,2021-09-19,22-189,PHI,,SFO,L 11-17,3,2,18,9.0,0,66.7,6.0,5-150,RB,5-150,GainKe00
2211,Michael Gallup,2,5,2021-12-26,25-297,DAL,,WAS,W 56-14,5,2,53,26.5,0,40.0,10.6,3-81,WR,3-81,GallMi00
2212,Myles Gaskin,2,6,2021-10-17,24-244,MIA,@,JAX,L 20-23,6,2,5,2.5,0,33.3,0.8,7-234,RB,7-234,GaskMy00
2213,Myles Gaskin,2,2,2021-11-28,24-286,MIA,,CAR,W 33-10,2,2,3,1.5,0,100.0,1.5,7-234,RB,7-234,GaskMy00
2214,Myles Gaskin,2,2,2021-12-05,24-293,MIA,,NYG,W 20-9,2,2,5,2.5,0,100.0,2.5,7-234,RB,7-234,GaskMy00
2215,Zach Gentry,2,2,2021-12-05,25-086,PIT,,BAL,W 20-19,2,2,10,5.0,0,100.0,5.0,5-141,TE,5-141,GentZa00
2216,Mike Gesicki,2,3,2022-01-09,26-098,MIA,,NWE,W 33-24,3,2,22,11.0,0,66.7,7.3,2-42,TE,2-42,GesiMi00
2217,Antonio Gibson,2,2,2021-09-16,23-085,WAS,,NYG,W 30-29,2,2,4,2.0,0,100.0,2.0,3-66,RB,3-66,GibsAn00
2218,Antonio Gibson,2,2,2021-10-03,23-102,WAS,@,ATL,W 34-30,2,2,12,6.0,0,100.0,6.0,3-66,RB,3-66,GibsAn00
2219,Antonio Gibson,2,2,2021-10-10,23-109,WAS,,NOR,L 22-33,2,2,12,6.0,0,100.0,6.0,3-66,RB,3-66,GibsAn00
2220,Antonio Gibson,2,3,2021-10-17,23-116,WAS,,KAN,L 13-31,3,2,0,0.0,0,66.7,0.0,3-66,RB,3-66,GibsAn00
2221,Antonio Gibson,2,2,2021-10-24,23-123,WAS,@,GNB,L 10-24,2,2,5,2.5,0,100.0,2.5,3-66,RB,3-66,GibsAn00
2222,Antonio Gibson,2,2,2021-11-14,23-144,WAS,,TAM,W 29-19,2,2,14,7.0,0,100.0,7.0,3-66,RB,3-66,GibsAn00
2223,Antonio Gibson,2,2,2021-12-12,23-172,WAS,,DAL,L 20-27,2,2,5,2.5,0,100.0,2.5,3-66,RB,3-66,GibsAn00
2224,Antonio Gibson,2,4,2021-12-26,23-186,WAS,@,DAL,L 14-56,4,2,29,14.5,1,50.0,7.3,3-66,RB,3-66,GibsAn00
2225,Dallas Goedert,2,2,2021-09-19,26-259,PHI,,SFO,L 11-17,2,2,24,12.0,0,100.0,12.0,2-49,TE,2-49,GoedDa00
2226,Dallas Goedert,2,4,2021-09-27,26-267,PHI,@,DAL,L 21-41,4,2,66,33.0,0,50.0,16.5,2-49,TE,2-49,GoedDa00
