Rk,Player,Att,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,Draft,Pos.,Draft,Player-additional
2001,Trey Lance,1,2021-09-26,21-140,SFO,,GNB,L 28-30,1,1,1.0,1,1-3,QB,1-3,LancTr00
2002,Jarvis Landry,1,2021-10-31,28-337,CLE,,PIT,L 10-15,1,5,5.0,0,2-63,WR,2-63,LandJa00
2003,Jarvis Landry,1,2021-11-07,28-344,CLE,@,CIN,W 41-16,1,0,0.0,0,2-63,WR,2-63,LandJa00
2004,Jarvis Landry,1,2021-11-21,28-358,CLE,,DET,W 13-10,1,16,16.0,1,2-63,WR,2-63,LandJa00
2005,Jarvis Landry,1,2022-01-03,29-036,CLE,@,PIT,L 14-26,1,6,6.0,0,2-63,WR,2-63,LandJa00
2006,Trevor Lawrence,1,2021-09-12,21-341,JAX,@,HOU,L 21-37,1,-2,-2.0,0,1-1,QB,1-1,LawrTr00
2007,Trevor Lawrence,1,2021-12-12,22-067,JAX,@,TEN,L 0-20,1,2,2.0,0,1-1,QB,1-1,LawrTr00
2008,Allen Lazard,1,2021-12-12,26-001,GNB,,CHI,W 45-30,1,14,14.0,0,,WR,,LazaAl00
2009,Allen Lazard,1,2021-12-19,26-008,GNB,@,BAL,W 31-30,1,5,5.0,0,,WR,,LazaAl00
2010,Allen Lazard,1,2021-12-25,26-014,GNB,,CLE,W 24-22,1,13,13.0,0,,WR,,LazaAl00
2011,Dallin Leavitt,1,2021-12-12,27-126,LVR,@,KAN,L 9-48,1,4,4.0,0,,DB,,LeavDa00
2012,Dallin Leavitt,1,2021-12-20,27-134,LVR,@,CLE,W 16-14,1,2,2.0,0,,DB,,LeavDa00
2013,Andy Lee,1,2022-01-09,39-151,ARI,,SEA,L 30-38,1,0,0.0,0,6-188,P,6-188,LeexAn20
2014,Phillip Lindsay,1,2021-11-21,27-120,HOU,@,TEN,W 22-13,1,-3,-3.0,0,,RB,,LindPh00
2015,Drew Lock,1,2021-12-19,25-039,DEN,,CIN,L 10-15,1,-2,-2.0,0,2-42,QB,2-42,LockDr00
2016,Tyler Lockett,1,2022-01-02,29-096,SEA,,DET,W 51-29,1,7,7.0,0,3-69,WR,3-69,LockTy00
2017,Tyler Lockett,1,2022-01-09,29-103,SEA,@,ARI,W 38-30,1,2,2.0,0,3-69,WR,3-69,LockTy00
2018,Jordan Love,1,2021-11-21,23-019,GNB,@,MIN,L 31-34,1,-1,-1.0,0,1-26,QB,1-26,LoveJo03
2019,Jordan Love,1,2022-01-09,23-068,GNB,@,DET,L 30-37,1,-1,-1.0,0,1-26,QB,1-26,LoveJo03
2020,Patrick Mahomes,1,2021-09-19,26-002,KAN,@,BAL,L 35-36,1,3,3.0,0,1-10,QB,1-10,MahoPa00
2021,Braden Mann,1,2021-12-26,24-032,NYJ,,JAX,W 26-21,1,4,4.0,0,6-191,P,6-191,MannBr01
2022,Marcus Mariota,1,2021-09-13,27-318,LVR,,BAL,W 33-27 (OT),1,31,31.0,0,1-2,QB,1-2,MariMa01
2023,Marcus Mariota,1,2021-10-24,27-359,LVR,,PHI,W 33-22,1,4,4.0,0,1-2,QB,1-2,MariMa01
2024,Marcus Mariota,1,2021-11-07,28-008,LVR,@,NYG,L 16-23,1,6,6.0,0,1-2,QB,1-2,MariMa01
2025,Marcus Mariota,1,2021-12-20,28-051,LVR,@,CLE,W 16-14,1,3,3.0,0,1-2,QB,1-2,MariMa01
2026,Alexander Mattison,1,2021-09-12,23-085,MIN,@,CIN,L 24-27 (OT),1,2,2.0,0,3-102,RB,3-102,MattAl01
2027,Baker Mayfield,1,2021-09-12,26-151,CLE,@,KAN,L 29-33,1,7,7.0,0,1-1,QB,1-1,MayfBa00
2028,Baker Mayfield,1,2021-10-31,26-200,CLE,,PIT,L 10-15,1,5,5.0,0,1-1,QB,1-1,MayfBa00
2029,Ray-Ray McCloud,1,2021-10-31,25-016,PIT,@,CLE,W 15-10,1,10,10.0,0,6-187,WR,6-187,McClRa00
2030,Ray-Ray McCloud,1,2021-11-21,25-037,PIT,@,LAC,L 37-41,1,5,5.0,0,6-187,WR,6-187,McClRa00
2031,Colt McCoy,1,2021-11-14,35-070,ARI,,CAR,L 10-34,1,-1,-1.0,0,3-85,QB,3-85,McCoCo00
2032,Colt McCoy,1,2021-12-19,35-105,ARI,@,DET,L 12-30,1,3,3.0,0,3-85,QB,3-85,McCoCo00
2033,Nate McCrary,1,2021-12-05,22-240,BAL,@,PIT,L 19-20,1,-1,-1.0,0,,RB,,McCrNa00
2034,Anthony McFarland Jr.,1,2021-10-31,22-241,PIT,@,CLE,W 15-10,1,1,1.0,0,4-124,RB,4-124,McFaAn00
2035,Isaiah McKenzie,1,2021-09-12,26-156,BUF,,PIT,L 16-23,1,-3,-3.0,0,5-172,WR,5-172,McKeIs00
2036,Isaiah McKenzie,1,2021-09-26,26-170,BUF,,WAS,W 43-21,1,8,8.0,0,5-172,WR,5-172,McKeIs00
2037,Isaiah McKenzie,1,2021-10-18,26-192,BUF,@,TEN,L 31-34,1,5,5.0,0,5-172,WR,5-172,McKeIs00
2038,Isaiah McKenzie,1,2021-12-19,26-254,BUF,,CAR,W 31-14,1,8,8.0,0,5-172,WR,5-172,McKeIs00
2039,Isaiah McKenzie,1,2021-12-26,26-261,BUF,@,NWE,W 33-21,1,-1,-1.0,0,5-172,WR,5-172,McKeIs00
2040,Isaiah McKenzie,1,2022-01-02,26-268,BUF,,ATL,W 29-15,1,3,3.0,0,5-172,WR,5-172,McKeIs00
2041,Isaiah McKenzie,1,2022-01-09,26-275,BUF,,NYJ,W 27-10,1,10,10.0,0,5-172,WR,5-172,McKeIs00
2042,J.D. McKissic,1,2021-09-12,28-028,WAS,,LAC,L 16-20,1,8,8.0,0,,RB,,McKiJ.00
2043,Jerick McKinnon,1,2021-10-10,29-160,KAN,,BUF,L 20-38,1,2,2.0,0,3-96,RB,3-96,McKiJe00
2044,Terry McLaurin,1,2021-10-31,26-046,WAS,@,DEN,L 10-17,1,12,12.0,0,3-76,WR,3-76,McLaTe00
2045,Jeremy McNichols,1,2021-09-19,25-267,TEN,@,SEA,W 33-30 (OT),1,3,3.0,0,5-162,RB,5-162,McNiJe00
2046,Jeremy McNichols,1,2021-10-03,25-281,TEN,@,NYJ,L 24-27 (OT),1,11,11.0,0,5-162,RB,5-162,McNiJe00
2047,Jeremy McNichols,1,2021-10-10,25-288,TEN,@,JAX,W 37-19,1,9,9.0,0,5-162,RB,5-162,McNiJe00
2048,D.K. Metcalf,1,2022-01-02,24-019,SEA,,DET,W 51-29,1,6,6.0,0,2-64,WR,2-64,MetcDK00
2049,Jakobi Meyers,1,2021-12-18,25-039,NWE,@,IND,L 17-27,1,9,9.0,0,,WR,,MeyeJa01
2050,Sony Michel,1,2021-09-12,26-207,LAR,,CHI,W 34-14,1,2,2.0,0,1-31,RB,1-31,MichSo00
2051,Davis Mills,1,2021-09-23,22-337,HOU,,CAR,L 9-24,1,0,0.0,0,3-67,QB,3-67,MillDa02
2052,Davis Mills,1,2021-10-03,22-347,HOU,@,BUF,L 0-40,1,2,2.0,0,3-67,QB,3-67,MillDa02
2053,Davis Mills,1,2021-10-10,22-354,HOU,,NWE,L 22-25,1,2,2.0,0,3-67,QB,3-67,MillDa02
2054,Davis Mills,1,2021-12-19,23-059,HOU,@,JAX,W 30-16,1,2,2.0,0,3-67,QB,3-67,MillDa02
2055,Davis Mills,1,2021-12-26,23-066,HOU,,LAC,W 41-29,1,-1,-1.0,0,3-67,QB,3-67,MillDa02
2056,Davis Mills,1,2022-01-02,23-073,HOU,@,SFO,L 7-23,1,4,4.0,0,3-67,QB,3-67,MillDa02
2057,Dax Milne,1,2022-01-02,22-193,WAS,,PHI,L 16-20,1,1,1.0,0,7-258,WR,7-258,MilnDa00
2058,Ty Montgomery,1,2021-10-25,28-276,NOR,@,SEA,W 13-10,1,4,4.0,0,3-94,WR,3-94,MontTy01
2059,Ty Montgomery,1,2021-11-14,28-296,NOR,@,TEN,L 21-23,1,2,2.0,0,3-94,WR,3-94,MontTy01
2060,Ty Montgomery,1,2022-01-02,28-345,NOR,,CAR,W 18-10,1,-4,-4.0,0,3-94,WR,3-94,MontTy01
2061,Darnell Mooney,1,2021-10-03,23-339,CHI,,DET,W 24-14,1,10,10.0,0,5-173,WR,5-173,MoonDa00
2062,Darnell Mooney,1,2021-11-08,24-010,CHI,@,PIT,L 27-29,1,15,15.0,1,5-173,WR,5-173,MoonDa00
2063,Darnell Mooney,1,2021-11-25,24-027,CHI,@,DET,W 16-14,1,2,2.0,0,5-173,WR,5-173,MoonDa00
2064,Darnell Mooney,1,2021-12-20,24-052,CHI,,MIN,L 9-17,1,3,3.0,0,5-173,WR,5-173,MoonDa00
2065,C.J. Moore,1,2021-10-24,25-313,DET,@,LAR,L 19-28,1,28,28.0,0,,DB,,MoorCJ01
2066,D.J. Moore,1,2021-09-12,24-151,CAR,,NYJ,W 19-14,1,14,14.0,0,1-24,WR,1-24,MoorD.00
2067,D.J. Moore,1,2021-09-23,24-162,CAR,@,HOU,W 24-9,1,-1,-1.0,0,1-24,WR,1-24,MoorD.00
2068,D.J. Moore,1,2021-10-03,24-172,CAR,@,DAL,L 28-36,1,6,6.0,0,1-24,WR,1-24,MoorD.00
2069,D.J. Moore,1,2021-10-10,24-179,CAR,,PHI,L 18-21,1,-4,-4.0,0,1-24,WR,1-24,MoorD.00
2070,D.J. Moore,1,2021-10-17,24-186,CAR,,MIN,L 28-34 (OT),1,6,6.0,0,1-24,WR,1-24,MoorD.00
2071,D.J. Moore,1,2022-01-09,24-270,CAR,@,TAM,L 17-41,1,13,13.0,0,1-24,WR,1-24,MoorD.00
2072,Elijah Moore,1,2021-10-24,21-211,NYJ,@,NWE,L 13-54,1,19,19.0,1,2-34,WR,2-34,MoorEl00
2073,Elijah Moore,1,2021-10-31,21-218,NYJ,,CIN,W 34-31,1,4,4.0,0,2-34,WR,2-34,MoorEl00
2074,Elijah Moore,1,2021-11-21,21-239,NYJ,,MIA,L 17-24,1,15,15.0,0,2-34,WR,2-34,MoorEl00
