Rk,Player,Att,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,Draft,Pos.,Draft,Player-additional
601,Devonta Freeman,9,2021-10-17,29-216,BAL,,LAC,W 34-6,9,53,5.9,1,4-103,RB,4-103,FreeDe00
602,Kenneth Gainwell,9,2021-09-12,22-182,PHI,@,ATL,W 32-6,9,37,4.1,1,5-150,RB,5-150,GainKe00
603,Myles Gaskin,9,2021-09-12,24-209,MIA,@,NWE,W 17-16,9,49,5.4,0,7-234,RB,7-234,GaskMy00
604,Melvin Gordon,9,2021-10-03,28-173,DEN,,BAL,L 7-23,9,56,6.2,0,1-15,RB,1-15,GordMe00
605,Melvin Gordon,9,2021-10-10,28-180,DEN,@,PIT,L 19-27,9,34,3.8,0,1-15,RB,1-15,GordMe00
606,Melvin Gordon,9,2021-11-14,28-215,DEN,,PHI,L 13-30,9,45,5.0,1,1-15,RB,1-15,GordMe00
607,Derrick Gore,9,2021-12-12,26-364,KAN,,LVR,W 48-9,9,66,7.3,1,,RB,,GoreDe00
608,Damien Harris,9,2022-01-02,24-325,NWE,,JAX,W 50-10,9,35,3.9,2,3-87,RB,3-87,HarrDa06
609,Justin Herbert,9,2021-11-21,23-256,LAC,,PIT,W 41-37,9,90,10.0,0,1-6,QB,1-6,HerbJu00
610,Dontrell Hilliard,9,2021-12-19,26-296,TEN,@,PIT,L 13-19,9,49,5.4,0,,RB,,HillDo00
611,Dontrell Hilliard,9,2022-01-09,26-317,TEN,@,HOU,W 28-25,9,57,6.3,0,,RB,,HillDo00
612,Nyheim Hines,9,2021-09-12,24-304,IND,,SEA,L 16-28,9,34,3.8,0,4-104,RB,4-104,HineNy00
613,Jordan Howard,9,2021-12-26,27-054,PHI,,NYG,W 34-10,9,37,4.1,0,5-150,RB,5-150,HowaJo00
614,Chuba Hubbard,9,2021-11-14,22-156,CAR,@,ARI,W 34-10,9,27,3.0,1,4-126,RB,4-126,HubbCh01
615,Chuba Hubbard,9,2022-01-09,22-212,CAR,@,TAM,L 17-41,9,48,5.3,0,4-126,RB,4-126,HubbCh01
616,Jalen Hurts,9,2021-09-27,23-051,PHI,@,DAL,L 21-41,9,35,3.9,0,2-53,QB,2-53,HurtJa00
617,Jalen Hurts,9,2021-10-10,23-064,PHI,@,CAR,W 21-18,9,30,3.3,2,2-53,QB,2-53,HurtJa00
618,Carlos Hyde,9,2021-09-12,30-357,JAX,@,HOU,L 21-37,9,44,4.9,0,2-57,RB,2-57,HydeCa00
619,Carlos Hyde,9,2021-10-31,31-041,JAX,@,SEA,L 7-31,9,32,3.6,0,2-57,RB,2-57,HydeCa00
620,Carlos Hyde,9,2021-12-05,31-076,JAX,@,LAR,L 7-37,9,24,2.7,1,2-57,RB,2-57,HydeCa00
621,Mark Ingram,9,2021-11-07,31-321,NOR,,ATL,L 25-27,9,43,4.8,0,1-28,RB,1-28,IngrMa01
622,Mark Ingram,9,2021-12-19,31-363,NOR,@,TAM,W 9-0,9,10,1.1,0,1-28,RB,1-28,IngrMa01
623,Justin Jackson,9,2021-12-12,25-234,LAC,,NYG,W 37-21,9,35,3.9,0,7-251,RB,7-251,JackJu01
624,Lamar Jackson,9,2021-11-11,24-308,BAL,@,MIA,L 10-22,9,39,4.3,0,1-32,QB,1-32,JackLa00
625,Josh Jacobs,9,2021-11-21,23-283,LVR,,CIN,L 13-32,9,37,4.1,0,1-24,RB,1-24,JacoJo01
626,Josh Jacobs,9,2021-12-12,23-304,LVR,@,KAN,L 9-48,9,24,2.7,0,1-24,RB,1-24,JacoJo01
627,Daniel Jones,9,2021-09-16,24-112,NYG,@,WAS,L 29-30,9,95,10.6,1,1-6,QB,1-6,JoneDa05
628,Daniel Jones,9,2021-11-28,24-185,NYG,,PHI,W 13-7,9,30,3.3,0,1-6,QB,1-6,JoneDa05
629,Patrick Mahomes,9,2022-01-08,26-113,KAN,@,DEN,W 28-24,9,54,6.0,0,1-10,QB,1-10,MahoPa00
