Rk,Player,Rec,Tgt,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Draft,Pos.,Draft,Player-additional
3601,Dezmon Patmon,1,1,2021-12-25,23-141,IND,@,ARI,W 22-16,1,1,14,14.0,1,100.0,14.0,6-212,WR,6-212,PatmDe00
3602,Tim Patrick,1,5,2021-12-05,28-012,DEN,@,KAN,L 9-22,5,1,9,9.0,0,20.0,1.8,,WR,,PatrTi00
3603,Cordarrelle Patterson,1,2,2021-11-14,30-242,ATL,@,DAL,L 3-43,2,1,14,14.0,0,50.0,7.0,1-29,RB,1-29,PattCo00
3604,Cordarrelle Patterson,1,2,2021-12-26,30-284,ATL,,DET,W 20-16,2,1,-1,-1.0,0,50.0,-0.5,1-29,RB,1-29,PattCo00
3605,Cordarrelle Patterson,1,1,2022-01-09,30-298,ATL,,NOR,L 20-30,1,1,1,1.0,0,100.0,1.0,1-29,RB,1-29,PattCo00
3606,Jaret Patterson,1,1,2021-10-03,21-284,WAS,@,ATL,W 34-30,1,1,11,11.0,0,100.0,11.0,,RB,,PattJa01
3607,Jaret Patterson,1,1,2021-10-17,21-298,WAS,,KAN,L 13-31,1,1,-2,-2.0,0,100.0,-2.0,,RB,,PattJa01
3608,Jaret Patterson,1,1,2021-12-12,21-354,WAS,,DAL,L 20-27,1,1,9,9.0,0,100.0,9.0,,RB,,PattJa01
3609,Elijhaa Penny,1,2,2021-10-17,28-061,NYG,,LAR,L 11-38,2,1,1,1.0,0,50.0,0.5,,RB,,PennEl00
3610,Elijhaa Penny,1,1,2021-11-01,28-076,NYG,@,KAN,L 17-20,1,1,16,16.0,0,100.0,16.0,,RB,,PennEl00
3611,Elijhaa Penny,1,1,2021-12-12,28-117,NYG,@,LAC,L 21-37,1,1,3,3.0,1,100.0,3.0,,RB,,PennEl00
3612,Rashaad Penny,1,1,2021-12-05,25-306,SEA,,SFO,W 30-23,1,1,27,27.0,0,100.0,27.0,1-27,RB,1-27,PennRa00
3613,Rashaad Penny,1,1,2021-12-12,25-313,SEA,@,HOU,W 33-13,1,1,1,1.0,0,100.0,1.0,1-27,RB,1-27,PennRa00
3614,Donovan Peoples-Jones,1,1,2021-09-12,22-205,CLE,@,KAN,L 29-33,1,1,4,4.0,0,100.0,4.0,6-187,WR,6-187,PeopDo00
3615,Donovan Peoples-Jones,1,1,2021-09-19,22-212,CLE,,HOU,W 31-21,1,1,14,14.0,0,100.0,14.0,6-187,WR,6-187,PeopDo00
3616,Donovan Peoples-Jones,1,5,2021-11-14,22-268,CLE,@,NWE,L 7-45,5,1,16,16.0,0,20.0,3.2,6-187,WR,6-187,PeopDo00
3617,Donovan Peoples-Jones,1,6,2021-12-25,22-309,CLE,@,GNB,L 22-24,6,1,5,5.0,0,16.7,0.8,6-187,WR,6-187,PeopDo00
3618,Samaje Perine,1,1,2021-09-12,25-361,CIN,,MIN,W 27-24 (OT),1,1,7,7.0,0,100.0,7.0,4-114,RB,4-114,PeriSa00
3619,Samaje Perine,1,1,2021-09-26,26-010,CIN,@,PIT,W 24-10,1,1,8,8.0,0,100.0,8.0,4-114,RB,4-114,PeriSa00
3620,Samaje Perine,1,1,2021-09-30,26-014,CIN,,JAX,W 24-21,1,1,15,15.0,0,100.0,15.0,4-114,RB,4-114,PeriSa00
3621,Samaje Perine,1,1,2021-10-24,26-038,CIN,@,BAL,W 41-17,1,1,23,23.0,0,100.0,23.0,4-114,RB,4-114,PeriSa00
3622,Samaje Perine,1,1,2021-11-28,26-073,CIN,,PIT,W 41-10,1,1,12,12.0,0,100.0,12.0,4-114,RB,4-114,PeriSa00
3623,Samaje Perine,1,1,2022-01-02,26-108,CIN,,KAN,W 34-31,1,1,10,10.0,0,100.0,10.0,4-114,RB,4-114,PeriSa00
3624,Breshad Perriman,1,3,2021-12-05,28-086,TAM,@,ATL,W 30-17,3,1,5,5.0,0,33.3,1.7,1-26,WR,1-26,PerrBr02
3625,Breshad Perriman,1,2,2021-12-12,28-093,TAM,,BUF,W 33-27 (OT),2,1,58,58.0,1,50.0,29.0,1-26,WR,1-26,PerrBr02
3626,Adrian Peterson,1,1,2021-11-07,36-231,TEN,@,LAR,W 28-16,1,1,5,5.0,0,100.0,5.0,1-7,RB,1-7,PeteAd01
3627,Adrian Peterson,1,1,2021-11-14,36-238,TEN,,NOR,W 23-21,1,1,-1,-1.0,0,100.0,-1.0,1-7,RB,1-7,PeteAd01
3628,Danny Pinter,1,1,2021-11-04,25-138,IND,,NYJ,W 45-30,1,1,2,2.0,1,100.0,2.0,5-149,G,5-149,PintDa00
3629,Michael Pittman Jr.,1,5,2021-12-18,24-074,IND,,NWE,W 27-17,5,1,7,7.0,0,20.0,1.4,2-34,WR,2-34,PittMi01
3630,Tony Pollard,1,1,2021-09-27,24-150,DAL,,PHI,W 41-21,1,1,5,5.0,0,100.0,5.0,4-128,RB,4-128,PollTo00
3631,Tony Pollard,1,1,2021-10-31,24-184,DAL,@,MIN,W 20-16,1,1,1,1.0,0,100.0,1.0,4-128,RB,4-128,PollTo00
3632,Tony Pollard,1,2,2021-11-07,24-191,DAL,,DEN,L 16-30,2,1,32,32.0,0,50.0,16.0,4-128,RB,4-128,PollTo00
3633,Adam Prentice,1,1,2021-11-25,24-313,NOR,,BUF,L 6-31,1,1,10,10.0,0,100.0,10.0,,FB,,PrenAd00
3634,Adam Prentice,1,1,2022-01-02,24-351,NOR,,CAR,W 18-10,1,1,4,4.0,0,100.0,4.0,,FB,,PrenAd00
3635,Adam Prentice,1,1,2022-01-09,24-358,NOR,@,ATL,W 30-20,1,1,2,2.0,0,100.0,2.0,,FB,,PrenAd00
3636,Bobby Price,1,1,2021-10-24,23-182,DET,@,LAR,L 19-28,1,1,17,17.0,0,100.0,17.0,,DB,,PricBo00
3637,Byron Pringle,1,2,2021-09-12,27-299,KAN,,CLE,W 33-29,2,1,6,6.0,0,50.0,3.0,,WR,,PrinBy00
3638,Byron Pringle,1,2,2021-11-01,27-349,KAN,,NYG,W 20-17,2,1,12,12.0,0,50.0,6.0,,WR,,PrinBy00
3639,Byron Pringle,1,2,2021-11-21,28-004,KAN,,DAL,W 19-9,2,1,37,37.0,0,50.0,18.5,,WR,,PrinBy00
3640,Byron Pringle,1,4,2021-12-05,28-018,KAN,,DEN,W 22-9,4,1,14,14.0,0,25.0,3.5,,WR,,PrinBy00
3641,Byron Pringle,1,1,2021-12-12,28-025,KAN,,LVR,W 48-9,1,1,28,28.0,0,100.0,28.0,,WR,,PrinBy00
3642,James Proche,1,1,2021-09-26,25-005,BAL,@,DET,W 19-17,1,1,29,29.0,0,100.0,29.0,6-201,WR,6-201,ProcJa00
3643,James Proche,1,1,2021-12-19,25-089,BAL,,GNB,L 30-31,1,1,8,8.0,0,100.0,8.0,6-201,WR,6-201,ProcJa00
3644,MyCole Pruitt,1,1,2021-09-26,29-186,TEN,,IND,W 25-16,1,1,7,7.0,0,100.0,7.0,5-143,TE,5-143,PruiMy00
3645,MyCole Pruitt,1,1,2021-10-03,29-193,TEN,@,NYJ,L 24-27 (OT),1,1,14,14.0,0,100.0,14.0,5-143,TE,5-143,PruiMy00
3646,MyCole Pruitt,1,1,2021-10-10,29-200,TEN,@,JAX,W 37-19,1,1,14,14.0,1,100.0,14.0,5-143,TE,5-143,PruiMy00
3647,MyCole Pruitt,1,1,2021-11-14,29-235,TEN,,NOR,W 23-21,1,1,2,2.0,1,100.0,2.0,5-143,TE,5-143,PruiMy00
3648,MyCole Pruitt,1,2,2021-11-28,29-249,TEN,@,NWE,L 13-36,2,1,10,10.0,0,50.0,5.0,5-143,TE,5-143,PruiMy00
3649,MyCole Pruitt,1,3,2021-12-12,29-263,TEN,,JAX,W 20-0,3,1,5,5.0,0,33.3,1.7,5-143,TE,5-143,PruiMy00
