Rk,Player,Att,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,Draft,Pos.,Draft,Player-additional
1,Derrick Henry,35,2021-09-19,27-258,TEN,@,SEA,W 33-30 (OT),35,182,5.2,3,2-45,RB,2-45,HenrDe00
2,Derrick Henry,33,2021-10-03,27-272,TEN,@,NYJ,L 24-27 (OT),33,157,4.8,1,2-45,RB,2-45,HenrDe00
3,D'Andre Swift,33,2021-11-14,22-304,DET,@,PIT,T 16-16 (OT),33,130,3.9,0,2-35,RB,2-35,SwifDA00
4,Jonathan Taylor,32,2021-11-21,22-306,IND,@,BUF,W 41-15,32,185,5.8,4,2-41,RB,2-41,TaylJo02
5,Jonathan Taylor,32,2021-12-05,22-320,IND,@,HOU,W 31-0,32,143,4.5,2,2-41,RB,2-41,TaylJo02
6,Alvin Kamara,30,2022-01-09,26-168,NOR,@,ATL,W 30-20,30,146,4.9,0,3-67,RB,3-67,KamaAl00
7,Joe Mixon,30,2021-11-21,25-120,CIN,@,LVR,W 32-13,30,123,4.1,2,2-48,RB,2-48,MixoJo00
8,Dalvin Cook,29,2021-10-17,26-068,MIN,@,CAR,W 34-28 (OT),29,140,4.8,1,2-41,RB,2-41,CookDa01
9,Antonio Gibson,29,2021-11-29,23-159,WAS,,SEA,W 17-15,29,111,3.8,0,3-66,RB,3-66,GibsAn00
10,Derrick Henry,29,2021-10-10,27-279,TEN,@,JAX,W 37-19,29,130,4.5,3,2-45,RB,2-45,HenrDe00
11,Derrick Henry,29,2021-10-24,27-293,TEN,,KAN,W 27-3,29,86,3.0,0,2-45,RB,2-45,HenrDe00
12,Joe Mixon,29,2021-09-12,25-050,CIN,,MIN,W 27-24 (OT),29,127,4.4,1,2-48,RB,2-48,MixoJo00
13,Jonathan Taylor,29,2021-12-18,22-333,IND,,NWE,W 27-17,29,170,5.9,1,2-41,RB,2-41,TaylJo02
14,Dalvin Cook,28,2021-12-20,26-132,MIN,@,CHI,W 17-9,28,89,3.2,0,2-41,RB,2-41,CookDa01
15,Najee Harris,28,2022-01-03,23-300,PIT,,CLE,W 26-14,28,188,6.7,1,1-24,RB,1-24,HarrNa00
16,Derrick Henry,28,2021-09-26,27-265,TEN,,IND,W 25-16,28,113,4.0,0,2-45,RB,2-45,HenrDe00
17,Derrick Henry,28,2021-10-31,27-300,TEN,@,IND,W 34-31 (OT),28,68,2.4,0,2-45,RB,2-45,HenrDe00
18,Joe Mixon,28,2021-11-28,25-127,CIN,,PIT,W 41-10,28,165,5.9,2,2-48,RB,2-48,MixoJo00
19,Dalvin Cook,27,2021-12-09,26-121,MIN,,PIT,W 36-28,27,205,7.6,2,2-41,RB,2-41,CookDa01
20,Josh Jacobs,27,2021-12-26,23-318,LVR,,DEN,W 17-13,27,129,4.8,0,1-24,RB,1-24,JacoJo01
21,Alvin Kamara,27,2021-12-12,26-140,NOR,@,NYJ,W 30-9,27,120,4.4,1,3-67,RB,3-67,KamaAl00
22,Sony Michel,27,2021-12-26,26-312,LAR,@,MIN,W 30-23,27,131,4.9,1,1-31,RB,1-31,MichSo00
23,Elijah Mitchell,27,2021-11-15,23-197,SFO,,LAR,W 31-10,27,91,3.4,0,6-194,RB,6-194,MitcEl00
24,Elijah Mitchell,27,2021-11-28,23-210,SFO,,MIN,W 34-26,27,133,4.9,1,6-194,RB,6-194,MitcEl00
25,Jonathan Taylor,27,2021-12-25,22-340,IND,@,ARI,W 22-16,27,108,4.0,0,2-41,RB,2-41,TaylJo02
26,D'Onta Foreman,26,2022-01-02,25-253,TEN,,MIA,W 34-3,26,132,5.1,1,3-89,RB,3-89,ForeDO00
27,Najee Harris,26,2021-10-31,23-236,PIT,@,CLE,W 15-10,26,91,3.5,1,1-24,RB,1-24,HarrNa00
28,Najee Harris,26,2021-11-14,23-250,PIT,,DET,T 16-16 (OT),26,105,4.0,0,1-24,RB,1-24,HarrNa00
29,Mark Ingram,26,2021-09-12,31-265,HOU,,JAX,W 37-21,26,85,3.3,1,1-28,RB,1-28,IngrMa01
30,Josh Jacobs,26,2022-01-09,23-332,LVR,,LAC,W 35-32 (OT),26,132,5.1,1,1-24,RB,1-24,JacoJo01
31,Alvin Kamara,26,2021-10-03,26-070,NOR,,NYG,L 21-27 (OT),26,120,4.6,0,3-67,RB,3-67,KamaAl00
32,Alexander Mattison,26,2021-09-26,23-099,MIN,,SEA,W 30-17,26,112,4.3,0,3-102,RB,3-102,MattAl01
33,Craig Reynolds,26,2021-12-19,25-187,DET,,ARI,W 30-12,26,112,4.3,0,,RB,,ReynCr00
34,D'Ernest Johnson,25,2022-01-09,25-316,CLE,,CIN,W 21-16,25,123,4.9,1,,RB,,JohnDE04
35,Duke Johnson,25,2022-01-09,28-108,MIA,,NWE,W 33-24,25,117,4.7,1,3-77,RB,3-77,JohnDu00
36,Alexander Mattison,25,2021-10-10,23-113,MIN,,DET,W 19-17,25,113,4.5,0,3-102,RB,3-102,MattAl01
37,Rashaad Penny,25,2022-01-02,25-334,SEA,,DET,W 51-29,25,170,6.8,2,1-27,RB,1-27,PennRa00
38,Dalvin Cook,24,2021-11-14,26-096,MIN,@,LAC,W 27-20,24,94,3.9,1,2-41,RB,2-41,CookDa01
39,Antonio Gibson,24,2021-11-14,23-144,WAS,,TAM,W 29-19,24,64,2.7,2,3-66,RB,3-66,GibsAn00
40,Melvin Gordon,24,2021-12-12,28-243,DEN,,DET,W 38-10,24,111,4.6,2,1-15,RB,1-15,GordMe00
41,Najee Harris,24,2021-10-17,23-222,PIT,,SEA,W 23-20 (OT),24,81,3.4,0,1-24,RB,1-24,HarrNa00
42,Chuba Hubbard,24,2021-10-10,22-121,CAR,,PHI,L 18-21,24,101,4.2,0,4-126,RB,4-126,HubbCh01
43,Chuba Hubbard,24,2021-10-31,22-142,CAR,@,ATL,W 19-13,24,82,3.4,1,4-126,RB,4-126,HubbCh01
44,Alvin Kamara,24,2021-09-26,26-063,NOR,@,NWE,W 28-13,24,89,3.7,0,3-67,RB,3-67,KamaAl00
45,Christian McCaffrey,24,2021-09-19,25-104,CAR,,NOR,W 26-7,24,72,3.0,1,1-8,RB,1-8,McCaCh01
46,Sony Michel,24,2021-12-05,26-291,LAR,,JAX,W 37-7,24,121,5.0,1,1-31,RB,1-31,MichSo00
47,Miles Sanders,24,2021-12-05,24-218,PHI,@,NYJ,W 33-18,24,120,5.0,0,2-53,RB,2-53,SandMi01
48,Rhamondre Stevenson,24,2021-12-06,23-286,NWE,@,BUF,W 14-10,24,78,3.3,0,4-120,RB,4-120,StevRh00
49,Peyton Barber,23,2021-09-26,27-091,LVR,,MIA,W 31-28 (OT),23,111,4.8,1,,RB,,BarbPe01
50,Nick Chubb,23,2021-12-20,25-358,CLE,,LVR,L 14-16,23,91,4.0,1,2-35,RB,2-35,ChubNi00
51,Myles Gaskin,23,2021-11-21,24-279,MIA,@,NYJ,W 24-17,23,89,3.9,0,7-234,RB,7-234,GaskMy00
52,Antonio Gibson,23,2021-12-05,23-165,WAS,@,LVR,W 17-15,23,88,3.8,0,3-66,RB,3-66,GibsAn00
53,Damien Harris,23,2021-09-12,24-213,NWE,,MIA,L 16-17,23,100,4.3,0,3-87,RB,3-87,HarrDa06
54,Damien Harris,23,2021-10-31,24-262,NWE,@,LAC,W 27-24,23,80,3.5,1,3-87,RB,3-87,HarrDa06
55,Najee Harris,23,2021-10-10,23-215,PIT,,DEN,W 27-19,23,122,5.3,1,1-24,RB,1-24,HarrNa00
56,Khalil Herbert,23,2021-10-31,23-193,CHI,,SFO,L 22-33,23,72,3.1,0,6-217,RB,6-217,HerbKh00
57,David Montgomery,23,2021-10-03,24-118,CHI,,DET,W 24-14,23,106,4.6,2,3-73,RB,3-73,MontDa01
58,Rashaad Penny,23,2022-01-09,25-341,SEA,@,ARI,W 38-30,23,190,8.3,1,1-27,RB,1-27,PennRa00
59,Devin Singletary,23,2022-01-02,24-121,BUF,,ATL,W 29-15,23,110,4.8,2,3-74,RB,3-74,SingDe00
60,Javonte Williams,23,2021-12-05,21-224,DEN,@,KAN,L 9-22,23,102,4.4,0,2-35,RB,2-35,WillJa10
61,Rex Burkhead,22,2021-12-26,31-177,HOU,,LAC,W 41-29,22,149,6.8,2,6-190,RB,6-190,BurkRe00
