Rk,Player,Rec,Tgt,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Draft,Pos.,Draft,Player-additional
601,Jared Cook,5,8,2021-09-12,34-158,LAC,@,WAS,W 20-16,8,5,56,11.2,0,62.5,7.0,3-89,TE,3-89,CookJa02
602,Amari Cooper,5,8,2021-10-17,27-122,DAL,@,NWE,W 35-29 (OT),8,5,55,11.0,0,62.5,6.9,1-4,WR,1-4,CoopAm00
603,Amari Cooper,5,7,2021-12-12,27-178,DAL,@,WAS,W 27-20,7,5,51,10.2,1,71.4,7.3,1-4,WR,1-4,CoopAm00
604,Amari Cooper,5,7,2022-01-08,27-205,DAL,@,PHI,W 51-26,7,5,79,15.8,0,71.4,11.3,1-4,WR,1-4,CoopAm00
605,Jamison Crowder,5,7,2021-11-04,28-140,NYJ,@,IND,L 30-45,7,5,38,7.6,0,71.4,5.4,4-105,WR,4-105,CrowJa00
606,Jamison Crowder,5,8,2021-12-19,28-185,NYJ,@,MIA,L 24-31,8,5,40,8.0,0,62.5,5.0,4-105,WR,4-105,CrowJa00
607,DeeJay Dallas,5,5,2021-10-17,23-031,SEA,@,PIT,L 20-23 (OT),5,5,33,6.6,0,100.0,6.6,4-144,RB,4-144,DallDe00
608,DeeJay Dallas,5,5,2021-11-29,23-074,SEA,@,WAS,L 15-17,5,5,27,5.4,0,100.0,5.4,4-144,RB,4-144,DallDe00
609,Corey Davis,5,7,2021-09-12,26-244,NYJ,@,CAR,L 14-19,7,5,97,19.4,2,71.4,13.9,1-5,WR,1-5,DaviCo03
610,Corey Davis,5,10,2021-09-26,26-258,NYJ,@,DEN,L 0-26,10,5,41,8.2,0,50.0,4.1,1-5,WR,1-5,DaviCo03
611,Corey Davis,5,7,2021-11-14,26-307,NYJ,,BUF,L 17-45,7,5,93,18.6,0,71.4,13.3,1-5,WR,1-5,DaviCo03
612,Gabriel Davis,5,8,2021-12-12,22-255,BUF,@,TAM,L 27-33 (OT),8,5,43,8.6,1,62.5,5.4,4-128,WR,4-128,DaviGa01
613,Gabriel Davis,5,7,2021-12-19,22-262,BUF,,CAR,W 31-14,7,5,85,17.0,2,71.4,12.1,4-128,WR,4-128,DaviGa01
614,Mike Davis,5,6,2021-10-31,28-254,ATL,,CAR,L 13-19,6,5,22,4.4,0,83.3,3.7,4-126,RB,4-126,DaviMi01
615,Mike Davis,5,6,2021-12-12,28-296,ATL,@,CAR,W 29-21,6,5,42,8.4,0,83.3,7.0,4-126,RB,4-126,DaviMi01
616,Stefon Diggs,5,7,2021-10-31,27-336,BUF,,MIA,W 26-11,7,5,40,8.0,1,71.4,5.7,5-146,WR,5-146,DiggSt00
617,Stefon Diggs,5,9,2022-01-02,28-034,BUF,,ATL,W 29-15,9,5,52,10.4,0,55.6,5.8,5-146,WR,5-146,DiggSt00
618,AJ Dillon,5,5,2021-11-28,23-210,GNB,,LAR,W 36-28,5,5,21,4.2,1,100.0,4.2,2-62,RB,2-62,DillAJ00
619,Jack Doyle,5,8,2021-09-19,31-137,IND,,LAR,L 24-27,8,5,64,12.8,0,62.5,8.0,,TE,,DoylJa00
620,Kenyan Drake,5,5,2021-09-13,27-230,LVR,,BAL,W 33-27 (OT),5,5,59,11.8,0,100.0,11.8,3-73,RB,3-73,DrakKe00
621,Kenyan Drake,5,6,2021-09-19,27-236,LVR,@,PIT,W 26-17,6,5,46,9.2,0,83.3,7.7,3-73,RB,3-73,DrakKe00
622,Chase Edmonds,5,5,2021-09-19,25-159,ARI,,MIN,W 34-33,5,5,29,5.8,0,100.0,5.8,4-134,RB,4-134,EdmoCh00
623,Chase Edmonds,5,6,2022-01-02,25-264,ARI,@,DAL,W 25-22,6,5,29,5.8,0,83.3,4.8,4-134,RB,4-134,EdmoCh00
624,Austin Ekeler,5,5,2021-10-10,26-146,LAC,,CLE,W 47-42,5,5,53,10.6,1,100.0,10.6,,RB,,EkelAu00
625,Austin Ekeler,5,5,2021-12-05,26-202,LAC,@,CIN,W 41-22,5,5,45,9.0,0,100.0,9.0,,RB,,EkelAu00
626,Austin Ekeler,5,12,2022-01-09,26-237,LAC,@,LVR,L 32-35 (OT),12,5,35,7.0,1,41.7,2.9,,RB,,EkelAu00
627,Evan Engram,5,6,2021-10-03,27-031,NYG,@,NOR,W 27-21 (OT),6,5,27,5.4,0,83.3,4.5,1-23,TE,1-23,EngrEv00
628,Zach Ertz,5,7,2021-12-13,31-033,ARI,,LAR,L 23-30,7,5,42,8.4,0,71.4,6.0,2-35,TE,2-35,ErtzZa00
629,Mike Evans,5,9,2021-09-19,28-029,TAM,,ATL,W 48-25,9,5,75,15.0,2,55.6,8.3,1-7,WR,1-7,EvanMi00
630,Gerald Everett,5,5,2021-09-26,27-093,SEA,@,MIN,L 17-30,5,5,54,10.8,0,100.0,10.8,2-44,TE,2-44,EverGe00
631,Gerald Everett,5,9,2021-11-29,27-157,SEA,@,WAS,L 15-17,9,5,37,7.4,1,55.6,4.1,2-44,TE,2-44,EverGe00
632,Noah Fant,5,7,2021-10-21,23-335,DEN,@,CLE,L 14-17,7,5,39,7.8,0,71.4,5.6,1-20,TE,1-20,FantNo00
633,Noah Fant,5,6,2021-11-14,23-359,DEN,,PHI,L 13-30,6,5,59,11.8,0,83.3,9.8,1-20,TE,1-20,FantNo00
634,Noah Fant,5,6,2021-12-19,24-029,DEN,,CIN,L 10-15,6,5,57,11.4,0,83.3,9.5,1-20,TE,1-20,FantNo00
635,Anthony Firkser,5,7,2021-11-21,26-275,TEN,,HOU,L 13-22,7,5,26,5.2,0,71.4,3.7,,FB,,FirkAn00
636,Leonard Fournette,5,7,2021-09-09,26-234,TAM,,DAL,W 31-29,7,5,27,5.4,0,71.4,3.9,1-4,RB,1-4,FourLe00
637,Devonta Freeman,5,8,2021-12-05,29-265,BAL,@,PIT,L 19-20,8,5,45,9.0,0,62.5,5.6,4-103,RB,4-103,FreeDe00
638,Devonta Freeman,5,5,2021-12-12,29-272,BAL,@,CLE,L 22-24,5,5,8,1.6,0,100.0,1.6,4-103,RB,4-103,FreeDe00
639,Pat Freiermuth,5,6,2021-11-08,23-014,PIT,,CHI,W 29-27,6,5,43,8.6,2,83.3,7.2,2-55,TE,2-55,FreiPa00
640,Pat Freiermuth,5,9,2021-11-14,23-020,PIT,,DET,T 16-16 (OT),9,5,31,6.2,0,55.6,3.4,2-55,TE,2-55,FreiPa00
641,Pat Freiermuth,5,6,2022-01-03,23-070,PIT,,CLE,W 26-14,6,5,22,4.4,0,83.3,3.7,2-55,TE,2-55,FreiPa00
642,Russell Gage,5,7,2021-09-19,25-240,ATL,@,TAM,L 25-48,7,5,28,5.6,0,71.4,4.0,6-194,WR,6-194,GageRu00
643,Russell Gage,5,8,2021-11-18,25-300,ATL,,NWE,L 0-25,8,5,49,9.8,0,62.5,6.1,6-194,WR,6-194,GageRu00
644,Kenneth Gainwell,5,5,2021-12-05,22-266,PHI,@,NYJ,W 33-18,5,5,33,6.6,0,100.0,6.6,5-150,RB,5-150,GainKe00
645,Michael Gallup,5,10,2021-11-21,25-262,DAL,@,KAN,L 9-19,10,5,44,8.8,0,50.0,4.4,3-81,WR,3-81,GallMi00
646,Michael Gallup,5,8,2021-11-25,25-266,DAL,,LVR,L 33-36 (OT),8,5,106,21.2,0,62.5,13.3,3-81,WR,3-81,GallMi00
647,Michael Gallup,5,9,2021-12-02,25-273,DAL,@,NOR,W 27-17,9,5,36,7.2,1,55.6,4.0,3-81,WR,3-81,GallMi00
648,Michael Gallup,5,9,2021-12-12,25-283,DAL,@,WAS,W 27-20,9,5,60,12.0,0,55.6,6.7,3-81,WR,3-81,GallMi00
649,Myles Gaskin,5,5,2021-09-12,24-209,MIA,@,NWE,W 17-16,5,5,27,5.4,0,100.0,5.4,7-234,RB,7-234,GaskMy00
650,Mike Gesicki,5,6,2021-10-03,26-000,MIA,,IND,L 17-27,6,5,57,11.4,1,83.3,9.5,2-42,TE,2-42,GesiMi00
651,Mike Gesicki,5,6,2021-11-21,26-049,MIA,@,NYJ,W 24-17,6,5,50,10.0,0,83.3,8.3,2-42,TE,2-42,GesiMi00
652,Mike Gesicki,5,8,2021-12-19,26-077,MIA,,NYJ,W 31-24,8,5,43,8.6,0,62.5,5.4,2-42,TE,2-42,GesiMi00
653,Antonio Gibson,5,6,2021-12-05,23-165,WAS,@,LVR,W 17-15,6,5,23,4.6,1,83.3,3.8,3-66,RB,3-66,GibsAn00
654,Chris Godwin,5,5,2021-10-14,25-229,TAM,@,PHI,W 28-22,5,5,43,8.6,0,100.0,8.6,3-84,WR,3-84,GodwCh00
655,Dallas Goedert,5,5,2021-10-03,26-273,PHI,,KAN,L 30-42,5,5,56,11.2,1,100.0,11.2,2-49,TE,2-49,GoedDa00
656,Dallas Goedert,5,8,2021-11-21,26-322,PHI,,NOR,W 40-29,8,5,62,12.4,0,62.5,7.8,2-49,TE,2-49,GoedDa00
657,Jakeem Grant,5,7,2021-12-05,29-036,CHI,,ARI,L 22-33,7,5,62,12.4,1,71.4,8.9,6-186,WR,6-186,GranJa00
658,A.J. Green,5,6,2021-09-26,33-057,ARI,@,JAX,W 31-19,6,5,112,22.4,0,83.3,18.7,1-4,WR,1-4,GreeA.00
659,A.J. Green,5,6,2021-10-03,33-064,ARI,@,LAR,W 37-20,6,5,67,13.4,1,83.3,11.2,1-4,WR,1-4,GreeA.00
660,A.J. Green,5,6,2021-10-17,33-078,ARI,@,CLE,W 37-14,6,5,79,15.8,1,83.3,13.2,1-4,WR,1-4,GreeA.00
661,A.J. Green,5,8,2021-10-28,33-089,ARI,,GNB,L 21-24,8,5,50,10.0,0,62.5,6.3,1-4,WR,1-4,GreeA.00
662,Rob Gronkowski,5,9,2021-12-12,32-212,TAM,,BUF,W 33-27 (OT),9,5,62,12.4,0,55.6,6.9,2-42,TE,2-42,GronRo00
663,Mecole Hardman,5,8,2021-09-19,23-191,KAN,@,BAL,L 35-36,8,5,55,11.0,0,62.5,6.9,2-56,WR,2-56,HardMe00
664,Mecole Hardman,5,7,2021-11-01,23-234,KAN,,NYG,W 20-17,7,5,63,12.6,0,71.4,9.0,2-56,WR,2-56,HardMe00
665,Deonte Harris,5,8,2021-10-03,23-303,NOR,,NYG,L 21-27 (OT),8,5,52,10.4,0,62.5,6.5,,WR,,HarrDe07
