Rk,Player,Yds,Att,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Draft,Pos.,Draft,Player-additional
601,Jack Fox,17,1,2021-10-24,25-053,DET,@,LAR,L 19-28,1,1,0,100.0,17,0,0,,0.0,0.0,118.7,0,0,0.00,17.0,17.00,17.00,17.0,,P,,FoxxJa01
602,Lamar Jackson,17,4,2021-12-12,24-339,BAL,@,CLE,L 22-24,4,4,0,100.0,17,0,0,,0.0,0.0,84.4,1,0,20.00,4.3,4.25,3.40,4.3,1-32,QB,1-32,JackLa00
603,Josh Johnson,17,4,2021-10-31,35-169,NYJ,,CIN,W 34-31,2,4,2,50.0,17,0,0,,0.0,0.0,61.5,0,0,0.00,4.3,4.25,4.25,8.5,5-160,QB,5-160,JohnJo05
604,Cooper Rush,17,3,2021-11-14,27-358,DAL,,ATL,W 43-3,3,3,0,100.0,17,0,0,,0.0,0.0,90.3,0,0,0.00,5.7,5.67,5.67,5.7,,QB,,RushCo00
605,Dante Pettis,16,1,2021-10-24,26-001,NYG,,CAR,W 25-3,1,1,0,100.0,16,0,0,,0.0,0.0,118.7,0,0,0.00,16.0,16.00,16.00,16.0,2-44,WR,2-44,PettDa00
606,Courtland Sutton,16,1,2022-01-08,26-090,DEN,,KAN,L 24-28,1,1,0,100.0,16,0,0,,0.0,0.0,118.7,0,0,0.00,16.0,16.00,16.00,16.0,2-40,WR,2-40,SuttCo00
607,Tommy Townsend,16,1,2021-11-14,25-002,KAN,@,LVR,W 41-14,1,1,0,100.0,16,0,0,,0.0,0.0,118.7,0,0,0.00,16.0,16.00,16.00,16.0,,P,,TownTo01
608,Blaine Gabbert,15,3,2021-10-24,32-009,TAM,,CHI,W 38-3,2,3,1,66.7,15,0,0,,0.0,0.0,78.5,0,0,0.00,5.0,5.00,5.00,7.5,1-10,QB,1-10,GabbBl00
609,Mitchell Trubisky,15,1,2022-01-09,27-142,BUF,,NYJ,W 27-10,1,1,0,100.0,15,0,0,,0.0,0.0,118.7,0,0,0.00,15.0,15.00,15.00,15.0,1-2,QB,1-2,TrubMi00
610,Josh Rosen,14,6,2021-11-14,24-277,ATL,@,DAL,L 3-43,1,6,5,16.7,14,0,1,,0.0,16.7,0.0,0,0,0.00,2.3,-5.17,-5.17,14.0,1-10,QB,1-10,RoseJo01
611,Ryan Fitzpatrick,13,6,2021-09-12,38-292,WAS,,LAC,L 16-20,3,6,3,50.0,13,0,0,,0.0,0.0,56.2,1,2,14.29,2.2,2.17,1.57,4.3,7-250,QB,7-250,FitzRy00
612,Tua Tagovailoa,13,4,2021-09-19,23-201,MIA,,BUF,L 0-35,1,4,3,25.0,13,0,0,,0.0,0.0,40.6,2,13,33.33,3.3,3.25,0.00,13.0,1-5,QB,1-5,TagoTu00
613,Blaine Gabbert,11,2,2021-11-22,32-038,TAM,,NYG,W 30-10,2,2,0,100.0,11,0,0,,0.0,0.0,89.6,1,10,33.33,5.5,5.50,0.33,5.5,1-10,QB,1-10,GabbBl00
