Rk,Player,Att,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,Draft,Pos.,Draft,Player-additional
1816,Sam Darnold,1,2021-09-19,24-106,CAR,,NOR,W 26-7,1,7,7.0,0,1-3,QB,1-3,DarnSa00
1817,Sam Darnold,1,2021-12-26,24-204,CAR,,TAM,L 6-32,1,11,11.0,0,1-3,QB,1-3,DarnSa00
1818,Phillip Dorsett,1,2021-12-12,28-341,HOU,,SEA,L 13-33,1,0,0.0,0,1-29,WR,1-29,DorsPh00
1819,Greg Dortch,1,2022-01-02,23-218,ARI,@,DAL,W 25-22,1,24,24.0,0,,WR,,DortGr01
1820,Kenyan Drake,1,2021-10-04,27-251,LVR,@,LAC,L 14-28,1,2,2.0,0,3-73,RB,3-73,DrakKe00
1821,Kenyan Drake,1,2021-12-05,27-313,LVR,,WAS,L 15-17,1,0,0.0,0,3-73,RB,3-73,DrakKe00
1822,Ashton Dulin,1,2021-09-26,24-134,IND,@,TEN,L 16-25,1,-7,-7.0,0,,WR,,DuliAs00
1823,Devin Duvernay,1,2021-10-17,24-035,BAL,,LAC,W 34-6,1,11,11.0,0,3-92,WR,3-92,DuveDe00
1824,Devin Duvernay,1,2021-10-24,24-042,BAL,,CIN,L 17-41,1,-2,-2.0,0,3-92,WR,3-92,DuveDe00
1825,Devin Duvernay,1,2021-11-11,24-060,BAL,@,MIA,L 10-22,1,19,19.0,0,3-92,WR,3-92,DuveDe00
1826,Devin Duvernay,1,2021-11-28,24-077,BAL,,CLE,W 16-10,1,13,13.0,0,3-92,WR,3-92,DuveDe00
1827,Devin Duvernay,1,2021-12-12,24-091,BAL,@,CLE,L 22-24,1,3,3.0,0,3-92,WR,3-92,DuveDe00
1828,Devin Duvernay,1,2022-01-02,24-112,BAL,,LAR,L 19-20,1,4,4.0,0,3-92,WR,3-92,DuveDe00
1829,Devin Duvernay,1,2022-01-09,24-119,BAL,,PIT,L 13-16 (OT),1,2,2.0,0,3-92,WR,3-92,DuveDe00
1830,Eric Ebron,1,2021-10-17,28-190,PIT,,SEA,W 23-20 (OT),1,1,1.0,1,1-10,TE,1-10,EbroEr00
1831,Chase Edmonds,1,2021-11-07,25-208,ARI,@,SFO,W 31-17,1,3,3.0,0,4-134,RB,4-134,EdmoCh00
1832,Bryan Edwards,1,2021-11-21,23-008,LVR,,CIN,L 13-32,1,0,0.0,0,3-81,WR,3-81,EdwaBr01
1833,Sam Ehlinger,1,2021-11-04,23-035,IND,,NYJ,W 45-30,1,1,1.0,0,6-218,QB,6-218,EhliSa00
1834,Sam Ehlinger,1,2021-11-21,23-052,IND,@,BUF,W 41-15,1,9,9.0,0,6-218,QB,6-218,EhliSa00
1835,Sam Ehlinger,1,2021-12-05,23-066,IND,@,HOU,W 31-0,1,-1,-1.0,0,6-218,QB,6-218,EhliSa00
1836,Evan Engram,1,2021-10-03,27-031,NYG,@,NOR,W 27-21 (OT),1,-3,-3.0,0,1-23,TE,1-23,EngrEv00
1837,Zach Ertz,1,2021-10-24,30-348,ARI,,HOU,W 31-5,1,4,4.0,0,2-35,TE,2-35,ErtzZa00
1838,D'Wayne Eskridge,1,2021-12-26,24-278,SEA,,CHI,L 24-25,1,7,7.0,0,2-56,WR,2-56,EskrDW00
1839,D'Wayne Eskridge,1,2022-01-02,24-285,SEA,,DET,W 51-29,1,30,30.0,0,2-56,WR,2-56,EskrDW00
1840,Chris Evans,1,2021-12-26,24-082,CIN,,BAL,W 41-21,1,1,1.0,0,6-202,RB,6-202,EvanCh02
1841,Mike Evans,1,2021-11-22,28-093,TAM,,NYG,W 30-10,1,10,10.0,0,1-7,WR,1-7,EvanMi00
1842,Gerald Everett,1,2021-10-25,27-122,SEA,,NOR,L 10-13,1,12,12.0,0,2-44,TE,2-44,EverGe00
1843,Gerald Everett,1,2021-10-31,27-128,SEA,,JAX,W 31-7,1,-5,-5.0,0,2-44,TE,2-44,EverGe00
1844,Gerald Everett,1,2021-12-12,27-170,SEA,@,HOU,W 33-13,1,13,13.0,0,2-44,TE,2-44,EverGe00
1845,Clayton Fejedelem,1,2021-12-19,28-200,MIA,,NYJ,W 31-24,1,0,0.0,0,7-245,DB,7-245,FejeCl00
1846,Demetric Felton,1,2021-10-31,23-107,CLE,,PIT,L 10-15,1,3,3.0,0,6-211,WR,6-211,FeltDe00
1847,Demetric Felton,1,2022-01-09,23-177,CLE,,CIN,W 21-16,1,6,6.0,0,6-211,WR,6-211,FeltDe00
1848,Maurice Ffrench,1,2021-12-26,23-359,LAC,@,HOU,L 29-41,1,3,3.0,0,,WR,,FfreMa00
1849,Justin Fields,1,2021-09-12,22-191,CHI,@,LAR,L 14-34,1,3,3.0,1,1-11,QB,1-11,FielJu00
1850,Ryan Fitzpatrick,1,2021-09-12,38-292,WAS,,LAC,L 16-20,1,2,2.0,0,7-250,QB,7-250,FitzRy00
1851,Feleipe Franks,1,2021-10-03,23-285,ATL,,WAS,L 30-34,1,3,3.0,0,,QB,,FranFe00
1852,Devonta Freeman,1,2021-10-03,29-202,BAL,@,DEN,W 23-7,1,4,4.0,0,4-103,RB,4-103,FreeDe00
1853,Devonta Freeman,1,2021-10-11,29-210,BAL,,IND,W 31-25 (OT),1,1,1.0,0,4-103,RB,4-103,FreeDe00
1854,Royce Freeman,1,2021-10-17,25-235,CAR,,MIN,L 28-34 (OT),1,3,3.0,0,3-71,RB,3-71,FreeRo00
1855,Jake Funk,1,2021-09-26,23-258,LAR,,TAM,W 34-24,1,6,6.0,0,7-233,RB,7-233,FunkJa00
1856,Jake Funk,1,2021-12-26,23-349,LAR,@,MIN,W 30-23,1,-1,-1.0,0,7-233,RB,7-233,FunkJa00
1857,Blaine Gabbert,1,2022-01-09,32-086,TAM,,CAR,W 41-17,1,-1,-1.0,0,1-10,QB,1-10,GabbBl00
1858,Kenneth Gainwell,1,2021-09-27,22-197,PHI,@,DAL,L 21-41,1,2,2.0,0,5-150,RB,5-150,GainKe00
1859,Kenneth Gainwell,1,2022-01-02,22-294,PHI,@,WAS,W 20-16,1,4,4.0,0,5-150,RB,5-150,GainKe00
1860,Wayne Gallman,1,2021-10-10,27-009,ATL,,NYJ,W 27-20,1,2,2.0,0,4-140,RB,4-140,GallWa00
1861,Wayne Gallman,1,2021-10-24,27-023,ATL,@,MIA,W 30-28,1,2,2.0,0,4-140,RB,4-140,GallWa00
1862,Wayne Gallman,1,2021-11-18,27-048,ATL,,NWE,L 0-25,1,-3,-3.0,0,4-140,RB,4-140,GallWa00
1863,Jimmy Garoppolo,1,2021-09-26,29-328,SFO,,GNB,L 28-30,1,4,4.0,0,2-62,QB,2-62,GaroJi00
1864,Jimmy Garoppolo,1,2021-11-07,30-005,SFO,,ARI,L 17-31,1,3,3.0,0,2-62,QB,2-62,GaroJi00
1865,Jimmy Garoppolo,1,2021-12-12,30-040,SFO,@,CIN,W 26-23 (OT),1,3,3.0,0,2-62,QB,2-62,GaroJi00
1866,Jimmy Garoppolo,1,2021-12-23,30-051,SFO,@,TEN,L 17-20,1,3,3.0,0,2-62,QB,2-62,GaroJi00
1867,Jimmy Garoppolo,1,2022-01-09,30-068,SFO,@,LAR,W 27-24 (OT),1,1,1.0,0,2-62,QB,2-62,GaroJi00
1868,Myles Gaskin,1,2022-01-09,24-328,MIA,,NWE,W 33-24,1,-1,-1.0,0,7-234,RB,7-234,GaskMy00
1869,Jamie Gillan,1,2021-09-12,24-070,CLE,@,KAN,L 29-33,1,0,0.0,0,,P,,GillJa00
1870,Reggie Gilliam,1,2021-10-03,24-044,BUF,,HOU,W 40-0,1,1,1.0,0,,FB,,GillRe00
1871,Mike Glennon,1,2021-12-12,32-000,NYG,@,LAC,L 21-37,1,7,7.0,1,3-73,QB,3-73,GlenMi00
1872,Mike Glennon,1,2021-12-19,32-007,NYG,,DAL,L 6-21,1,0,0.0,0,3-73,QB,3-73,GlenMi00
1873,Mike Glennon,1,2022-01-02,32-021,NYG,@,CHI,L 3-29,1,13,13.0,0,3-73,QB,3-73,GlenMi00
1874,Chris Godwin,1,2021-09-26,25-211,TAM,@,LAR,L 24-34,1,2,2.0,1,3-84,WR,3-84,GodwCh00
1875,Chris Godwin,1,2021-11-22,25-268,TAM,,NYG,W 30-10,1,7,7.0,0,3-84,WR,3-84,GodwCh00
1876,Chris Godwin,1,2021-11-28,25-274,TAM,@,IND,W 38-31,1,3,3.0,0,3-84,WR,3-84,GodwCh00
1877,Chris Godwin,1,2021-12-05,25-281,TAM,@,ATL,W 30-17,1,9,9.0,0,3-84,WR,3-84,GodwCh00
1878,Jared Goff,1,2021-09-26,26-347,DET,,BAL,L 17-19,1,4,4.0,0,1-1,QB,1-1,GoffJa00
1879,Jared Goff,1,2021-10-17,27-003,DET,,CIN,L 11-34,1,1,1.0,0,1-1,QB,1-1,GoffJa00
1880,Jared Goff,1,2021-10-24,27-010,DET,@,LAR,L 19-28,1,3,3.0,0,1-1,QB,1-1,GoffJa00
1881,Marquise Goodwin,1,2021-09-12,30-297,CHI,@,LAR,L 14-34,1,-2,-2.0,0,3-78,WR,3-78,GoodMa00
1882,Marquise Goodwin,1,2021-10-03,30-318,CHI,,DET,W 24-14,1,1,1.0,0,3-78,WR,3-78,GoodMa00
1883,Jakeem Grant,1,2021-11-21,29-022,CHI,,BAL,L 13-16,1,11,11.0,0,6-186,WR,6-186,GranJa00
1884,Jakeem Grant,1,2021-11-25,29-026,CHI,@,DET,W 16-14,1,0,0.0,0,6-186,WR,6-186,GranJa00
1885,Jakeem Grant,1,2021-12-12,29-043,CHI,@,GNB,L 30-45,1,5,5.0,0,6-186,WR,6-186,GranJa00
1886,Cyril Grayson,1,2021-12-26,28-021,TAM,@,CAR,W 32-6,1,14,14.0,0,,WR,,GrayCy01
1887,Jalen Guyton,1,2021-09-19,24-104,LAC,,DAL,L 17-20,1,9,9.0,0,,WR,,GuytJa01
1888,Jalen Guyton,1,2021-09-26,24-111,LAC,@,KAN,W 30-24,1,3,3.0,0,,WR,,GuytJa01
1889,Jalen Guyton,1,2021-11-21,24-167,LAC,,PIT,W 41-37,1,2,2.0,0,,WR,,GuytJa01
1890,Jalen Guyton,1,2021-12-05,24-181,LAC,@,CIN,W 41-22,1,-1,-1.0,0,,WR,,GuytJa01
1891,Jalen Guyton,1,2022-01-02,24-209,LAC,,DEN,W 34-13,1,1,1.0,0,,WR,,GuytJa01
1892,C.J. Ham,1,2021-10-03,28-073,MIN,,CLE,L 7-14,1,1,1.0,0,,FB,,HamxC.00
1893,C.J. Ham,1,2021-10-10,28-080,MIN,,DET,W 19-17,1,1,1.0,0,,FB,,HamxC.00
1894,C.J. Ham,1,2021-10-17,28-087,MIN,@,CAR,W 34-28 (OT),1,30,30.0,0,,FB,,HamxC.00
1895,C.J. Ham,1,2021-10-31,28-101,MIN,,DAL,L 16-20,1,0,0.0,0,,FB,,HamxC.00
1896,C.J. Ham,1,2021-11-21,28-122,MIN,,GNB,W 34-31,1,0,0.0,0,,FB,,HamxC.00
1897,JaQuan Hardy,1,2021-12-12,23-346,DAL,@,WAS,W 27-20,1,3,3.0,0,,RB,,HardJa01
1898,Mecole Hardman,1,2021-09-26,23-198,KAN,,LAC,L 24-30,1,2,2.0,0,2-56,WR,2-56,HardMe00
1899,Mecole Hardman,1,2021-10-17,23-219,KAN,@,WAS,W 31-13,1,6,6.0,0,2-56,WR,2-56,HardMe00
1900,Mecole Hardman,1,2021-11-14,23-247,KAN,@,LVR,W 41-14,1,3,3.0,0,2-56,WR,2-56,HardMe00
1901,Mecole Hardman,1,2021-12-12,23-275,KAN,,LVR,W 48-9,1,0,0.0,0,2-56,WR,2-56,HardMe00
1902,Mecole Hardman,1,2021-12-16,23-279,KAN,@,LAC,W 34-28 (OT),1,0,0.0,0,2-56,WR,2-56,HardMe00
1903,Mecole Hardman,1,2022-01-08,23-302,KAN,@,DEN,W 28-24,1,10,10.0,0,2-56,WR,2-56,HardMe00
1904,Deonte Harris,1,2021-09-19,23-289,NOR,@,CAR,L 7-26,1,1,1.0,0,,WR,,HarrDe07
1905,Deonte Harris,1,2021-10-31,23-331,NOR,,TAM,W 36-27,1,22,22.0,0,,WR,,HarrDe07
1906,Deonte Harris,1,2021-11-14,23-345,NOR,@,TEN,L 21-23,1,6,6.0,0,,WR,,HarrDe07
1907,Deonte Harris,1,2021-12-02,23-363,NOR,,DAL,L 17-27,1,3,3.0,0,,WR,,HarrDe07
1908,Deonte Harris,1,2022-01-09,24-036,NOR,@,ATL,W 30-20,1,9,9.0,0,,WR,,HarrDe07
1909,Jamycal Hasty,1,2021-09-12,25-000,SFO,@,DET,W 41-33,1,3,3.0,1,,RB,,HastJa02
1910,Jamycal Hasty,1,2021-11-07,25-056,SFO,,ARI,L 17-31,1,2,2.0,0,,RB,,HastJa02
1911,Jamycal Hasty,1,2021-12-19,25-098,SFO,,ATL,W 31-13,1,13,13.0,0,,RB,,HastJa02
1912,Jamycal Hasty,1,2021-12-23,25-102,SFO,@,TEN,L 17-20,1,3,3.0,0,,RB,,HastJa02
1913,Jamycal Hasty,1,2022-01-09,25-119,SFO,@,LAR,W 27-24 (OT),1,4,4.0,0,,RB,,HastJa02
1914,Taylor Heinicke,1,2021-10-31,28-230,WAS,@,DEN,L 10-17,1,10,10.0,0,,QB,,HeinTa00
1915,Taylor Heinicke,1,2021-12-26,28-286,WAS,@,DAL,L 14-56,1,-1,-1.0,0,,QB,,HeinTa00
1916,Johnny Hekker,1,2021-09-19,31-223,LAR,@,IND,W 27-24,1,0,0.0,0,,P,,HekkJo00
1917,Darrell Henderson,1,2021-12-26,24-129,LAR,@,MIN,W 30-23,1,17,17.0,0,3-70,RB,3-70,HendDa00
1918,Chad Henne,1,2021-10-24,36-114,KAN,@,TEN,L 3-27,1,4,4.0,0,2-57,QB,2-57,HennCh01
1919,Justin Herbert,1,2021-12-05,23-270,LAC,@,CIN,W 41-22,1,6,6.0,0,1-6,QB,1-6,HerbJu00
1920,Khalil Herbert,1,2021-11-21,23-214,CHI,,BAL,L 13-16,1,0,0.0,0,6-217,RB,6-217,HerbKh00
1921,Khalil Herbert,1,2021-12-12,23-235,CHI,@,GNB,L 30-45,1,3,3.0,0,6-217,RB,6-217,HerbKh00
1922,Taysom Hill,1,2021-11-07,31-076,NOR,,ATL,L 25-27,1,4,4.0,0,,QB,,HillTa00
1923,Tyreek Hill,1,2021-09-12,27-195,KAN,,CLE,W 33-29,1,4,4.0,0,5-165,WR,5-165,HillTy00
1924,Tyreek Hill,1,2021-09-19,27-202,KAN,@,BAL,L 35-36,1,15,15.0,0,5-165,WR,5-165,HillTy00
1925,Tyreek Hill,1,2021-09-26,27-209,KAN,,LAC,L 24-30,1,11,11.0,0,5-165,WR,5-165,HillTy00
1926,Tyreek Hill,1,2021-10-10,27-223,KAN,,BUF,L 20-38,1,15,15.0,0,5-165,WR,5-165,HillTy00
1927,Tyreek Hill,1,2021-10-24,27-237,KAN,@,TEN,L 3-27,1,18,18.0,0,5-165,WR,5-165,HillTy00
1928,Tyreek Hill,1,2021-11-07,27-251,KAN,,GNB,W 13-7,1,-4,-4.0,0,5-165,WR,5-165,HillTy00
1929,Tyreek Hill,1,2021-11-14,27-258,KAN,@,LVR,W 41-14,1,2,2.0,0,5-165,WR,5-165,HillTy00
1930,Tyreek Hill,1,2021-11-21,27-265,KAN,,DAL,W 19-9,1,33,33.0,0,5-165,WR,5-165,HillTy00
1931,Tyreek Hill,1,2022-01-02,27-307,KAN,@,CIN,L 31-34,1,2,2.0,0,5-165,WR,5-165,HillTy00
1932,Nyheim Hines,1,2021-09-19,24-311,IND,,LAR,L 24-27,1,5,5.0,0,4-104,RB,4-104,HineNy00
1933,Nyheim Hines,1,2021-10-31,24-353,IND,,TEN,L 31-34 (OT),1,2,2.0,0,4-104,RB,4-104,HineNy00
1934,Nyheim Hines,1,2021-11-28,25-016,IND,,TAM,L 31-38,1,3,3.0,0,4-104,RB,4-104,HineNy00
1935,Travis Homer,1,2021-10-03,23-057,SEA,@,SFO,W 28-21,1,5,5.0,0,6-204,RB,6-204,HomeTr00
1936,Travis Homer,1,2021-10-07,23-061,SEA,,LAR,L 17-26,1,5,5.0,0,6-204,RB,6-204,HomeTr00
1937,Travis Homer,1,2021-10-25,23-079,SEA,,NOR,L 10-13,1,14,14.0,0,6-204,RB,6-204,HomeTr00
1938,Travis Homer,1,2021-11-14,23-099,SEA,@,GNB,L 0-17,1,2,2.0,0,6-204,RB,6-204,HomeTr00
1939,Travis Homer,1,2021-11-21,23-106,SEA,,ARI,L 13-23,1,4,4.0,0,6-204,RB,6-204,HomeTr00
1940,Travis Homer,1,2022-01-09,23-155,SEA,@,ARI,W 38-30,1,4,4.0,0,6-204,RB,6-204,HomeTr00
1941,Brian Hoyer,1,2021-11-28,36-046,NWE,,TEN,W 36-13,1,-1,-1.0,0,,QB,,HoyeBr00
1942,Carlos Hyde,1,2021-12-12,31-083,JAX,@,TEN,L 0-20,1,2,2.0,0,2-57,RB,2-57,HydeCa00
1943,Godwin Igwebuike,1,2021-11-25,27-076,DET,,CHI,L 14-16,1,11,11.0,0,,DB,,IgweGo00
1944,Alec Ingold,1,2021-09-26,25-079,LVR,,MIA,W 31-28 (OT),1,0,0.0,0,,FB,,IngoAl01
1945,Alec Ingold,1,2021-10-24,25-107,LVR,,PHI,W 33-22,1,1,1.0,0,,FB,,IngoAl01
1946,DeSean Jackson,1,2021-11-21,34-355,LVR,,CIN,L 13-32,1,4,4.0,0,2-49,WR,2-49,JackDe00
1947,Deon Jackson,1,2022-01-02,22-318,IND,,LVR,L 20-23,1,0,0.0,0,,RB,,JackDe02
1948,Justin Jackson,1,2021-09-12,25-143,LAC,@,WAS,W 20-16,1,5,5.0,0,7-251,RB,7-251,JackJu01
1949,Justin Jackson,1,2021-11-21,25-213,LAC,,PIT,W 41-37,1,2,2.0,0,7-251,RB,7-251,JackJu01
1950,Justin Jefferson,1,2021-11-07,22-144,MIN,@,BAL,L 31-34 (OT),1,11,11.0,0,1-22,WR,1-22,JeffJu00
1951,Justin Jefferson,1,2021-11-14,22-151,MIN,@,LAC,W 27-20,1,-4,-4.0,0,1-22,WR,1-22,JeffJu00
1952,Justin Jefferson,1,2021-11-21,22-158,MIN,,GNB,W 34-31,1,3,3.0,0,1-22,WR,1-22,JeffJu00
1953,Justin Jefferson,1,2021-12-05,22-172,MIN,@,DET,L 27-29,1,4,4.0,0,1-22,WR,1-22,JeffJu00
1954,Justin Jefferson,1,2021-12-09,22-176,MIN,,PIT,W 36-28,1,-4,-4.0,0,1-22,WR,1-22,JeffJu00
1955,Justin Jefferson,1,2022-01-09,22-207,MIN,,CHI,W 31-17,1,4,4.0,0,1-22,WR,1-22,JeffJu00
1956,Van Jefferson,1,2021-12-13,25-140,LAR,@,ARI,W 30-23,1,10,10.0,0,2-57,WR,2-57,JeffVa00
1957,Van Jefferson,1,2021-12-21,25-148,LAR,,SEA,W 20-10,1,10,10.0,0,2-57,WR,2-57,JeffVa00
1958,Jerry Jeudy,1,2021-10-31,22-190,DEN,,WAS,W 17-10,1,0,0.0,0,1-15,WR,1-15,JeudJe00
1959,Jerry Jeudy,1,2021-11-14,22-204,DEN,,PHI,L 13-30,1,3,3.0,0,1-15,WR,1-15,JeudJe00
1960,D'Ernest Johnson,1,2021-10-17,25-232,CLE,,ARI,L 14-37,1,2,2.0,0,,RB,,JohnDE04
1961,D'Ernest Johnson,1,2021-12-20,25-296,CLE,,LVR,L 14-16,1,-2,-2.0,0,,RB,,JohnDE04
1962,Diontae Johnson,1,2021-10-17,25-104,PIT,,SEA,W 23-20 (OT),1,25,25.0,0,3-66,WR,3-66,JohnDi01
1963,Diontae Johnson,1,2021-12-09,25-157,PIT,@,MIN,L 28-36,1,7,7.0,0,3-66,WR,3-66,JohnDi01
1964,Diontae Johnson,1,2021-12-19,25-167,PIT,,TEN,W 19-13,1,10,10.0,0,3-66,WR,3-66,JohnDi01
1965,Marcus Johnson,1,2021-10-24,27-080,TEN,,KAN,W 27-3,1,5,5.0,0,,WR,,JohnMa07
1966,Marcus Johnson,1,2021-11-07,27-094,TEN,@,LAR,W 28-16,1,-7,-7.0,0,,WR,,JohnMa07
1967,Ty Johnson,1,2021-11-21,24-065,NYJ,,MIA,L 17-24,1,5,5.0,0,6-186,RB,6-186,JohnTy02
1968,Ty Johnson,1,2021-12-05,24-079,NYJ,,PHI,L 18-33,1,1,1.0,0,6-186,RB,6-186,JohnTy02
1969,Ty Johnson,1,2022-01-09,24-114,NYJ,@,BUF,L 10-27,1,-1,-1.0,0,6-186,RB,6-186,JohnTy02
1970,Mac Jones,1,2021-10-03,23-028,NWE,,TAM,L 17-19,1,-1,-1.0,0,1-15,QB,1-15,JoneMa05
1971,Mac Jones,1,2021-10-10,23-035,NWE,@,HOU,W 25-22,1,3,3.0,0,1-15,QB,1-15,JoneMa05
1972,Mac Jones,1,2021-12-18,23-104,NWE,@,IND,L 17-27,1,12,12.0,0,1-15,QB,1-15,JoneMa05
1973,Ronald Jones II,1,2021-12-05,24-124,TAM,@,ATL,W 30-17,1,2,2.0,0,2-38,RB,2-38,JoneRo01
1974,Tony Jones,1,2022-01-02,24-039,NOR,,CAR,W 18-10,1,-2,-2.0,0,,RB,,JoneTo04
1975,Zay Jones,1,2021-11-25,26-240,LVR,@,DAL,W 36-33 (OT),1,4,4.0,0,2-37,WR,2-37,JoneZa00
1976,Zay Jones,1,2022-01-02,26-278,LVR,@,IND,W 23-20,1,-1,-1.0,0,2-37,WR,2-37,JoneZa00
1977,Kyle Juszczyk,1,2021-09-19,30-149,SFO,@,PHI,W 17-11,1,2,2.0,0,4-130,FB,4-130,JuszKy00
1978,Kyle Juszczyk,1,2021-10-10,30-170,SFO,@,ARI,L 10-17,1,0,0.0,0,4-130,FB,4-130,JuszKy00
1979,Kyle Juszczyk,1,2021-12-19,30-240,SFO,,ATL,W 31-13,1,6,6.0,1,4-130,FB,4-130,JuszKy00
1980,Travis Kelce,1,2021-11-21,32-047,KAN,,DAL,W 19-9,1,4,4.0,1,3-63,TE,3-63,KelcTr00
1981,Travis Kelce,1,2022-01-02,32-089,KAN,@,CIN,L 31-34,1,-1,-1.0,0,3-63,TE,3-63,KelcTr00
1982,Joshua Kelley,1,2021-11-14,23-359,LAC,,MIN,L 20-27,1,6,6.0,0,4-112,RB,4-112,KellJo01
1983,Joshua Kelley,1,2021-11-28,24-008,LAC,@,DEN,L 13-28,1,5,5.0,0,4-112,RB,4-112,KellJo01
1984,Christian Kirk,1,2021-10-10,24-326,ARI,,SFO,W 17-10,1,11,11.0,0,2-47,WR,2-47,KirkCh01
1985,George Kittle,1,2021-09-26,27-352,SFO,,GNB,L 28-30,1,9,9.0,0,5-146,TE,5-146,KittGe00
1986,George Kittle,1,2021-12-05,28-057,SFO,@,SEA,L 23-30,1,5,5.0,0,5-146,TE,5-146,KittGe00
1987,George Kittle,1,2022-01-02,28-085,SFO,,HOU,W 23-7,1,6,6.0,0,5-146,TE,5-146,KittGe00
1988,Cole Kmet,1,2021-10-17,22-221,CHI,,GNB,L 14-24,1,0,0.0,0,2-43,TE,2-43,KmetCo00
1989,Cooper Kupp,1,2021-09-19,28-096,LAR,@,IND,W 27-24,1,-5,-5.0,0,3-69,WR,3-69,KuppCo00
1990,Cooper Kupp,1,2021-12-21,28-189,LAR,,SEA,W 20-10,1,1,1.0,0,3-69,WR,3-69,KuppCo00
1991,Cooper Kupp,1,2021-12-26,28-194,LAR,@,MIN,W 30-23,1,4,4.0,0,3-69,WR,3-69,KuppCo00
1992,Cooper Kupp,1,2022-01-09,28-208,LAR,,SFO,L 24-27 (OT),1,18,18.0,0,3-69,WR,3-69,KuppCo00
1993,Patrick Laird,1,2021-11-21,26-096,MIA,@,NYJ,W 24-17,1,4,4.0,0,,RB,,LairPa00
1994,CeeDee Lamb,1,2021-09-19,22-164,DAL,@,LAC,W 20-17,1,13,13.0,0,1-17,WR,1-17,LambCe00
1995,CeeDee Lamb,1,2021-09-27,22-172,DAL,,PHI,W 41-21,1,-1,-1.0,0,1-17,WR,1-17,LambCe00
1996,CeeDee Lamb,1,2021-10-10,22-185,DAL,,NYG,W 44-20,1,4,4.0,0,1-17,WR,1-17,LambCe00
1997,CeeDee Lamb,1,2021-10-17,22-192,DAL,@,NWE,W 35-29 (OT),1,2,2.0,0,1-17,WR,1-17,LambCe00
1998,CeeDee Lamb,1,2021-11-14,22-220,DAL,,ATL,W 43-3,1,12,12.0,0,1-17,WR,1-17,LambCe00
1999,CeeDee Lamb,1,2021-12-02,22-238,DAL,@,NOR,W 27-17,1,33,33.0,0,1-17,WR,1-17,LambCe00
2000,CeeDee Lamb,1,2021-12-26,22-262,DAL,,WAS,W 56-14,1,-2,-2.0,0,1-17,WR,1-17,LambCe00
