Rk,Player,Att,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,Draft,Pos.,Draft,Player-additional
1801,Chris Conley,1,2022-01-02,29-069,HOU,@,SFO,L 7-23,1,3,3.0,0,3-76,WR,3-76,ConlCh00
1802,Brandin Cooks,1,2021-09-23,27-363,HOU,,CAR,L 9-24,1,5,5.0,0,1-20,WR,1-20,CookBr00
1803,Brandin Cooks,1,2021-12-05,28-071,HOU,,IND,L 0-31,1,16,16.0,0,1-20,WR,1-20,CookBr00
1804,Pharoh Cooper,1,2021-11-28,26-266,NYG,,PHI,W 13-7,1,3,3.0,0,4-117,WR,4-117,CoopPh00
1805,Nathan Cottrell,1,2021-12-26,25-146,JAX,@,NYJ,L 21-26,1,3,3.0,0,,RB,,CottNa00
1806,Kirk Cousins,1,2021-09-26,33-038,MIN,,SEA,W 30-17,1,2,2.0,0,4-102,QB,4-102,CousKi00
1807,Kirk Cousins,1,2021-10-10,33-052,MIN,,DET,W 19-17,1,4,4.0,0,4-102,QB,4-102,CousKi00
1808,Kirk Cousins,1,2021-11-07,33-080,MIN,@,BAL,L 31-34 (OT),1,1,1.0,1,4-102,QB,4-102,CousKi00
1809,Kirk Cousins,1,2022-01-09,33-143,MIN,,CHI,W 31-17,1,-1,-1.0,0,4-102,QB,4-102,CousKi00
1810,DeeJay Dallas,1,2021-09-12,22-361,SEA,@,IND,W 28-16,1,5,5.0,0,4-144,RB,4-144,DallDe00
1811,DeeJay Dallas,1,2021-10-31,23-045,SEA,,JAX,W 31-7,1,6,6.0,0,4-144,RB,4-144,DallDe00
1812,DeeJay Dallas,1,2022-01-02,23-108,SEA,,DET,W 51-29,1,1,1.0,0,4-144,RB,4-144,DallDe00
1813,DeeJay Dallas,1,2022-01-09,23-115,SEA,@,ARI,W 38-30,1,1,1.0,0,4-144,RB,4-144,DallDe00
1814,Andy Dalton,1,2022-01-09,34-072,CHI,@,MIN,L 17-31,1,7,7.0,0,2-35,QB,2-35,DaltAn00
1815,Jaelon Darden,1,2021-10-24,22-283,TAM,,CHI,W 38-3,1,11,11.0,0,4-129,WR,4-129,DardJa00
