Rk,Player,Rec,Tgt,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Draft,Pos.,Draft,Player-additional
801,Byron Pringle,5,8,2022-01-08,28-052,KAN,@,DEN,W 28-24,8,5,56,11.2,0,62.5,7.0,,WR,,PrinBy00
802,James Proche,5,6,2021-10-03,25-012,BAL,@,DEN,W 23-7,6,5,74,14.8,0,83.3,12.3,6-201,WR,6-201,ProcJa00
803,Jalen Reagor,5,8,2021-09-27,22-268,PHI,@,DAL,L 21-41,8,5,53,10.6,0,62.5,6.6,1-21,WR,1-21,ReagJa00
804,Hunter Renfrow,5,7,2021-09-19,25-272,LVR,@,PIT,W 26-17,7,5,57,11.4,0,71.4,8.1,5-149,WR,5-149,RenfHu00
805,Hunter Renfrow,5,6,2021-09-26,25-279,LVR,,MIA,W 31-28 (OT),6,5,77,15.4,1,83.3,12.8,5-149,WR,5-149,RenfHu00
806,Calvin Ridley,5,8,2021-09-12,26-266,ATL,,PHI,L 6-32,8,5,51,10.2,0,62.5,6.4,1-26,WR,1-26,RidlCa00
807,Chester Rogers,5,6,2021-10-03,27-264,TEN,@,NYJ,L 24-27 (OT),6,5,63,12.6,0,83.3,10.5,,WR,,RogeCh02
808,Henry Ruggs III,5,7,2021-09-19,22-238,LVR,@,PIT,W 26-17,7,5,113,22.6,1,71.4,16.1,1-12,WR,1-12,RuggHe00
809,Deebo Samuel,5,10,2021-09-26,25-254,SFO,,GNB,L 28-30,10,5,52,10.4,0,50.0,5.2,2-36,WR,2-36,SamuDe00
810,Deebo Samuel,5,9,2021-11-07,25-296,SFO,,ARI,L 17-31,9,5,63,12.6,0,55.6,7.0,2-36,WR,2-36,SamuDe00
811,Deebo Samuel,5,5,2021-11-15,25-304,SFO,,LAR,W 31-10,5,5,97,19.4,1,100.0,19.4,2-36,WR,2-36,SamuDe00
812,Emmanuel Sanders,5,6,2021-09-26,34-193,BUF,,WAS,W 43-21,6,5,94,18.8,2,83.3,15.7,3-82,WR,3-82,SandEm00
813,Emmanuel Sanders,5,6,2021-10-03,34-200,BUF,,HOU,W 40-0,6,5,74,14.8,0,83.3,12.3,3-82,WR,3-82,SandEm00
814,Emmanuel Sanders,5,8,2021-10-18,34-215,BUF,@,TEN,L 31-34,8,5,91,18.2,0,62.5,11.4,3-82,WR,3-82,SandEm00
815,Miles Sanders,5,5,2021-10-10,24-162,PHI,@,CAR,W 21-18,5,5,6,1.2,0,100.0,1.2,2-53,RB,2-53,SandMi01
816,Dalton Schultz,5,6,2021-10-17,25-098,DAL,@,NWE,W 35-29 (OT),6,5,79,15.8,0,83.3,13.2,4-137,TE,4-137,SchuDa00
817,Dalton Schultz,5,5,2021-12-02,25-144,DAL,@,NOR,W 27-17,5,5,43,8.6,0,100.0,8.6,4-137,TE,4-137,SchuDa00
818,Ricky Seals-Jones,5,9,2021-10-10,26-209,WAS,,NOR,L 22-33,9,5,41,8.2,0,55.6,4.6,,TE,,SealRi00
819,Tajae Sharpe,5,6,2021-10-31,26-312,ATL,,CAR,L 13-19,6,5,58,11.6,0,83.3,9.7,5-140,WR,5-140,SharTa00
820,Laviska Shenault Jr.,5,5,2021-11-21,23-047,JAX,,SFO,L 10-30,5,5,50,10.0,0,100.0,10.0,2-42,WR,2-42,ShenLa00
821,Laviska Shenault Jr.,5,9,2021-11-28,23-054,JAX,,ATL,L 14-21,9,5,33,6.6,0,55.6,3.7,2-42,WR,2-42,ShenLa00
822,Laviska Shenault Jr.,5,7,2022-01-09,23-096,JAX,,IND,W 26-11,7,5,62,12.4,0,71.4,8.9,2-42,WR,2-42,ShenLa00
823,Devin Singletary,5,5,2021-10-18,24-045,BUF,@,TEN,L 31-34,5,5,16,3.2,0,100.0,3.2,3-74,RB,3-74,SingDe00
824,Devin Singletary,5,6,2021-12-26,24-114,BUF,@,NWE,W 33-21,6,5,39,7.8,0,83.3,6.5,3-74,RB,3-74,SingDe00
825,Darius Slayton,5,9,2021-10-24,24-285,NYG,,CAR,W 25-3,9,5,63,12.6,0,55.6,7.0,5-171,WR,5-171,SlayDa01
826,DeVonta Smith,5,9,2021-10-24,22-344,PHI,@,LVR,L 22-33,9,5,61,12.2,0,55.6,6.8,1-10,WR,1-10,SmitDe07
827,DeVonta Smith,5,6,2021-11-07,22-358,PHI,,LAC,L 24-27,6,5,116,23.2,1,83.3,19.3,1-10,WR,1-10,SmitDe07
828,DeVonta Smith,5,7,2021-12-26,23-042,PHI,,NYG,W 34-10,7,5,80,16.0,1,71.4,11.4,1-10,WR,1-10,SmitDe07
829,Jonnu Smith,5,5,2021-09-12,26-021,NWE,,MIA,L 16-17,5,5,42,8.4,0,100.0,8.4,3-100,TE,3-100,SmitJo01
830,Rodney Smith,5,5,2021-10-03,25-217,CAR,@,DAL,L 28-36,5,5,48,9.6,0,100.0,9.6,,RB,,SmitRo08
831,Tre'Quan Smith,5,8,2021-11-21,25-318,NOR,@,PHI,L 29-40,8,5,64,12.8,0,62.5,8.0,3-91,WR,3-91,SmitTr03
832,Tre'Quan Smith,5,7,2022-01-09,26-002,NOR,@,ATL,W 30-20,7,5,76,15.2,1,71.4,10.9,3-91,WR,3-91,SmitTr03
833,Durham Smythe,5,6,2021-10-17,26-069,MIA,@,JAX,L 20-23,6,5,59,11.8,0,83.3,9.8,4-123,TE,4-123,SmytDu00
834,Durham Smythe,5,5,2021-11-28,26-111,MIA,,CAR,W 33-10,5,5,32,6.4,0,100.0,6.4,4-123,TE,4-123,SmytDu00
835,Amon-Ra St. Brown,5,7,2021-10-17,21-358,DET,,CIN,L 11-34,7,5,26,5.2,0,71.4,3.7,4-112,WR,4-112,StxxAm00
836,Courtland Sutton,5,5,2021-09-26,25-351,DEN,,NYJ,W 26-0,5,5,37,7.4,0,100.0,7.4,2-40,WR,2-40,SuttCo00
837,Courtland Sutton,5,5,2021-10-21,26-011,DEN,@,CLE,L 14-17,5,5,68,13.6,0,100.0,13.6,2-40,WR,2-40,SuttCo00
838,Freddie Swain,5,5,2021-09-19,23-046,SEA,,TEN,L 30-33 (OT),5,5,95,19.0,1,100.0,19.0,6-214,WR,6-214,SwaiFr00
839,D'Andre Swift,5,7,2021-10-17,22-276,DET,,CIN,L 11-34,7,5,43,8.6,0,71.4,6.1,2-35,RB,2-35,SwifDA00
840,D'Andre Swift,5,5,2021-10-31,22-290,DET,,PHI,L 6-44,5,5,24,4.8,0,100.0,4.8,2-35,RB,2-35,SwifDA00
841,Adam Thielen,5,7,2021-11-14,31-084,MIN,@,LAC,W 27-20,7,5,65,13.0,0,71.4,9.3,,WR,,ThieAd00
842,Adam Thielen,5,7,2021-11-28,31-098,MIN,@,SFO,L 26-34,7,5,62,12.4,2,71.4,8.9,,WR,,ThieAd00
843,Logan Thomas,5,7,2021-09-16,30-077,WAS,,NYG,W 30-29,7,5,45,9.0,0,71.4,6.4,4-120,TE,4-120,ThomLo00
844,Adam Trautman,5,6,2021-11-14,24-282,NOR,@,TEN,L 21-23,6,5,32,6.4,0,83.3,5.3,3-105,TE,3-105,TrauAd00
845,Adam Trautman,5,8,2021-11-21,24-289,NOR,@,PHI,L 29-40,8,5,58,11.6,1,62.5,7.3,3-105,TE,3-105,TrauAd00
846,Malik Turner,5,7,2021-11-07,25-281,DAL,,DEN,L 16-30,7,5,33,6.6,2,71.4,4.7,,WR,,TurnMa00
847,C.J. Uzomah,5,6,2021-09-30,28-259,CIN,,JAX,W 24-21,6,5,95,19.0,2,83.3,15.8,5-157,TE,5-157,UzomC.00
848,C.J. Uzomah,5,7,2021-12-26,28-346,CIN,,BAL,W 41-21,7,5,36,7.2,0,71.4,5.1,5-157,TE,5-157,UzomC.00
849,Marquez Valdes-Scantling,5,7,2021-12-19,27-070,GNB,@,BAL,W 31-30,7,5,98,19.6,1,71.4,14.0,5-174,WR,5-174,ValdMa00
850,Jaylen Waddle,5,7,2022-01-09,23-045,MIA,,NWE,W 33-24,7,5,27,5.4,1,71.4,3.9,1-6,WR,1-6,WaddJa00
851,Darren Waller,5,7,2021-09-19,29-006,LVR,@,PIT,W 26-17,7,5,65,13.0,0,71.4,9.3,6-204,TE,6-204,WallDa01
852,Darren Waller,5,7,2021-09-26,29-013,LVR,,MIA,W 31-28 (OT),7,5,54,10.8,0,71.4,7.7,6-204,TE,6-204,WallDa01
853,Darren Waller,5,5,2021-10-17,29-034,LVR,@,DEN,W 34-24,5,5,59,11.8,0,100.0,11.8,6-204,TE,6-204,WallDa01
854,Quez Watkins,5,7,2022-01-08,23-213,PHI,,DAL,L 26-51,7,5,84,16.8,1,71.4,12.0,6-200,WR,6-200,WatkQu00
855,Jamaal Williams,5,5,2021-11-25,26-236,DET,,CHI,L 14-16,5,5,18,3.6,0,100.0,3.6,4-134,RB,4-134,WillJa06
856,Maxx Williams,5,5,2021-10-03,27-174,ARI,@,LAR,W 37-20,5,5,66,13.2,1,100.0,13.2,2-55,TE,2-55,WillMa04
857,Mike Williams,5,6,2021-11-21,27-048,LAC,,PIT,W 41-37,6,5,97,19.4,1,83.3,16.2,1-7,WR,1-7,WillMi07
858,Mike Williams,5,7,2021-12-05,27-062,LAC,@,CIN,W 41-22,7,5,110,22.0,0,71.4,15.7,1-7,WR,1-7,WillMi07
859,Albert Wilson,5,6,2021-11-28,29-139,MIA,,CAR,W 33-10,6,5,17,3.4,0,83.3,2.8,,WR,,WilsAl02
860,Cedrick Wilson Jr.,5,6,2022-01-08,26-049,DAL,@,PHI,W 51-26,6,5,119,23.8,2,83.3,19.8,6-208,WR,6-208,WilsCe01
861,Robert Woods,5,9,2021-09-19,29-162,LAR,@,IND,W 27-24,9,5,64,12.8,0,55.6,7.1,2-41,WR,2-41,WoodRo02
862,Ameer Abdullah,4,5,2021-11-07,28-147,CAR,,NWE,L 6-24,5,4,30,7.5,0,80.0,6.0,2-54,RB,2-54,AbduAm00
863,Ameer Abdullah,4,4,2021-11-14,28-154,CAR,@,ARI,W 34-10,4,4,27,6.8,0,100.0,6.8,2-54,RB,2-54,AbduAm00
864,Ameer Abdullah,4,4,2021-12-19,28-189,CAR,@,BUF,L 14-31,4,4,48,12.0,1,100.0,12.0,2-54,RB,2-54,AbduAm00
865,Ameer Abdullah,4,4,2022-01-02,28-203,CAR,@,NOR,L 10-18,4,4,31,7.8,0,100.0,7.8,2-54,RB,2-54,AbduAm00
866,Davante Adams,4,5,2021-10-17,28-297,GNB,@,CHI,W 24-14,5,4,89,22.3,0,80.0,17.8,2-53,WR,2-53,AdamDa01
867,Nelson Agholor,4,6,2021-12-18,28-208,NWE,@,IND,L 17-27,6,4,34,8.5,0,66.7,5.7,1-20,WR,1-20,AghoNe00
868,Brandon Aiyuk,4,6,2021-09-26,23-193,SFO,,GNB,L 28-30,6,4,37,9.3,1,66.7,6.2,1-25,WR,1-25,AiyuBr00
869,Brandon Aiyuk,4,7,2021-10-31,23-228,SFO,@,CHI,W 33-22,7,4,45,11.3,0,57.1,6.4,1-25,WR,1-25,AiyuBr00
870,Brandon Aiyuk,4,5,2021-12-23,23-281,SFO,@,TEN,L 17-20,5,4,40,10.0,1,80.0,8.0,1-25,WR,1-25,AiyuBr00
871,Brandon Aiyuk,4,6,2022-01-02,23-291,SFO,,HOU,W 23-7,6,4,94,23.5,0,66.7,15.7,1-25,WR,1-25,AiyuBr00
872,Jordan Akins,4,5,2021-09-23,29-157,HOU,,CAR,L 9-24,5,4,32,8.0,0,80.0,6.4,3-98,TE,3-98,AkinJo00
873,Jordan Akins,4,6,2021-10-17,29-181,HOU,@,IND,L 3-31,6,4,41,10.3,0,66.7,6.8,3-98,TE,3-98,AkinJo00
874,Keenan Allen,4,8,2021-09-19,29-145,LAC,,DAL,L 17-20,8,4,108,27.0,0,50.0,13.5,3-76,WR,3-76,AlleKe00
875,Keenan Allen,4,6,2021-12-26,29-243,LAC,@,HOU,L 29-41,6,4,35,8.8,0,66.7,5.8,3-76,WR,3-76,AlleKe00
876,Keenan Allen,4,9,2022-01-02,29-250,LAC,,DEN,W 34-13,9,4,44,11.0,1,44.4,4.9,3-76,WR,3-76,AlleKe00
877,Robby Anderson,4,6,2021-11-14,28-189,CAR,@,ARI,W 34-10,6,4,37,9.3,1,66.7,6.2,,WR,,AndeRo04
878,Stephen Anderson,4,4,2021-11-07,28-281,LAC,@,PHI,W 27-24,4,4,39,9.8,1,100.0,9.8,,TE,,AndeSt01
879,Mark Andrews,4,10,2021-11-28,26-083,BAL,,CLE,W 16-10,10,4,65,16.3,1,40.0,6.5,3-86,TE,3-86,AndrMa00
880,Mark Andrews,4,9,2021-12-05,26-090,BAL,@,PIT,L 19-20,9,4,50,12.5,0,44.4,5.6,3-86,TE,3-86,AndrMa00
881,Dan Arnold,4,7,2021-11-07,26-237,JAX,,BUF,W 9-6,7,4,60,15.0,0,57.1,8.6,,WR,,ArnoDa00
882,Saquon Barkley,4,5,2021-11-28,24-292,NYG,,PHI,W 13-7,5,4,13,3.3,0,80.0,2.6,1-2,RB,1-2,BarkSa00
