Rk,Player,Rec,Tgt,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Draft,Pos.,Draft,Player-additional
1801,Jaylen Samuels,3,3,2022-01-02,25-166,HOU,@,SFO,L 7-23,3,3,14,4.7,0,100.0,4.7,5-165,TE,5-165,SamuJa00
1802,Emmanuel Sanders,3,5,2021-10-10,34-207,BUF,@,KAN,W 38-20,5,3,54,18.0,2,60.0,10.8,3-82,WR,3-82,SandEm00
1803,Emmanuel Sanders,3,5,2021-11-21,34-249,BUF,,IND,L 15-41,5,3,26,8.7,0,60.0,5.2,3-82,WR,3-82,SandEm00
1804,Emmanuel Sanders,3,3,2021-11-25,34-253,BUF,@,NOR,W 31-6,3,3,28,9.3,0,100.0,9.3,3-82,WR,3-82,SandEm00
1805,Emmanuel Sanders,3,6,2021-12-06,34-264,BUF,,NWE,L 10-14,6,3,22,7.3,0,50.0,3.7,3-82,WR,3-82,SandEm00
1806,Miles Sanders,3,4,2021-09-27,24-149,PHI,@,DAL,L 21-41,4,3,28,9.3,0,75.0,7.0,2-53,RB,2-53,SandMi01
1807,Miles Sanders,3,3,2021-10-03,24-155,PHI,,KAN,L 30-42,3,3,34,11.3,0,100.0,11.3,2-53,RB,2-53,SandMi01
1808,Miles Sanders,3,3,2021-12-05,24-218,PHI,@,NYJ,W 33-18,3,3,22,7.3,0,100.0,7.3,2-53,RB,2-53,SandMi01
1809,Mohamed Sanu,3,6,2021-09-26,32-034,SFO,,GNB,L 28-30,6,3,36,12.0,0,50.0,6.0,3-83,WR,3-83,SanuMo00
1810,Mohamed Sanu,3,4,2021-10-31,32-069,SFO,@,CHI,W 33-22,4,3,59,19.7,0,75.0,14.8,3-83,WR,3-83,SanuMo00
1811,Eric Saubert,3,5,2021-10-17,27-169,DEN,,LVR,L 24-34,5,3,23,7.7,0,60.0,4.6,5-174,TE,5-174,SaubEr00
1812,Dalton Schultz,3,7,2021-11-25,25-137,DAL,,LVR,L 33-36 (OT),7,3,46,15.3,1,42.9,6.6,4-137,TE,4-137,SchuDa00
1813,Dalton Schultz,3,3,2022-01-08,25-181,DAL,@,PHI,W 51-26,3,3,21,7.0,2,100.0,7.0,4-137,TE,4-137,SchuDa00
1814,Anthony Schwartz,3,5,2021-09-12,21-007,CLE,@,KAN,L 29-33,5,3,69,23.0,0,60.0,13.8,3-91,WR,3-91,SchwAn00
1815,Ricky Seals-Jones,3,4,2021-11-14,26-244,WAS,,TAM,W 29-19,4,3,30,10.0,0,75.0,7.5,,TE,,SealRi00
1816,Adam Shaheen,3,4,2021-11-11,27-018,MIA,,BAL,W 22-10,4,3,34,11.3,0,75.0,8.5,2-45,TE,2-45,ShahAd00
1817,Tajae Sharpe,3,5,2021-12-05,26-347,ATL,,TAM,L 17-30,5,3,10,3.3,0,60.0,2.0,5-140,WR,5-140,SharTa00
1818,Laviska Shenault Jr.,3,8,2021-11-14,23-040,JAX,@,IND,L 17-23,8,3,15,5.0,0,37.5,1.9,2-42,WR,2-42,ShenLa00
1819,Laviska Shenault Jr.,3,5,2021-12-05,23-061,JAX,@,LAR,L 7-37,5,3,30,10.0,0,60.0,6.0,2-42,WR,2-42,ShenLa00
1820,Cam Sims,3,4,2021-12-12,25-340,WAS,,DAL,L 20-27,4,3,69,23.0,1,75.0,17.3,,WR,,SimsCa00
1821,Devin Singletary,3,5,2021-09-12,24-009,BUF,,PIT,L 16-23,5,3,8,2.7,0,60.0,1.6,3-74,RB,3-74,SingDe00
1822,Devin Singletary,3,4,2021-11-21,24-079,BUF,,IND,L 15-41,4,3,26,8.7,0,75.0,6.5,3-74,RB,3-74,SingDe00
1823,Ben Skowronek,3,3,2021-10-31,24-126,LAR,@,HOU,W 38-22,3,3,30,10.0,0,100.0,10.0,7-249,WR,7-249,SkowBe00
1824,Darius Slayton,3,7,2021-09-12,24-243,NYG,,DEN,L 13-27,7,3,65,21.7,0,42.9,9.3,5-171,WR,5-171,SlayDa01
1825,Darius Slayton,3,6,2021-09-16,24-247,NYG,@,WAS,L 29-30,6,3,54,18.0,1,50.0,9.0,5-171,WR,5-171,SlayDa01
1826,Darius Slayton,3,4,2021-11-28,24-320,NYG,,PHI,W 13-7,4,3,40,13.3,0,75.0,10.0,5-171,WR,5-171,SlayDa01
1827,DeVonta Smith,3,6,2021-09-27,22-317,PHI,@,DAL,L 21-41,6,3,28,9.3,0,50.0,4.7,1-10,WR,1-10,SmitDe07
1828,DeVonta Smith,3,5,2021-12-21,23-037,PHI,,WAS,W 27-17,5,3,40,13.3,0,60.0,8.0,1-10,WR,1-10,SmitDe07
1829,DeVonta Smith,3,6,2022-01-02,23-049,PHI,@,WAS,W 20-16,6,3,54,18.0,0,50.0,9.0,1-10,WR,1-10,SmitDe07
1830,DeVonta Smith,3,4,2022-01-08,23-055,PHI,,DAL,L 26-51,4,3,41,13.7,0,75.0,10.3,1-10,WR,1-10,SmitDe07
1831,Ihmir Smith-Marsette,3,3,2022-01-09,22-133,MIN,,CHI,W 31-17,3,3,103,34.3,1,100.0,34.3,5-157,WR,5-157,SmitIh00
1832,Jeff Smith,3,4,2021-11-04,24-197,NYJ,@,IND,L 30-45,4,3,40,13.3,0,75.0,10.0,,WR,,SmitJe03
1833,Jonnu Smith,3,5,2021-10-03,26-042,NWE,,TAM,L 17-19,5,3,14,4.7,1,60.0,2.8,3-100,TE,3-100,SmitJo01
1834,Jonnu Smith,3,4,2021-11-28,26-098,NWE,,TEN,W 36-13,4,3,49,16.3,0,75.0,12.3,3-100,TE,3-100,SmitJo01
1835,JuJu Smith-Schuster,3,4,2021-09-26,24-308,PIT,,CIN,L 10-24,4,3,25,8.3,0,75.0,6.3,2-62,WR,2-62,SmitJu00
1836,Keith Smith,3,3,2021-09-12,29-157,ATL,,PHI,L 6-32,3,3,18,6.0,0,100.0,6.0,,FB,,SmitKe03
1837,Lee Smith,3,3,2021-09-26,33-309,ATL,@,NYG,W 17-14,3,3,7,2.3,1,100.0,2.3,5-159,TE,5-159,SmitLe00
1838,Lee Smith,3,3,2021-10-10,33-323,ATL,,NYJ,W 27-20,3,3,30,10.0,0,100.0,10.0,5-159,TE,5-159,SmitLe00
1839,Shi Smith,3,5,2021-12-26,23-061,CAR,,TAM,L 6-32,5,3,86,28.7,0,60.0,17.2,6-204,WR,6-204,SmitSh03
1840,Tre'Quan Smith,3,3,2021-10-31,25-297,NOR,,TAM,W 36-27,3,3,33,11.0,1,100.0,11.0,3-91,WR,3-91,SmitTr03
1841,Tre'Quan Smith,3,4,2021-11-07,25-304,NOR,,ATL,L 25-27,4,3,53,17.7,0,75.0,13.3,3-91,WR,3-91,SmitTr03
1842,Tre'Quan Smith,3,3,2021-12-12,25-339,NOR,@,NYJ,W 30-9,3,3,33,11.0,0,100.0,11.0,3-91,WR,3-91,SmitTr03
1843,Durham Smythe,3,4,2021-10-24,26-076,MIA,,ATL,L 28-30,4,3,37,12.3,0,75.0,9.3,4-123,TE,4-123,SmytDu00
1844,Durham Smythe,3,3,2021-12-27,26-140,MIA,@,NOR,W 20-3,3,3,31,10.3,0,100.0,10.3,4-123,TE,4-123,SmytDu00
1845,Durham Smythe,3,3,2022-01-02,26-146,MIA,@,TEN,L 3-34,3,3,37,12.3,0,100.0,12.3,4-123,TE,4-123,SmytDu00
1846,Rhamondre Stevenson,3,3,2021-10-17,23-236,NWE,,DAL,L 29-35 (OT),3,3,39,13.0,0,100.0,13.0,4-120,RB,4-120,StevRh00
1847,Amon-Ra St. Brown,3,5,2021-09-20,21-331,DET,@,GNB,L 17-35,5,3,18,6.0,0,60.0,3.6,4-112,WR,4-112,StxxAm00
1848,Amon-Ra St. Brown,3,5,2021-10-31,22-007,DET,,PHI,L 6-44,5,3,46,15.3,0,60.0,9.2,4-112,WR,4-112,StxxAm00
1849,Courtland Sutton,3,8,2021-10-03,25-358,DEN,,BAL,L 7-23,8,3,47,15.7,0,37.5,5.9,2-40,WR,2-40,SuttCo00
1850,Courtland Sutton,3,5,2022-01-02,26-084,DEN,@,LAC,L 13-34,5,3,60,20.0,0,60.0,12.0,2-40,WR,2-40,SuttCo00
1851,Freddie Swain,3,4,2021-10-03,23-060,SEA,@,SFO,W 28-21,4,3,20,6.7,1,75.0,5.0,6-214,WR,6-214,SwaiFr00
1852,Freddie Swain,3,3,2021-12-05,23-123,SEA,,SFO,W 30-23,3,3,18,6.0,0,100.0,6.0,6-214,WR,6-214,SwaiFr00
1853,Geoff Swaim,3,4,2021-09-26,28-010,TEN,,IND,W 25-16,4,3,27,9.0,0,75.0,6.8,7-246,TE,7-246,SwaiGe00
1854,Geoff Swaim,3,4,2021-12-12,28-087,TEN,,JAX,W 20-0,4,3,45,15.0,0,75.0,11.3,7-246,TE,7-246,SwaiGe00
1855,Geoff Swaim,3,3,2021-12-23,28-098,TEN,,SFO,W 20-17,3,3,10,3.3,0,100.0,3.3,7-246,TE,7-246,SwaiGe00
1856,Geoff Swaim,3,3,2022-01-02,28-108,TEN,,MIA,W 34-3,3,3,9,3.0,1,100.0,3.0,7-246,TE,7-246,SwaiGe00
1857,Tommy Sweeney,3,4,2021-10-31,26-122,BUF,,MIA,W 26-11,4,3,30,10.0,0,75.0,7.5,7-228,TE,7-228,SweeTo00
1858,D'Andre Swift,3,6,2021-11-14,22-304,DET,@,PIT,T 16-16 (OT),6,3,5,1.7,0,50.0,0.8,2-35,RB,2-35,SwifDA00
1859,D'Andre Swift,3,4,2021-11-21,22-311,DET,@,CLE,L 10-13,4,3,0,0.0,0,75.0,0.0,2-35,RB,2-35,SwifDA00
1860,D'Andre Swift,3,3,2021-11-25,22-315,DET,,CHI,L 14-16,3,3,9,3.0,0,100.0,3.0,2-35,RB,2-35,SwifDA00
1861,Jonathan Taylor,3,3,2021-10-03,22-257,IND,@,MIA,W 27-17,3,3,11,3.7,0,100.0,3.7,2-41,RB,2-41,TaylJo02
1862,Jonathan Taylor,3,4,2021-10-11,22-265,IND,@,BAL,L 25-31 (OT),4,3,116,38.7,1,75.0,29.0,2-41,RB,2-41,TaylJo02
1863,Jonathan Taylor,3,3,2021-10-24,22-278,IND,@,SFO,W 30-18,3,3,3,1.0,0,100.0,1.0,2-41,RB,2-41,TaylJo02
1864,Jonathan Taylor,3,4,2021-10-31,22-285,IND,,TEN,L 31-34 (OT),4,3,52,17.3,0,75.0,13.0,2-41,RB,2-41,TaylJo02
1865,Jonathan Taylor,3,3,2021-11-21,22-306,IND,@,BUF,W 41-15,3,3,19,6.3,1,100.0,6.3,2-41,RB,2-41,TaylJo02
1866,Jonathan Taylor,3,4,2022-01-09,22-355,IND,@,JAX,L 11-26,4,3,18,6.0,0,75.0,4.5,2-41,RB,2-41,TaylJo02
1867,Adam Thielen,3,8,2021-10-03,31-042,MIN,,CLE,L 7-14,8,3,46,15.3,0,37.5,5.8,,WR,,ThieAd00
1868,Adam Thielen,3,3,2021-12-26,31-126,MIN,,LAR,L 23-30,3,3,40,13.3,0,100.0,13.3,,WR,,ThieAd00
1869,Ian Thomas,3,3,2021-10-03,25-119,CAR,@,DAL,L 28-36,3,3,15,5.0,0,100.0,5.0,4-101,TE,4-101,ThomIa00
1870,Ian Thomas,3,3,2022-01-02,25-210,CAR,@,NOR,L 10-18,3,3,33,11.0,0,100.0,11.0,4-101,TE,4-101,ThomIa00
1871,Logan Thomas,3,3,2021-09-12,30-073,WAS,,LAC,L 16-20,3,3,30,10.0,1,100.0,10.0,4-120,TE,4-120,ThomLo00
1872,Logan Thomas,3,6,2021-11-29,30-151,WAS,,SEA,W 17-15,6,3,31,10.3,0,50.0,5.2,4-120,TE,4-120,ThomLo00
1873,Logan Thomas,3,5,2021-12-05,30-157,WAS,@,LVR,W 17-15,5,3,48,16.0,1,60.0,9.6,4-120,TE,4-120,ThomLo00
1874,Kadarius Toney,3,3,2021-10-17,22-263,NYG,,LAR,L 11-38,3,3,36,12.0,0,100.0,12.0,1-20,WR,1-20,ToneKa00
1875,Robert Tonyan,3,3,2021-09-20,27-143,GNB,,DET,W 35-17,3,3,52,17.3,1,100.0,17.3,,TE,,TonyRo00
1876,Robert Tonyan,3,4,2021-10-28,27-181,GNB,@,ARI,W 24-21,4,3,49,16.3,0,75.0,12.3,,TE,,TonyRo00
1877,Adam Trautman,3,6,2021-09-12,24-219,NOR,,GNB,W 38-3,6,3,18,6.0,0,50.0,3.0,3-105,TE,3-105,TrauAd00
1878,Adam Trautman,3,3,2021-10-25,24-262,NOR,@,SEA,W 13-10,3,3,36,12.0,0,100.0,12.0,3-105,TE,3-105,TrauAd00
1879,Laquon Treadwell,3,5,2022-01-09,26-209,JAX,,IND,W 26-11,5,3,24,8.0,1,60.0,4.8,1-23,WR,1-23,TreaLa00
1880,Tommy Tremble,3,4,2021-10-31,21-151,CAR,@,ATL,W 19-13,4,3,18,6.0,0,75.0,4.5,3-83,,3-83,TremTo00
1881,Malik Turner,3,3,2021-12-26,25-330,DAL,,WAS,W 56-14,3,3,82,27.3,1,100.0,27.3,,WR,,TurnMa00
