Rk,Player,Rec,Tgt,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Draft,Pos.,Draft,Player-additional
1001,Michael Gallup,4,7,2021-09-09,25-189,DAL,@,TAM,L 29-31,7,4,36,9.0,0,57.1,5.1,3-81,WR,3-81,GallMi00
1002,Myles Gaskin,4,5,2021-09-19,24-216,MIA,,BUF,L 0-35,5,4,21,5.3,0,80.0,4.2,7-234,RB,7-234,GaskMy00
1003,Myles Gaskin,4,4,2021-10-24,24-251,MIA,,ATL,L 28-30,4,4,10,2.5,1,100.0,2.5,7-234,RB,7-234,GaskMy00
1004,Zach Gentry,4,4,2021-12-26,25-107,PIT,@,KAN,L 10-36,4,4,31,7.8,0,100.0,7.8,5-141,TE,5-141,GentZa00
1005,Zach Gentry,4,5,2022-01-09,25-121,PIT,@,BAL,W 16-13 (OT),5,4,39,9.8,0,80.0,7.8,5-141,TE,5-141,GentZa00
1006,Mike Gesicki,4,7,2021-10-10,26-007,MIA,@,TAM,L 17-45,7,4,43,10.8,0,57.1,6.1,2-42,TE,2-42,GesiMi00
1007,Mike Gesicki,4,8,2021-11-07,26-035,MIA,,HOU,W 17-9,8,4,54,13.5,0,50.0,6.8,2-42,TE,2-42,GesiMi00
1008,Mike Gesicki,4,7,2022-01-02,26-091,MIA,@,TEN,L 3-34,7,4,51,12.8,0,57.1,7.3,2-42,TE,2-42,GesiMi00
1009,Chris Godwin,4,5,2021-09-19,25-204,TAM,,ATL,W 48-25,5,4,62,15.5,1,80.0,12.4,3-84,WR,3-84,GodwCh00
1010,Chris Godwin,4,5,2021-11-28,25-274,TAM,@,IND,W 38-31,5,4,24,6.0,0,80.0,4.8,3-84,WR,3-84,GodwCh00
1011,Dallas Goedert,4,5,2021-09-12,26-252,PHI,@,ATL,W 32-6,5,4,42,10.5,1,80.0,8.4,2-49,TE,2-49,GoedDa00
1012,Kenny Golladay,4,6,2021-09-12,27-313,NYG,,DEN,L 13-27,6,4,64,16.0,0,66.7,10.7,3-96,WR,3-96,GollKe00
1013,Kenny Golladay,4,5,2021-09-26,27-327,NYG,,ATL,L 14-17,5,4,64,16.0,0,80.0,12.8,3-96,WR,3-96,GollKe00
1014,Marquise Goodwin,4,4,2021-09-12,30-297,CHI,@,LAR,L 14-34,4,4,45,11.3,0,100.0,11.3,3-78,WR,3-78,GoodMa00
1015,Marquise Goodwin,4,8,2021-11-21,31-002,CHI,,BAL,L 13-16,8,4,104,26.0,1,50.0,13.0,3-78,WR,3-78,GoodMa00
1016,A.J. Green,4,7,2021-11-21,33-113,ARI,@,SEA,W 23-13,7,4,78,19.5,0,57.1,11.1,1-4,WR,1-4,GreeA.00
1017,A.J. Green,4,8,2021-12-19,33-141,ARI,@,DET,L 12-30,8,4,64,16.0,0,50.0,8.0,1-4,WR,1-4,GreeA.00
1018,A.J. Green,4,9,2022-01-09,33-162,ARI,,SEA,L 30-38,9,4,23,5.8,0,44.4,2.6,1-4,WR,1-4,GreeA.00
1019,Ryan Griffin,4,7,2021-11-04,31-297,NYJ,@,IND,L 30-45,7,4,28,7.0,1,57.1,4.0,6-201,TE,6-201,GrifRy00
1020,Rob Gronkowski,4,5,2021-09-19,32-128,TAM,,ATL,W 48-25,5,4,39,9.8,2,80.0,7.8,2-42,TE,2-42,GronRo00
1021,Rob Gronkowski,4,8,2021-09-26,32-135,TAM,@,LAR,L 24-34,8,4,55,13.8,0,50.0,6.9,2-42,TE,2-42,GronRo00
1022,Rob Gronkowski,4,8,2021-12-05,32-205,TAM,@,ATL,W 30-17,8,4,58,14.5,2,50.0,7.3,2-42,TE,2-42,GronRo00
1023,Jalen Guyton,4,4,2021-12-05,24-181,LAC,@,CIN,W 41-22,4,4,90,22.5,1,100.0,22.5,,WR,,GuytJa01
1024,Mecole Hardman,4,5,2021-10-17,23-219,KAN,@,WAS,W 31-13,5,4,62,15.5,0,80.0,12.4,2-56,WR,2-56,HardMe00
1025,Mecole Hardman,4,5,2021-10-24,23-226,KAN,@,TEN,L 3-27,5,4,28,7.0,0,80.0,5.6,2-56,WR,2-56,HardMe00
1026,Damien Harris,4,4,2022-01-09,24-332,NWE,@,MIA,L 24-33,4,4,36,9.0,0,100.0,9.0,3-87,RB,3-87,HarrDa06
1027,Deonte Harris,4,8,2021-12-02,23-363,NOR,,DAL,L 17-27,8,4,96,24.0,1,50.0,12.0,,WR,,HarrDe07
1028,Najee Harris,4,4,2021-11-14,23-250,PIT,,DET,T 16-16 (OT),4,4,28,7.0,0,100.0,7.0,1-24,RB,1-24,HarrNa00
1029,Najee Harris,4,4,2022-01-09,23-306,PIT,@,BAL,W 16-13 (OT),4,4,27,6.8,0,100.0,6.8,1-24,RB,1-24,HarrNa00
1030,Jamycal Hasty,4,5,2021-09-19,25-007,SFO,@,PHI,W 17-11,5,4,21,5.3,0,80.0,4.2,,RB,,HastJa02
1031,Darrell Henderson,4,6,2021-11-15,24-088,LAR,@,SFO,L 10-31,6,4,10,2.5,0,66.7,1.7,3-70,RB,3-70,HendDa00
1032,Darrell Henderson,4,4,2021-11-28,24-101,LAR,@,GNB,L 28-36,4,4,18,4.5,1,100.0,4.5,3-70,RB,3-70,HendDa00
1033,Hunter Henry,4,5,2021-10-03,26-300,NWE,,TAM,L 17-19,5,4,32,8.0,1,80.0,6.4,2-35,TE,2-35,HenrHu00
1034,Hunter Henry,4,4,2021-11-14,26-342,NWE,,CLE,W 45-7,4,4,37,9.3,2,100.0,9.3,2-35,TE,2-35,HenrHu00
1035,Tyler Higbee,4,6,2021-10-03,28-275,LAR,,ARI,L 20-37,6,4,36,9.0,0,66.7,6.0,4-110,TE,4-110,HigbTy00
1036,Rashard Higgins,4,7,2021-10-03,26-361,CLE,@,MIN,W 14-7,7,4,63,15.8,0,57.1,9.0,5-172,WR,5-172,HiggRa00
1037,Tee Higgins,4,5,2021-09-12,22-237,CIN,,MIN,W 27-24 (OT),5,4,58,14.5,1,80.0,11.6,2-33,WR,2-33,HiggTe00
1038,Tee Higgins,4,6,2021-10-31,22-286,CIN,@,NYJ,L 31-34,6,4,97,24.3,0,66.7,16.2,2-33,WR,2-33,HiggTe00
1039,Dontrell Hilliard,4,6,2021-12-19,26-296,TEN,@,PIT,L 13-19,6,4,10,2.5,0,66.7,1.7,,RB,,HillDo00
1040,Tyreek Hill,4,11,2021-11-07,27-251,KAN,,GNB,W 13-7,11,4,37,9.3,0,36.4,3.4,5-165,WR,5-165,HillTy00
1041,Tyreek Hill,4,4,2021-12-12,27-286,KAN,,LVR,W 48-9,4,4,76,19.0,0,100.0,19.0,5-165,WR,5-165,HillTy00
1042,T.Y. Hilton,4,4,2021-10-17,31-337,IND,,HOU,W 31-3,4,4,80,20.0,0,100.0,20.0,3-92,WR,3-92,HiltT.00
1043,T.Y. Hilton,4,5,2021-11-28,32-014,IND,,TAM,L 31-38,5,4,28,7.0,1,80.0,5.6,3-92,WR,3-92,HiltT.00
1044,T.Y. Hilton,4,5,2021-12-25,32-041,IND,@,ARI,W 22-16,5,4,51,12.8,1,80.0,10.2,3-92,WR,3-92,HiltT.00
