Rk,Player,Att,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,Draft,Pos.,Draft,Player-additional
401,Kenneth Gainwell,12,2022-01-08,22-300,PHI,,DAL,L 26-51,12,78,6.5,1,5-150,RB,5-150,GainKe00
402,Myles Gaskin,12,2021-10-31,24-258,MIA,@,BUF,L 11-26,12,36,3.0,0,7-234,RB,7-234,GaskMy00
403,Antonio Gibson,12,2021-09-26,23-095,WAS,@,BUF,L 21-43,12,31,2.6,0,3-66,RB,3-66,GibsAn00
404,Melvin Gordon,12,2022-01-08,28-270,DEN,,KAN,L 24-28,12,110,9.2,1,1-15,RB,1-15,GordMe00
405,Derrick Gore,12,2021-12-26,27-013,KAN,,PIT,W 36-10,12,43,3.6,0,,RB,,GoreDe00
406,Najee Harris,12,2021-11-21,23-257,PIT,@,LAC,L 37-41,12,39,3.3,1,1-24,RB,1-24,HarrNa00
407,Najee Harris,12,2021-12-19,23-285,PIT,,TEN,W 19-13,12,18,1.5,0,1-24,RB,1-24,HarrNa00
408,Dontrell Hilliard,12,2021-11-28,26-275,TEN,@,NWE,L 13-36,12,131,10.9,1,,RB,,HillDo00
409,Taysom Hill,12,2022-01-02,31-132,NOR,,CAR,W 18-10,12,45,3.8,0,,QB,,HillTa00
410,Jordan Howard,12,2021-10-31,26-363,PHI,@,DET,W 44-6,12,57,4.8,2,5-150,RB,5-150,HowaJo00
411,Jordan Howard,12,2021-11-14,27-012,PHI,@,DEN,W 30-13,12,83,6.9,0,5-150,RB,5-150,HowaJo00
412,Chuba Hubbard,12,2021-10-24,22-135,CAR,@,NYG,L 3-25,12,28,2.3,0,4-126,RB,4-126,HubbCh01
413,Kareem Hunt,12,2021-10-10,26-065,CLE,@,LAC,L 42-47,12,61,5.1,2,3-86,RB,3-86,HuntKa00
414,Tyler Huntley,12,2022-01-09,23-340,BAL,,PIT,L 13-16 (OT),12,72,6.0,0,,QB,,HuntTy01
415,Justin Jackson,12,2022-01-02,25-255,LAC,,DEN,W 34-13,12,41,3.4,0,7-251,RB,7-251,JackJu01
416,Lamar Jackson,12,2021-09-13,24-249,BAL,@,LVR,L 27-33 (OT),12,86,7.2,0,1-32,QB,1-32,JackLa00
417,Lamar Jackson,12,2021-10-24,24-290,BAL,,CIN,L 17-41,12,88,7.3,0,1-32,QB,1-32,JackLa00
418,Ty Johnson,12,2021-09-19,24-002,NYJ,,NWE,L 6-25,12,50,4.2,0,6-186,RB,6-186,JohnTy02
419,Aaron Jones,12,2021-11-07,26-340,GNB,@,KAN,L 7-13,12,53,4.4,0,5-182,RB,5-182,JoneAa00
420,Aaron Jones,12,2021-12-25,27-023,GNB,,CLE,W 24-22,12,66,5.5,0,5-182,RB,5-182,JoneAa00
421,Phillip Lindsay,12,2021-11-28,27-127,MIA,,CAR,W 33-10,12,42,3.5,0,,RB,,LindPh00
422,Joe Mixon,12,2021-10-24,25-092,CIN,@,BAL,W 41-17,12,59,4.9,1,2-48,RB,2-48,MixoJo00
423,Joe Mixon,12,2022-01-02,25-162,CIN,,KAN,W 34-31,12,46,3.8,0,2-48,RB,2-48,MixoJo00
424,Jaret Patterson,12,2022-01-02,22-010,WAS,,PHI,L 16-20,12,57,4.8,1,,RB,,PattJa01
425,Tony Pollard,12,2021-12-19,24-233,DAL,@,NYG,W 21-6,12,74,6.2,0,4-128,RB,4-128,PollTo00
426,James Robinson,12,2021-11-14,23-097,JAX,@,IND,L 17-23,12,57,4.8,1,,RB,,RobiJa00
427,James Robinson,12,2021-11-21,23-104,JAX,,SFO,L 10-30,12,29,2.4,1,,RB,,RobiJa00
428,Boston Scott,12,2021-10-31,26-187,PHI,@,DET,W 44-6,12,60,5.0,2,6-201,RB,6-201,ScotBo02
429,Boston Scott,12,2021-12-26,26-243,PHI,,NYG,W 34-10,12,41,3.4,1,6-201,RB,6-201,ScotBo02
430,Devin Singletary,12,2021-12-26,24-114,BUF,@,NWE,W 33-21,12,39,3.3,1,3-74,RB,3-74,SingDe00
431,Benny Snell Jr.,12,2022-01-09,23-317,PIT,@,BAL,W 16-13 (OT),12,22,1.8,0,4-122,RB,4-122,SnelBe00
432,Rhamondre Stevenson,12,2021-11-18,23-268,NWE,@,ATL,W 25-0,12,69,5.8,0,4-120,RB,4-120,StevRh00
433,D'Andre Swift,12,2021-10-31,22-290,DET,,PHI,L 6-44,12,27,2.3,0,2-35,RB,2-35,SwifDA00
434,Jamaal Williams,12,2021-09-26,26-176,DET,,BAL,L 17-19,12,42,3.5,1,4-134,RB,4-134,WillJa06
435,Jamaal Williams,12,2021-10-24,26-204,DET,@,LAR,L 19-28,12,57,4.8,0,4-134,RB,4-134,WillJa06
436,Javonte Williams,12,2021-09-26,21-154,DEN,,NYJ,W 26-0,12,29,2.4,1,2-35,RB,2-35,WillJa10
437,Javonte Williams,12,2022-01-08,21-258,DEN,,KAN,L 24-28,12,46,3.8,0,2-35,RB,2-35,WillJa10
438,Josh Allen,11,2021-10-10,25-142,BUF,@,KAN,W 38-20,11,59,5.4,1,1-7,QB,1-7,AlleJo02
439,Saquon Barkley,11,2021-12-05,24-299,NYG,@,MIA,L 9-20,11,55,5.0,0,1-2,RB,1-2,BarkSa00
440,Saquon Barkley,11,2022-01-09,24-334,NYG,,WAS,L 7-22,11,30,2.7,0,1-2,RB,1-2,BarkSa00
441,Le'Veon Bell,11,2021-11-07,29-262,BAL,,MIN,W 34-31 (OT),11,48,4.4,1,2-48,RB,2-48,BellLe00
442,Rex Burkhead,11,2021-12-12,31-163,HOU,,SEA,L 13-33,11,40,3.6,0,6-190,RB,6-190,BurkRe00
443,Michael Carter,11,2021-09-19,22-135,NYJ,,NWE,L 6-25,11,59,5.4,0,4-107,RB,4-107,CartMi03
444,Michael Carter,11,2021-10-24,22-170,NYJ,@,NWE,L 13-54,11,37,3.4,0,4-107,RB,4-107,CartMi03
445,Nick Chubb,11,2021-09-19,25-266,CLE,,HOU,W 31-21,11,95,8.6,1,2-35,RB,2-35,ChubNi00
446,Tevin Coleman,11,2021-12-05,28-233,NYJ,,PHI,L 18-33,11,58,5.3,0,3-73,RB,3-73,ColeTe01
447,James Conner,11,2021-09-26,26-144,ARI,@,JAX,W 31-19,11,43,3.9,2,3-105,RB,3-105,ConnJa00
448,Mike Davis,11,2021-12-12,28-296,ATL,@,CAR,W 29-21,11,44,4.0,0,4-126,RB,4-126,DaviMi01
449,AJ Dillon,11,2021-10-17,23-168,GNB,@,CHI,W 24-14,11,59,5.4,0,2-62,RB,2-62,DillAJ00
450,AJ Dillon,11,2021-11-21,23-203,GNB,@,MIN,L 31-34,11,53,4.8,0,2-62,RB,2-62,DillAJ00
451,Chase Edmonds,11,2021-09-26,25-166,ARI,@,JAX,W 31-19,11,26,2.4,0,4-134,RB,4-134,EdmoCh00
452,Austin Ekeler,11,2021-09-26,26-132,LAC,@,KAN,W 30-24,11,55,5.0,0,,RB,,EkelAu00
453,Austin Ekeler,11,2021-10-31,26-167,LAC,,NWE,L 24-27,11,64,5.8,1,,RB,,EkelAu00
454,Austin Ekeler,11,2021-11-14,26-181,LAC,,MIN,L 20-27,11,44,4.0,0,,RB,,EkelAu00
455,Austin Ekeler,11,2021-11-21,26-188,LAC,,PIT,W 41-37,11,50,4.5,2,,RB,,EkelAu00
456,Ezekiel Elliott,11,2021-09-09,26-049,DAL,@,TAM,L 29-31,11,33,3.0,0,1-4,RB,1-4,ElliEz00
457,D'Onta Foreman,11,2021-11-14,25-204,TEN,,NOR,W 23-21,11,30,2.7,0,3-89,RB,3-89,ForeDO00
458,Leonard Fournette,11,2021-09-19,26-244,TAM,,ATL,W 48-25,11,52,4.7,0,1-4,RB,1-4,FourLe00
459,Leonard Fournette,11,2021-11-14,26-300,TAM,@,WAS,L 19-29,11,47,4.3,0,1-4,RB,1-4,FourLe00
460,Royce Freeman,11,2021-12-12,25-291,HOU,,SEA,L 13-33,11,15,1.4,0,3-71,RB,3-71,FreeRo00
461,Jimmy Garoppolo,11,2021-09-19,29-321,SFO,@,PHI,W 17-11,11,20,1.8,1,2-62,QB,2-62,GaroJi00
