Rk,Player,Rec,Tgt,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Draft,Pos.,Draft,Player-additional
3401,Ronald Jones II,1,3,2021-09-19,24-047,TAM,,ATL,W 48-25,3,1,9,9.0,0,33.3,3.0,2-38,RB,2-38,JoneRo01
3402,Ronald Jones II,1,1,2021-10-10,24-068,TAM,,MIA,W 45-17,1,1,15,15.0,0,100.0,15.0,2-38,RB,2-38,JoneRo01
3403,Ronald Jones II,1,1,2021-10-14,24-072,TAM,@,PHI,W 28-22,1,1,9,9.0,0,100.0,9.0,2-38,RB,2-38,JoneRo01
3404,Ronald Jones II,1,1,2021-10-31,24-089,TAM,@,NOR,L 27-36,1,1,6,6.0,0,100.0,6.0,2-38,RB,2-38,JoneRo01
3405,Ronald Jones II,1,1,2021-12-05,24-124,TAM,@,ATL,W 30-17,1,1,0,0.0,0,100.0,0.0,2-38,RB,2-38,JoneRo01
3406,Ronald Jones II,1,1,2022-01-02,24-152,TAM,@,NYJ,W 28-24,1,1,1,1.0,0,100.0,1.0,2-38,RB,2-38,JoneRo01
3407,Tony Jones,1,1,2021-09-12,23-292,NOR,,GNB,W 38-3,1,1,3,3.0,0,100.0,3.0,,RB,,JoneTo04
3408,Tony Jones,1,3,2021-10-03,23-313,NOR,,NYG,L 21-27 (OT),3,1,-3,-3.0,0,33.3,-1.0,,RB,,JoneTo04
3409,Tony Jones,1,1,2021-12-12,24-018,NOR,@,NYJ,W 30-9,1,1,19,19.0,0,100.0,19.0,,RB,,JoneTo04
3410,Zay Jones,1,1,2021-09-26,26-180,LVR,,MIA,W 31-28 (OT),1,1,15,15.0,0,100.0,15.0,2-37,WR,2-37,JoneZa00
3411,Zay Jones,1,1,2021-10-04,26-188,LVR,@,LAC,L 14-28,1,1,5,5.0,0,100.0,5.0,2-37,WR,2-37,JoneZa00
3412,Zay Jones,1,2,2021-10-10,26-194,LVR,,CHI,L 9-20,2,1,6,6.0,0,50.0,3.0,2-37,WR,2-37,JoneZa00
3413,Zay Jones,1,1,2021-10-24,26-208,LVR,,PHI,W 33-22,1,1,43,43.0,0,100.0,43.0,2-37,WR,2-37,JoneZa00
3414,Zay Jones,1,4,2021-11-07,26-222,LVR,@,NYG,L 16-23,4,1,20,20.0,0,25.0,5.0,2-37,WR,2-37,JoneZa00
3415,Zay Jones,1,3,2021-11-14,26-229,LVR,,KAN,L 14-41,3,1,22,22.0,0,33.3,7.3,2-37,WR,2-37,JoneZa00
3416,Zay Jones,1,2,2021-11-21,26-236,LVR,,CIN,L 13-32,2,1,20,20.0,0,50.0,10.0,2-37,WR,2-37,JoneZa00
3417,Brevin Jordan,1,3,2021-11-21,21-128,HOU,@,TEN,W 22-13,3,1,7,7.0,0,33.3,2.3,5-147,TE,5-147,JordBr00
3418,Brevin Jordan,1,1,2022-01-02,21-170,HOU,@,SFO,L 7-23,1,1,9,9.0,0,100.0,9.0,5-147,TE,5-147,JordBr00
3419,Kyle Juszczyk,1,1,2021-09-12,30-142,SFO,@,DET,W 41-33,1,1,7,7.0,0,100.0,7.0,4-130,FB,4-130,JuszKy00
3420,Kyle Juszczyk,1,2,2021-10-31,30-191,SFO,@,CHI,W 33-22,2,1,11,11.0,0,50.0,5.5,4-130,FB,4-130,JuszKy00
3421,Kyle Juszczyk,1,1,2021-11-15,30-206,SFO,,LAR,W 31-10,1,1,6,6.0,0,100.0,6.0,4-130,FB,4-130,JuszKy00
3422,Kyle Juszczyk,1,2,2021-11-21,30-212,SFO,@,JAX,W 30-10,2,1,7,7.0,0,50.0,3.5,4-130,FB,4-130,JuszKy00
3423,Kyle Juszczyk,1,2,2021-12-12,30-233,SFO,@,CIN,W 26-23 (OT),2,1,5,5.0,0,50.0,2.5,4-130,FB,4-130,JuszKy00
3424,Kyle Juszczyk,1,1,2021-12-19,30-240,SFO,,ATL,W 31-13,1,1,6,6.0,0,100.0,6.0,4-130,FB,4-130,JuszKy00
3425,Joshua Kelley,1,1,2021-11-07,23-352,LAC,@,PHI,W 27-24,1,1,4,4.0,0,100.0,4.0,4-112,RB,4-112,KellJo01
