Rk,Player,Rec,Tgt,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Draft,Pos.,Draft,Player-additional
3001,Dominique Dafney,1,1,2021-11-21,24-171,GNB,@,MIN,L 31-34,1,1,8,8.0,0,100.0,8.0,,TE,,DafnDo00
3002,Dominique Dafney,1,1,2022-01-09,24-220,GNB,@,DET,L 30-37,1,1,26,26.0,0,100.0,26.0,,TE,,DafnDo00
3003,DeeJay Dallas,1,1,2021-09-12,22-361,SEA,@,IND,W 28-16,1,1,5,5.0,0,100.0,5.0,4-144,RB,4-144,DallDe00
3004,DeeJay Dallas,1,2,2021-11-21,23-066,SEA,,ARI,L 13-23,2,1,2,2.0,0,50.0,1.0,4-144,RB,4-144,DallDe00
3005,Darrell Daniels,1,2,2021-11-07,26-350,ARI,@,SFO,W 31-17,2,1,0,0.0,0,50.0,0.0,,TE,,DaniDa02
3006,Frank Darby,1,3,2021-11-14,24-067,ATL,@,DAL,L 3-43,3,1,14,14.0,0,33.3,4.7,6-187,WR,6-187,DarbFr00
3007,Jaelon Darden,1,1,2021-09-26,22-255,TAM,@,LAR,L 24-34,1,1,0,0.0,0,100.0,0.0,4-129,WR,4-129,DardJa00
3008,Jaelon Darden,1,2,2021-11-14,22-304,TAM,@,WAS,L 19-29,2,1,29,29.0,0,50.0,14.5,4-129,WR,4-129,DardJa00
3009,Jaelon Darden,1,1,2021-11-22,22-312,TAM,,NYG,W 30-10,1,1,3,3.0,0,100.0,3.0,4-129,WR,4-129,DardJa00
3010,Davion Davis,1,1,2021-12-12,25-050,HOU,,SEA,L 13-33,1,1,17,17.0,0,100.0,17.0,,WR,,DaviDa03
3011,Gabriel Davis,1,1,2021-09-26,22-178,BUF,,WAS,W 43-21,1,1,23,23.0,0,100.0,23.0,4-128,WR,4-128,DaviGa01
3012,Gabriel Davis,1,1,2021-10-10,22-192,BUF,@,KAN,W 38-20,1,1,16,16.0,0,100.0,16.0,4-128,WR,4-128,DaviGa01
3013,Mike Davis,1,2,2021-11-07,28-261,ATL,@,NOR,W 27-25,2,1,5,5.0,0,50.0,2.5,4-126,RB,4-126,DaviMi01
3014,Mike Davis,1,1,2021-12-26,28-310,ATL,,DET,W 20-16,1,1,7,7.0,0,100.0,7.0,4-126,RB,4-126,DaviMi01
3015,Mike Davis,1,2,2022-01-02,28-317,ATL,@,BUF,L 15-29,2,1,15,15.0,0,50.0,7.5,4-126,RB,4-126,DaviMi01
3016,Tyler Davis,1,1,2021-11-14,24-226,GNB,,SEA,W 17-0,1,1,4,4.0,0,100.0,4.0,6-206,TE,6-206,DaviTy02
3017,Tyler Davis,1,1,2021-12-19,24-261,GNB,@,BAL,W 31-30,1,1,22,22.0,0,100.0,22.0,6-206,TE,6-206,DaviTy02
3018,Taylor Decker,1,1,2021-12-12,28-111,DET,@,DEN,L 10-38,1,1,-2,-2.0,0,100.0,-2.0,1-16,LT,1-16,DeckTa00
3019,Taylor Decker,1,1,2022-01-02,28-132,DET,@,SEA,L 29-51,1,1,6,6.0,1,100.0,6.0,1-16,LT,1-16,DeckTa00
3020,Josiah Deguara,1,1,2021-09-26,24-224,GNB,@,SFO,W 30-28,1,1,4,4.0,0,100.0,4.0,3-94,TE,3-94,DeguJo00
3021,Josiah Deguara,1,1,2021-10-17,24-245,GNB,@,CHI,W 24-14,1,1,4,4.0,0,100.0,4.0,3-94,TE,3-94,DeguJo00
3022,AJ Dillon,1,2,2021-09-12,23-133,GNB,@,NOR,L 3-38,2,1,7,7.0,0,50.0,3.5,2-62,RB,2-62,DillAJ00
3023,AJ Dillon,1,1,2021-09-20,23-141,GNB,,DET,W 35-17,1,1,8,8.0,0,100.0,8.0,2-62,RB,2-62,DillAJ00
3024,AJ Dillon,1,1,2021-10-03,23-154,GNB,,PIT,W 27-17,1,1,16,16.0,0,100.0,16.0,2-62,RB,2-62,DillAJ00
3025,AJ Dillon,1,2,2021-10-24,23-175,GNB,,WAS,W 24-10,2,1,2,2.0,0,50.0,1.0,2-62,RB,2-62,DillAJ00
3026,AJ Dillon,1,1,2021-12-19,23-231,GNB,@,BAL,W 31-30,1,1,13,13.0,0,100.0,13.0,2-62,RB,2-62,DillAJ00
