Rk,Player,Att,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,Draft,Pos.,Draft,Player-additional
2201,JuJu Smith-Schuster,1,2021-09-19,24-301,PIT,,LVR,L 17-26,1,3,3.0,1,2-62,WR,2-62,SmitJu00
2202,Keith Smith,1,2021-10-03,29-178,ATL,,WAS,L 30-34,1,2,2.0,0,,FB,,SmitKe03
2203,Keith Smith,1,2021-11-14,29-220,ATL,@,DAL,L 3-43,1,5,5.0,0,,FB,,SmitKe03
2204,Shi Smith,1,2021-10-24,22-363,CAR,@,NYG,L 3-25,1,-3,-3.0,0,6-204,WR,6-204,SmitSh03
2205,Tremon Smith,1,2021-12-26,25-159,HOU,,LAC,W 41-29,1,7,7.0,0,6-196,DB,6-196,SmitTr04
2206,Benny Snell Jr.,1,2021-10-03,23-219,PIT,@,GNB,L 17-27,1,0,0.0,0,4-122,RB,4-122,SnelBe00
2207,Benny Snell Jr.,1,2021-11-14,23-261,PIT,,DET,T 16-16 (OT),1,4,4.0,0,4-122,RB,4-122,SnelBe00
2208,Benny Snell Jr.,1,2021-12-09,23-286,PIT,@,MIN,L 28-36,1,-2,-2.0,0,4-122,RB,4-122,SnelBe00
2209,Benny Snell Jr.,1,2022-01-03,23-311,PIT,,CLE,W 26-14,1,2,2.0,0,4-122,RB,4-122,SnelBe00
2210,Equanimeous St. Brown,1,2021-10-24,25-024,GNB,,WAS,W 24-10,1,13,13.0,0,6-207,WR,6-207,St.BEq00
2211,Equanimeous St. Brown,1,2021-11-21,25-052,GNB,@,MIN,L 31-34,1,11,11.0,0,6-207,WR,6-207,St.BEq00
2212,Equanimeous St. Brown,1,2021-12-25,25-086,GNB,,CLE,W 24-22,1,-10,-10.0,0,6-207,WR,6-207,St.BEq00
2213,Matthew Stafford,1,2021-10-07,33-242,LAR,@,SEA,W 26-17,1,-1,-1.0,0,1-1,QB,1-1,StafMa00
2214,Matthew Stafford,1,2021-11-15,33-281,LAR,@,SFO,L 10-31,1,1,1.0,0,1-1,QB,1-1,StafMa00
2215,Matthew Stafford,1,2021-11-28,33-294,LAR,@,GNB,L 28-36,1,-1,-1.0,0,1-1,QB,1-1,StafMa00
2216,Matthew Stafford,1,2021-12-05,33-301,LAR,,JAX,W 37-7,1,2,2.0,0,1-1,QB,1-1,StafMa00
2217,Matthew Stafford,1,2022-01-02,33-329,LAR,@,BAL,W 20-19,1,-1,-1.0,0,1-1,QB,1-1,StafMa00
2218,Johnny Stanton,1,2021-11-14,27-068,CLE,@,NWE,L 7-45,1,0,0.0,0,,RB,,StanJo02
2219,Rhamondre Stevenson,1,2021-09-12,23-201,NWE,,MIA,L 16-17,1,2,2.0,0,4-120,RB,4-120,StevRh00
2220,Kenny Stills,1,2021-10-10,29-171,NOR,@,WAS,W 33-22,1,1,1.0,0,5-144,WR,5-144,StilKe00
2221,Chris Streveler,1,2021-11-07,26-305,ARI,@,SFO,W 31-17,1,2,2.0,0,,QB,,StreCh00
2222,Amon-Ra St. Brown,1,2021-12-05,22-042,DET,,MIN,W 29-27,1,2,2.0,0,4-112,WR,4-112,StxxAm00
2223,Amon-Ra St. Brown,1,2021-12-19,22-056,DET,,ARI,W 30-12,1,5,5.0,0,4-112,WR,4-112,StxxAm00
2224,Amon-Ra St. Brown,1,2022-01-09,22-077,DET,,GNB,W 37-30,1,12,12.0,0,4-112,WR,4-112,StxxAm00
2225,Freddie Swain,1,2021-09-12,23-039,SEA,@,IND,W 28-16,1,5,5.0,0,6-214,WR,6-214,SwaiFr00
2226,Freddie Swain,1,2021-09-19,23-046,SEA,,TEN,L 30-33 (OT),1,5,5.0,0,6-214,WR,6-214,SwaiFr00
2227,Freddie Swain,1,2021-09-26,23-053,SEA,@,MIN,L 17-30,1,11,11.0,0,6-214,WR,6-214,SwaiFr00
2228,Freddie Swain,1,2021-10-25,23-082,SEA,,NOR,L 10-13,1,8,8.0,0,6-214,WR,6-214,SwaiFr00
2229,Freddie Swain,1,2021-12-12,23-130,SEA,@,HOU,W 33-13,1,3,3.0,0,6-214,WR,6-214,SwaiFr00
2230,Tua Tagovailoa,1,2021-12-27,23-300,MIA,@,NOR,W 20-3,1,1,1.0,0,1-5,QB,1-5,TagoTu00
2231,J.J. Taylor,1,2021-09-26,23-265,NWE,,NOR,L 13-28,1,2,2.0,0,,RB,,TaylJJ01
2232,J.J. Taylor,1,2021-10-03,23-272,NWE,,TAM,L 17-19,1,0,0.0,0,,RB,,TaylJJ01
2233,Tyrod Taylor,1,2021-09-19,32-047,HOU,@,CLE,L 21-31,1,15,15.0,1,6-180,QB,6-180,TaylTy00
2234,Adam Thielen,1,2021-10-17,31-056,MIN,@,CAR,W 34-28 (OT),1,2,2.0,0,,WR,,ThieAd00
2235,Kadarius Toney,1,2021-10-03,22-249,NYG,@,NOR,W 27-21 (OT),1,1,1.0,0,1-20,WR,1-20,ToneKa00
2236,Kadarius Toney,1,2021-10-10,22-256,NYG,@,DAL,L 20-44,1,7,7.0,0,1-20,WR,1-20,ToneKa00
2237,Kadarius Toney,1,2021-11-07,22-284,NYG,,LVR,W 23-16,1,-2,-2.0,0,1-20,WR,1-20,ToneKa00
2238,Tommy Tremble,1,2021-09-23,21-113,CAR,@,HOU,W 24-9,1,7,7.0,1,3-83,,3-83,TremTo00
2239,Tommy Tremble,1,2021-10-17,21-137,CAR,,MIN,L 28-34 (OT),1,0,0.0,0,3-83,,3-83,TremTo00
2240,Tommy Tremble,1,2022-01-09,21-221,CAR,@,TAM,L 17-41,1,4,4.0,0,3-83,,3-83,TremTo00
2241,Jaylen Waddle,1,2021-10-10,22-319,MIA,@,TAM,L 17-45,1,2,2.0,0,1-6,WR,1-6,WaddJa00
